num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp1_trial_cross.started,exp1_trial_key.started,exp1_trial_cross.stopped,exp1_trial_sound.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_cross.started,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_cross.stopped,exp2_trial_cross.started,exp2_trial_key.started,exp2_trial_cross.stopped,exp2_trial_sound.started,participant,session,date,expName,psychopyVersion,frameRate,
137.0,l1,t,es,f0u,../audio/137.wav,,l1_t_es_f0u_137,,,,,,,../image/jacket.png,../image/shirt.png,jacket,lshift,1,jacket,shirt,jacket,shirt,None,,,,,,,,,0,2,2,51,,,,,,,,,,,,,,,26.9014687910676,27.11390191607643,rshift,0,0.05769054195843637,27.150212666019797,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
133.0,l1,t,es,f0u,../audio/133.wav,,l1_t_es_f0u_133,,,,,,,../image/cellphone.png,../image/book.png,cellphone,lshift,1,cellphone,book,cellphone,book,None,,,,,,,,,0,3,3,47,,,,,,,,,,,,,,,27.213446874986403,27.417529625003226,lshift,1,0.015935042058117688,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
132.0,l1,t,es,f0u,../audio/132.wav,,l1_t_es_f0u_132,,,,,,,../image/car.png,../image/grandma.png,grandma,rshift,1,grandma,car,car,grandma,None,,,,,,,,,0,4,4,46,,,,,,,,,,,,,,,27.467091541038826,27.6816745409742,rshift,1,0.00641550007276237,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
91.0,l1,f,sp,na,../audio/091.wav,,l1_f_sp_na_091,,,,,,,../image/backpack.png,../image/bracelet.png,bracelet,rshift,1,bracelet,backpack,backpack,bracelet,None,,,,,,,,,0,5,5,30,,,,,,,,,,,,,,,27.733630749979056,27.93492425000295,lshift,0,-0.05080479197204113,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
82.0,l1,f,se,na,../audio/082.wav,,l1_f_se_na_082,,,,,,,../image/mickeymouse.png,../image/spongebob.png,mickeymouse,lshift,1,mickeymouse,spongebob,mickeymouse,spongebob,None,,,,,,,,,0,6,6,21,,,,,,,,,,,,,,,27.965724333073013,28.18418733298313,rshift,0,-0.20074954209849238,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
87.0,l1,f,sp,na,../audio/087.wav,,l1_f_sp_na_087,,,,,,,../image/desk.png,../image/bed.png,bed,rshift,1,bed,desk,desk,bed,None,,,,,,,,,0,7,7,26,,,,,,,,,,,,,,,28.210512040997855,28.43150675005745,lshift,0,-0.24319887498859316,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
18.0,l1,t,es,na,../audio/018.wav,,l1_t_es_na_018,,,,,,,../image/cups.png,../image/napkins.png,napkins,rshift,1,napkins,cups,cups,napkins,None,,,,,,,,,0,8,8,42,,,,,,,,,,,,,,,28.46922445797827,28.680703666061163,lshift,0,-0.1647952499333769,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
88.0,l1,f,sp,na,../audio/088.wav,,l1_f_sp_na_088,,,,,,,../image/book.png,../image/cellphone.png,book,lshift,1,book,cellphone,book,cellphone,None,,,,,,,,,0,9,9,27,,,,,,,,,,,,,,,28.71216741600074,28.917618124978617,lshift,1,-0.15153287502471358,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
63.0,l1,f,en,na,../audio/063.wav,,l1_f_en_na_063,,,,,,,../image/woman.png,../image/man.png,man,rshift,1,man,woman,woman,man,None,,,,,,,,,0,10,10,2,,,,,,,,,,,,,,,28.95016954105813,29.164872708031908,lshift,0,-0.11050662503112108,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
86.0,l1,f,sp,na,../audio/086.wav,,l1_f_sp_na_086,,,,,,,../image/plates.png,../image/glasses.png,plates,lshift,1,plates,glasses,plates,glasses,None,,,,,,,,,0,11,11,25,,,,,,,,,,,,,,,29.195615999982692,29.400941541069187,lshift,1,-0.1680975410854444,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
11.0,l1,t,es,na,../audio/011.wav,,l1_t_es_na_011,,,,,,,../image/armchair.png,../image/bed.png,armchair,lshift,1,armchair,bed,armchair,bed,None,,,,,,,,,0,12,12,35,,,,,,,,,,,,,,,29.44012083299458,29.648214666056447,lshift,1,-0.21202433400321752,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
95.0,l1,f,sp,na,../audio/095.wav,,l1_f_sp_na_095,,,,,,,../image/socks.png,../image/key.png,key,rshift,1,key,socks,socks,key,None,,,,,,,,,0,13,13,34,,,,,,,,,,,,,,,29.679235666058958,29.884295291034505,lshift,0,-0.21738516702316701,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
75.0,l1,f,en,na,../audio/075.wav,,l1_f_en_na_075,,,,,,,../image/dog.png,../image/fish.png,fish,rshift,1,fish,dog,dog,fish,None,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,29.916618957999162,30.13324316602666,lshift,0,-0.24143370799720287,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
134.0,l1,t,es,f0u,../audio/134.wav,,l1_t_es_f0u_134,,,,,,,../image/basket.png,../image/truck.png,truck,rshift,1,truck,basket,basket,truck,None,,,,,,,,,0,15,15,48,,,,,,,,,,,,,,,30.16514375002589,30.38160937500652,rshift,1,-0.2049928338965401,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
13.0,l1,t,es,na,../audio/013.wav,,l1_t_es_na_013,,,,,,,../image/beer.png,../image/wine.png,beer,lshift,1,beer,wine,beer,wine,None,,,,,,,,,0,16,16,37,,,,,,,,,,,,,,,30.4137897080509,30.630708749988116,rshift,0,-0.24683666694909334,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
73.0,l1,f,en,na,../audio/073.wav,,l1_f_en_na_073,,,,,,,../image/socks.png,../image/tshirt.png,tshirt,rshift,1,tshirt,socks,socks,tshirt,None,,,,,,,,,0,17,17,12,,,,,,,,,,,,,,,30.661305083078332,30.86817037500441,lshift,0,-0.12612712499685585,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
71.0,l1,f,en,na,../audio/071.wav,,l1_f_en_na_071,,,,,,,../image/wallet.png,../image/plane.png,plane,rshift,1,plane,wallet,wallet,plane,None,,,,,,,,,0,18,18,10,,,,,,,,,,,,,,,30.91009274998214,31.11804954102263,rshift,1,-0.03384512499906123,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
92.0,l1,f,sp,na,../audio/092.wav,,l1_f_sp_na_092,,,,,,,../image/armchair.png,../image/dog.png,armchair,lshift,1,armchair,dog,armchair,dog,None,,,,,,,,,0,19,19,31,,,,,,,,,,,,,,,31.151331291068345,31.37006750004366,lshift,1,-0.2206164998933673,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
131.0,l1,t,es,f0u,../audio/131.wav,,l1_t_es_f0u_131,,,,,,,../image/cat.png,../image/flower.png,cat,lshift,1,cat,flower,cat,flower,None,,,,,,,,,0,20,20,45,,,,,,,,,,,,,,,31.409908541012555,31.617639416013844,rshift,0,-0.2303352920571342,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
61.0,l1,f,en,na,../audio/061.wav,,l1_f_en_na_061,,,,,,,../image/cat.png,../image/dog.png,dog,rshift,1,dog,cat,cat,dog,../image/,,,,,,,,,0,21,21,0,,,,,,,,,,,,,,,31.64712691598106,31.864858958055265,rshift,1,-0.2226699999300763,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
16.0,l1,t,es,na,../audio/016.wav,,l1_t_es_na_016,,,,,,,../image/flipflops.png,../image/bag.png,bag,rshift,1,bag,flipflops,flipflops,bag,None,,,,,,,,,0,22,22,40,,,,,,,,,,,,,,,31.904693208052777,32.10073125001509,lshift,0,0.3949880840955302,32.16494220797904,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
74.0,l1,f,en,na,../audio/074.wav,,l1_f_en_na_074,,,,,,,../image/boy.png,../image/woman.png,boy,lshift,1,boy,woman,boy,woman,None,,,,,,,,,0,23,23,13,,,,,,,,,,,,,,,32.534570625051856,32.734475166071206,rshift,0,-0.041906500002369285,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
65.0,l1,f,en,na,../audio/065.wav,,l1_f_en_na_065,,,,,,,../image/computer.png,../image/book.png,book,rshift,1,book,computer,computer,book,None,,,,,,,,,0,24,24,4,,,,,,,,,,,,,,,32.76997854106594,32.98143216606695,lshift,0,0.5479287500493228,33.017741916002706,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
89.0,l1,f,sp,na,../audio/089.wav,,l1_f_sp_na_089,,,,,,,../image/bed.png,../image/wallet.png,wallet,rshift,1,wallet,bed,bed,wallet,None,,,,,,,,,0,25,25,28,,,,,,,,,,,,,,,33.55969504103996,33.76770866604056,rshift,1,0.28914487501606345,33.800686249975115,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
76.0,l1,f,se,na,../audio/076.wav,,l1_f_se_na_076,,,,,,,../image/hotdog.png,../image/burger.png,hotdog,lshift,1,hotdog,burger,hotdog,burger,None,,,,,,,,,0,26,26,15,,,,,,,,,,,,,,,34.107123250025325,34.3146647909889,lshift,1,0.27872304199263453,34.350937374983914,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
66.0,l1,f,en,na,../audio/066.wav,,l1_f_en_na_066,,,,,,,../image/bag.png,../image/scarf.png,bag,lshift,1,bag,scarf,bag,scarf,None,,,,,,,,,0,27,27,5,,,,,,,,,,,,,,,34.620666500064544,34.834099582978524,rshift,0,0.6266399580053985,34.867676333058625,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
62.0,l1,f,en,na,../audio/062.wav,,l1_f_en_na_062,,,,,,,../image/shoe.png,../image/ring.png,shoe,lshift,1,shoe,ring,shoe,ring,None,,,,,,,,,0,28,28,1,,,,,,,,,,,,,,,35.489958208054304,35.70066308300011,lshift,1,0.6179586671059951,35.734296999988146,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
