participant,session,date,expName,psychopyVersion,OS,frameRate,exp1_trial_key.keys,exp1_trial_key.rt,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_trial_loop.ran,num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp1_loop.ran,exp_num,image,image_alt,left_img,right_img,image_dir,exp2_trial_key.keys,exp2_trial_key.rt,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_retrial.ran,exp2_key.keys,exp2_key.rt,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp2_loop.ran,cs
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,079,l1,f,se,na,audio/079.wav,,l1_f_se_na_079,,,,,,,image/sweatpants.png,image/jeans.png,jeans,rshift,lshift,0,0.0224,0,41,41,18,1,1,jeans,sweatpants,sweatpants,jeans,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,016,l1,t,es,na,audio/016.wav,,l1_t_es_na_016,,,,,,,image/flipflops.png,image/bag.png,bag,rshift,rshift,1,0.0004,0,42,42,40,1,1,bag,flipflops,flipflops,bag,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,133,l1,t,es,f0u,audio/133.wav,,l1_t_es_f0u_133,,,,,,,image/cellphone.png,image/book.png,cellphone,lshift,lshift,1,0.0405,0,43,43,47,1,1,cellphone,book,cellphone,book,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,077,l1,f,se,na,audio/077.wav,,l1_f_se_na_077,,,,,,,image/mashedpotatoes.png,image/donut.png,donut,rshift,rshift,1,0.1288,0,44,44,16,1,1,donut,mashedpotatoes,mashedpotatoes,donut,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,135,l1,t,es,f0u,audio/135.wav,,l1_t_es_f0u_135,,,,,,,image/flipflops.png,image/flower.png,flipflops,lshift,lshift,1,0.1147,0,45,45,49,1,1,flipflops,flower,flipflops,flower,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,013,l1,t,es,na,audio/013.wav,,l1_t_es_na_013,,,,,,,image/beer.png,image/wine.png,beer,lshift,rshift,0,0.0018,0,46,46,37,1,1,beer,wine,beer,wine,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,067,l1,f,en,na,audio/067.wav,,l1_f_en_na_067,,,,,,,image/beer.png,image/glasses.png,glasses,rshift,lshift,0,0.1504,0,47,47,6,1,1,glasses,beer,beer,glasses,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,137,l1,t,es,f0u,audio/137.wav,,l1_t_es_f0u_137,,,,,,,image/jacket.png,image/shirt.png,jacket,lshift,rshift,0,0.1625,0,48,48,51,1,1,jacket,shirt,jacket,shirt,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,063,l1,f,en,na,audio/063.wav,,l1_f_en_na_063,,,,,,,image/woman.png,image/man.png,man,rshift,lshift,0,0.1648,0,49,49,2,1,1,man,woman,woman,man,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,091,l1,f,sp,na,audio/091.wav,,l1_f_sp_na_091,,,,,,,image/backpack.png,image/bracelet.png,bracelet,rshift,rshift,1,0.151,0,50,50,30,1,1,bracelet,backpack,backpack,bracelet,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,020,l1,t,es,na,audio/020.wav,,l1_t_es_na_020,,,,,,,image/cellphone.png,image/backpack.png,backpack,rshift,lshift,0,0.1261,0,51,51,44,1,1,backpack,cellphone,cellphone,backpack,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,065,l1,f,en,na,audio/065.wav,,l1_f_en_na_065,,,,,,,image/computer.png,image/book.png,book,rshift,rshift,1,0.1955,0,52,52,4,1,1,book,computer,computer,book,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,140,l1,t,es,f0u,audio/140.wav,,l1_t_es_f0u_140,,,,,,,image/ring.png,image/bracelet.png,bracelet,rshift,rshift,1,0.1649,0,53,53,54,1,1,bracelet,ring,ring,bracelet,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,136,l1,t,es,f0u,audio/136.wav,,l1_t_es_f0u_136,,,,,,,image/city.png,image/village.png,village,rshift,lshift,0,0.0818,0,54,54,50,1,1,village,city,city,village,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[1.4428999999761487,2.1252999999523183]",0,0,0,0,1,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,123,l2,f,sp,na,audio/123.wav,,l2_f_sp_na_123,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift"",""rshift""]","[1.7003000000119215,1.9833999999761573,2.3499999999999943]",0,0,0,27,1,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,170,l2,t,es,f0c,audio/170.wav,,l2_t_es_f0c_170,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[1.4198999999761526,2.1280999999642347]",0,1,1,54,1,1
