,num,list,cond,lang,type,mat_dur,correct_key,exp_num,cs,exp1_key.keys,exp1_key.rt,exp1_key.corr,exp2_key.keys,exp2_key.rt,participant,group,prof
25,11,l1,t,es,na,0.944375,lshift,1,NA,lshift,2.7305,1,,,70,exp_g1,31
4,12,l1,t,es,na,0.823703,rshift,1,NA,rshift,2.8514,1,,,70,exp_g1,31
16,13,l1,t,es,na,1.352093,lshift,1,NA,lshift,2.9699,1,,,70,exp_g1,31
31,14,l1,t,es,na,0.788685,rshift,1,NA,rshift,2.6667,1,,,70,exp_g1,31
28,15,l1,t,es,na,0.882114,lshift,1,NA,lshift,2.6872,1,,,70,exp_g1,31
24,16,l1,t,es,na,1.694902,rshift,1,NA,rshift,3.3809,1,,,70,exp_g1,31
32,17,l1,t,es,na,1.328805,lshift,1,NA,lshift,2.9769,1,,,70,exp_g1,31
34,18,l1,t,es,na,0.900375,rshift,1,NA,rshift,2.5008,1,,,70,exp_g1,31
3,19,l1,t,es,na,1.44153,lshift,1,NA,lshift,3.196,1,,,70,exp_g1,31
27,20,l1,t,es,na,0.99676,rshift,1,NA,rshift,2.7099,1,,,70,exp_g1,31
38,21,l2,t,es,na,0.704021,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.2007999999970025,2.185199999995575]",70,exp_g1,31
59,22,l2,t,es,na,0.863963,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.8796999999955233,2.7613999999985026]",70,exp_g1,31
50,23,l2,t,es,na,0.806296,,2,1,,NA,NA,"[""lshift"",""rshift""]","[2.1673000000043885,2.5562000000029457]",70,exp_g1,31
43,24,l2,t,es,na,0.817267,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.1766000000014856,2.233000000000061]",70,exp_g1,31
47,25,l2,t,es,na,0.909694,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.6507000000029848,2.3333999999985053]",70,exp_g1,31
68,26,l2,t,es,na,0.977641,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.8215000000000146,2.316600000001472]",70,exp_g1,31
53,27,l2,t,es,na,0.619246,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.4744999999999209,2.0668999999984408]",70,exp_g1,31
