,num,list,cond,lang,type,mat_dur,correct_key,exp_num,cs,exp1_key.keys,exp1_key.rt,exp1_key.corr,exp2_key.keys,exp2_key.rt,participant,group,prof
1,11,l1,t,es,na,0.944375,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.3842000000477128,2.749499999999898]",29,exp_g2,0
2,12,l1,t,es,na,0.823703,,2,1,,NA,NA,"[""lshift"",""lshift"",""rshift""]","[1.6002000000478347,1.8352000000477346,2.683999999999969]",29,exp_g2,0
3,13,l1,t,es,na,1.352093,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.3176999999284362,2.7676999999284817]",29,exp_g2,0
4,14,l1,t,es,na,0.788685,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.2180000000000746,2.2212999999524072]",29,exp_g2,0
5,15,l1,t,es,na,0.882114,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.9693999999763037,2.90300000000002]",29,exp_g2,0
6,16,l1,t,es,na,1.694902,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.2683999999760545,3.1843999999759944]",29,exp_g2,0
7,17,l1,t,es,na,1.328805,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.1989999999998417,2.7818999999760763]",29,exp_g2,0
8,18,l1,t,es,na,0.900375,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.3701999999284453,2.714999999999918]",29,exp_g2,0
9,19,l1,t,es,na,1.44153,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.4688000000714965,2.751700000047549]",29,exp_g2,0
10,20,l1,t,es,na,0.99676,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.2058999999760545,2.5893999999761945]",29,exp_g2,0
11,21,l2,t,es,na,0.704021,lshift,1,NA,lshift,2.0656,1,,,29,exp_g2,0
12,22,l2,t,es,na,0.863963,rshift,1,NA,rshift,2.569,1,,,29,exp_g2,0
13,23,l2,t,es,na,0.806296,lshift,1,NA,lshift,2.5786,1,,,29,exp_g2,0
14,24,l2,t,es,na,0.817267,rshift,1,NA,rshift,2.8964,1,,,29,exp_g2,0
15,25,l2,t,es,na,0.909694,lshift,1,NA,lshift,2.5648,1,,,29,exp_g2,0
16,26,l2,t,es,na,0.977641,rshift,1,NA,rshift,2.247,1,,,29,exp_g2,0
17,27,l2,t,es,na,0.619246,lshift,1,NA,lshift,2.1859,1,,,29,exp_g2,0
18,28,l2,t,es,na,0.937816,rshift,1,NA,lshift,3.7307,0,,,29,exp_g2,0
19,29,l2,t,es,na,1.122001,lshift,1,NA,lshift,2.8995,1,,,29,exp_g2,0
20,30,l2,t,es,na,1.133667,rshift,1,NA,rshift,3.3472,1,,,29,exp_g2,0
21,61,l1,f,en,na,-,,2,NA,,NA,NA,"[""lshift""]",[2.0218999999760854],29,exp_g2,0
22,62,l1,f,en,na,-,,2,NA,,NA,NA,"[""lshift""]",[1.36720000004766],29,exp_g2,0
23,63,l1,f,en,na,0.351376,,2,NA,,NA,NA,"[""lshift""]",[1.186700000047722],29,exp_g2,0
24,64,l1,f,en,na,0.428572,,2,NA,,NA,NA,"[""lshift"",""lshift""]","[1.4175000000000182,3.566000000000031]",29,exp_g2,0
25,65,l1,f,en,na,-,,2,NA,,NA,NA,"[""lshift""]",[1.3337000000476564],29,exp_g2,0
26,66,l1,f,en,na,0.780001,,2,NA,,NA,NA,"[""lshift""]",[1.6525999999046235],29,exp_g2,0
27,67,l1,f,en,na,0.950804,,2,NA,,NA,NA,"[""lshift""]",[1.2682000000477274],29,exp_g2,0
28,68,l1,f,en,na,0.600784,,2,NA,,NA,NA,"[""lshift""]",[1.2081000000237054],29,exp_g2,0
29,69,l1,f,en,na,-,,2,NA,,NA,NA,"[""lshift""]",[1.5060000000000855],29,exp_g2,0
30,70,l1,f,en,na,-,,2,NA,,NA,NA,"[""lshift""]",[2.183499999999867],29,exp_g2,0
31,71,l1,f,en,na,1.261129,,2,NA,,NA,NA,"[""lshift""]",[1.5499000000954766],29,exp_g2,0
32,72,l1,f,en,na,0.83156,,2,NA,,NA,NA,"[""lshift""]",[2.3366000000239637],29,exp_g2,0
33,73,l1,f,en,na,0.877576,,2,NA,,NA,NA,"[""lshift""]",[2.2725000000000364],29,exp_g2,0
34,74,l1,f,en,na,0.396484,,2,NA,,NA,NA,"[""lshift""]",[1.3336999999282853],29,exp_g2,0
35,75,l1,f,en,na,0.913493,,2,NA,,NA,NA,"[""lshift"",""lshift""]","[1.6746000000237018,2.8542000000475127]",29,exp_g2,0
36,96,l2,f,en,na,-,rshift,1,NA,rshift,1.9493,1,,,29,exp_g2,0
37,97,l2,f,en,na,-,lshift,1,NA,lshift,2.3362,1,,,29,exp_g2,0
