,num,list,cond,lang,type,mat_dur,correct_key,exp_num,cs,exp1_key.keys,exp1_key.rt,exp1_key.corr,exp2_key.keys,exp2_key.rt,participant,group,prof
9,11,l1,t,es,na,0.944375,lshift,1,,lshift,3.150265542,1,,,52,exp_g1,11
33,12,l1,t,es,na,0.823703,rshift,1,,lshift,0.504521375,0,,,52,exp_g1,11
24,13,l1,t,es,na,1.352093,lshift,1,,lshift,3.066672458,1,,,52,exp_g1,11
6,14,l1,t,es,na,0.788685,rshift,1,,rshift,2.5843005,1,,,52,exp_g1,11
12,15,l1,t,es,na,0.882114,lshift,1,,lshift,2.744366834,1,,,52,exp_g1,11
7,16,l1,t,es,na,1.694902,rshift,1,,rshift,3.276699042,1,,,52,exp_g1,11
13,17,l1,t,es,na,1.328805,lshift,1,,lshift,3.566165667,1,,,52,exp_g1,11
16,18,l1,t,es,na,0.900375,rshift,1,,rshift,4.258899833,1,,,52,exp_g1,11
8,19,l1,t,es,na,1.44153,lshift,1,,lshift,3.297999375,1,,,52,exp_g1,11
35,20,l1,t,es,na,0.99676,rshift,1,,lshift,2.7087925,0,,,52,exp_g1,11
62,21,l2,t,es,na,0.704021,,2,1,,NA,NA,"['lshift', 'rshift']","[1.7579991249949671, 2.323289207997732]",52,exp_g1,11
66,22,l2,t,es,na,0.863963,,2,1,,NA,NA,"['lshift', 'rshift']","[1.9874197500175796, 2.365767000010237]",52,exp_g1,11
60,23,l2,t,es,na,0.806296,,2,1,,NA,NA,"['lshift', 'rshift']","[1.750894790980965, 2.584768582950346]",52,exp_g1,11
61,24,l2,t,es,na,0.817267,,2,1,,NA,NA,"['lshift', 'rshift']","[2.422432249994017, 2.634703374991659]",52,exp_g1,11
50,25,l2,t,es,na,0.909694,,2,1,,NA,NA,"['lshift', 'rshift']","[1.6220999590004794, 2.2152735839481466]",52,exp_g1,11
53,26,l2,t,es,na,0.977641,,2,1,,NA,NA,"['lshift', 'rshift']","[1.9247867919621058, 2.4596437919535674]",52,exp_g1,11
67,27,l2,t,es,na,0.619246,,2,1,,NA,NA,"['lshift', 'rshift']","[1.8781087499228306, 2.2855548749212176]",52,exp_g1,11
64,28,l2,t,es,na,0.937816,,2,1,,NA,NA,"['lshift', 'rshift']","[1.5761886249529198, 2.371808957948815]",52,exp_g1,11
