,num,list,cond,lang,type,mat_dur,correct_key,exp_num,cs,exp1_key.keys,exp1_key.rt,exp1_key.corr,exp2_key.keys,exp2_key.rt,participant,group,prof
1,11,l1,t,es,na,0.944375,,2,1,,NA,NA,"[""lshift""]",[3.9300000000000637],6,exp_g2,-16
2,12,l1,t,es,na,0.823703,,2,1,,NA,NA,"[""lshift"",""rshift""]","[3.247000000000071,3.4292000000477856]",6,exp_g2,-16
3,13,l1,t,es,na,1.352093,,2,1,,NA,NA,"[""lshift"",""rshift""]","[3.064600000023802,3.3804999999999836]",6,exp_g2,-16
4,14,l1,t,es,na,0.788685,,2,1,,NA,NA,"[""lshift""]",[2.94919999992851],6,exp_g2,-16
5,15,l1,t,es,na,0.882114,,2,1,,NA,NA,"[""lshift"",""rshift""]","[2.624300000071571,2.8324000000952765]",6,exp_g2,-16
6,16,l1,t,es,na,1.694902,,2,1,,NA,NA,"[""lshift"",""rshift""]","[3.74740000009524,4.116200000047684]",6,exp_g2,-16
7,17,l1,t,es,na,1.328805,,2,1,,NA,NA,"[""lshift"",""rshift""]","[2.598799999952348,3.0822999999523972]",6,exp_g2,-16
8,18,l1,t,es,na,0.900375,,2,1,,NA,NA,"[""lshift"",""rshift"",""rshift"",""rshift""]","[2.665899999976091,2.8990000000001146,2.9333999999762455,3.0153000000716474]",6,exp_g2,-16
9,19,l1,t,es,na,1.44153,,2,1,,NA,NA,"[""lshift"",""lshift"",""lshift""]","[4.328999999999951,4.6124999999999545,4.795300000071393]",6,exp_g2,-16
10,20,l1,t,es,na,0.99676,,2,1,,NA,NA,"[""lshift""]",[4.7805999999045525],6,exp_g2,-16
11,21,l2,t,es,na,0.704021,lshift,1,NA,lshift,2.4685,1,,,6,exp_g2,-16
12,22,l2,t,es,na,0.863963,rshift,1,NA,rshift,2.8365,1,,,6,exp_g2,-16
13,23,l2,t,es,na,0.806296,lshift,1,NA,rshift,2.8278,0,,,6,exp_g2,-16
14,24,l2,t,es,na,0.817267,rshift,1,NA,rshift,2.8472,1,,,6,exp_g2,-16
15,25,l2,t,es,na,0.909694,lshift,1,NA,rshift,2.6368,0,,,6,exp_g2,-16
16,26,l2,t,es,na,0.977641,rshift,1,NA,rshift,2.5987,1,,,6,exp_g2,-16
17,27,l2,t,es,na,0.619246,lshift,1,NA,lshift,2.3653,1,,,6,exp_g2,-16
18,28,l2,t,es,na,0.937816,rshift,1,NA,rshift,2.4808,1,,,6,exp_g2,-16
19,29,l2,t,es,na,1.122001,lshift,1,NA,rshift,2.9284,0,,,6,exp_g2,-16
20,30,l2,t,es,na,1.133667,rshift,1,NA,rshift,3.879,1,,,6,exp_g2,-16
21,61,l1,f,en,na,-,,2,NA,,NA,NA,"[""lshift""]",[2.5651000000239037],6,exp_g2,-16
22,62,l1,f,en,na,-,,2,NA,,NA,NA,"[""lshift""]",[2.2992999999523818],6,exp_g2,-16
23,63,l1,f,en,na,0.351376,,2,NA,,NA,NA,"[""lshift""]",[1.9656999999284608],6,exp_g2,-16
24,64,l1,f,en,na,0.428572,,2,NA,,NA,NA,"[""lshift""]",[2.6648999999761145],6,exp_g2,-16
25,65,l1,f,en,na,-,,2,NA,,NA,NA,"[""lshift""]",[2.508000000000038],6,exp_g2,-16
