,num,list,cond,lang,type,mat_dur,correct_key,exp_num,cs,exp1_key.keys,exp1_key.rt,exp1_key.corr,exp2_key.keys,exp2_key.rt,participant,group,prof
65,11,l1,t,es,na,0.944375,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.455900000005954,2.3354000000059614]",74,exp_g2,3
48,12,l1,t,es,na,0.823703,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.2339999999999236,2.3234999999999673]",74,exp_g2,3
50,13,l1,t,es,na,1.352093,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.4071000000089953,2.5254999999999654]",74,exp_g2,3
69,14,l1,t,es,na,0.788685,,2,1,,NA,NA,"[""lshift"",""rshift""]","[2.038499999999999,2.3885999999939713]",74,exp_g2,3
47,15,l1,t,es,na,0.882114,,2,1,,NA,NA,"[""rshift"",""lshift"",""rshift""]","[1.2434999999999263,1.808499999999981,2.3576999999880854]",74,exp_g2,3
38,16,l1,t,es,na,1.694902,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.3347000000030107,3.0032999999970684]",74,exp_g2,3
57,17,l1,t,es,na,1.328805,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.517500000000041,2.566099999994094]",74,exp_g2,3
61,18,l1,t,es,na,0.900375,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.3257999999970025,2.255799999997066]",74,exp_g2,3
67,19,l1,t,es,na,1.44153,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.7189000000059877,2.7174000000059095]",74,exp_g2,3
37,20,l1,t,es,na,0.99676,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.232500000000016,2.3652999999970348]",74,exp_g2,3
2,21,l2,t,es,na,0.704021,lshift,1,NA,lshift,2.4088,1,,,74,exp_g2,3
31,22,l2,t,es,na,0.863963,rshift,1,NA,rshift,2.3492,1,,,74,exp_g2,3
1,23,l2,t,es,na,0.806296,lshift,1,NA,lshift,2.3006,1,,,74,exp_g2,3
29,24,l2,t,es,na,0.817267,rshift,1,NA,rshift,2.6107,1,,,74,exp_g2,3
34,25,l2,t,es,na,0.909694,lshift,1,NA,lshift,2.5492,1,,,74,exp_g2,3
13,26,l2,t,es,na,0.977641,rshift,1,NA,rshift,2.3899,1,,,74,exp_g2,3
4,27,l2,t,es,na,0.619246,lshift,1,NA,lshift,2.2929,1,,,74,exp_g2,3
26,28,l2,t,es,na,0.937816,rshift,1,NA,rshift,2.4244,1,,,74,exp_g2,3
30,29,l2,t,es,na,1.122001,lshift,1,NA,lshift,3.1397,1,,,74,exp_g2,3
16,30,l2,t,es,na,1.133667,rshift,1,NA,rshift,2.6584,1,,,74,exp_g2,3
60,61,l1,f,en,na,-,,2,NA,,NA,NA,"[""lshift""]",[1.5312999999970316],74,exp_g2,3
64,62,l1,f,en,na,-,,2,NA,,NA,NA,"[""lshift""]",[1.6887999999969452],74,exp_g2,3
70,63,l1,f,en,na,0.351376,,2,NA,,NA,NA,"[""lshift""]",[1.38149999999996],74,exp_g2,3
54,64,l1,f,en,na,0.428572,,2,NA,,NA,NA,"[""lshift""]",[1.433199999988119],74,exp_g2,3
63,65,l1,f,en,na,-,,2,NA,,NA,NA,"[""lshift""]",[1.366299999997068],74,exp_g2,3
40,66,l1,f,en,na,0.780001,,2,NA,,NA,NA,"[""lshift""]",[1.384999999999991],74,exp_g2,3
66,67,l1,f,en,na,0.950804,,2,NA,,NA,NA,"[""lshift""]",[1.4328999999910366],74,exp_g2,3
45,68,l1,f,en,na,0.600784,,2,NA,,NA,NA,"[""lshift""]",[1.5333999999910475],74,exp_g2,3
59,69,l1,f,en,na,-,,2,NA,,NA,NA,"[""lshift""]",[1.4164999999999281],74,exp_g2,3
68,70,l1,f,en,na,-,,2,NA,,NA,NA,"[""lshift""]",[1.4678999999911184],74,exp_g2,3
53,71,l1,f,en,na,1.261129,,2,NA,,NA,NA,"[""lshift""]",[1.433099999994056],74,exp_g2,3
56,72,l1,f,en,na,0.83156,,2,NA,,NA,NA,"[""lshift""]",[1.4342000000029884],74,exp_g2,3
52,73,l1,f,en,na,0.877576,,2,NA,,NA,NA,"[""lshift""]",[1.3892000000030293],74,exp_g2,3
58,74,l1,f,en,na,0.396484,,2,NA,,NA,NA,"[""lshift""]",[1.3007000000030757],74,exp_g2,3
44,75,l1,f,en,na,0.913493,,2,NA,,NA,NA,"[""lshift""]",[1.2718999999910352],74,exp_g2,3
19,96,l2,f,en,na,-,rshift,1,NA,rshift,2.027,1,,,74,exp_g2,3
23,97,l2,f,en,na,-,lshift,1,NA,lshift,2.2313,1,,,74,exp_g2,3
9,98,l2,f,en,na,0.376142,rshift,1,NA,rshift,2.1739,1,,,74,exp_g2,3
5,99,l2,f,en,na,0.462405,lshift,1,NA,lshift,1.8734,1,,,74,exp_g2,3
17,100,l2,f,en,na,-,rshift,1,NA,rshift,1.7721,1,,,74,exp_g2,3
8,101,l2,f,en,na,0.924484,lshift,1,NA,lshift,2.6493,1,,,74,exp_g2,3
28,102,l2,f,en,na,1.021105,rshift,1,NA,rshift,2.4293,1,,,74,exp_g2,3
35,103,l2,f,en,na,0.594925,lshift,1,NA,lshift,2.4066,1,,,74,exp_g2,3
14,104,l2,f,en,na,-,rshift,1,NA,rshift,1.8704,1,,,74,exp_g2,3
20,105,l2,f,en,na,-,lshift,1,NA,lshift,2.9076,1,,,74,exp_g2,3
21,106,l2,f,en,na,1.203962,rshift,1,NA,rshift,2.6091,1,,,74,exp_g2,3
10,107,l2,f,en,na,0.740095,lshift,1,NA,lshift,2.2448,1,,,74,exp_g2,3
12,108,l2,f,en,na,0.818995,rshift,1,NA,rshift,2.8856,1,,,74,exp_g2,3
