,num,list,cond,lang,type,mat_dur,correct_key,exp_num,cs,exp1_key.keys,exp1_key.rt,exp1_key.corr,exp2_key.keys,exp2_key.rt,participant,group,prof
1,11,l1,t,es,na,0.944375,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.70150000000001,2.8367000000030203]",27,exp_g2,14
2,12,l1,t,es,na,0.823703,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.7008999999910657,2.3327999999970643]",27,exp_g2,14
3,13,l1,t,es,na,1.352093,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.3184000000059086,2.451999999999998]",27,exp_g2,14
4,14,l1,t,es,na,0.788685,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.4927999999970325,1.9927000000029693]",27,exp_g2,14
5,15,l1,t,es,na,0.882114,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.8452000000030466,2.31729999999709]",27,exp_g2,14
6,16,l1,t,es,na,1.694902,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.5342999999969607,2.918099999993956]",27,exp_g2,14
7,17,l1,t,es,na,1.328805,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.2327999999970416,2.708100000008926]",27,exp_g2,14
8,18,l1,t,es,na,0.900375,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.367100000008918,2.300600000008899]",27,exp_g2,14
9,19,l1,t,es,na,1.44153,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.6509000000058904,2.6837000000028866]",27,exp_g2,14
10,20,l1,t,es,na,0.99676,,2,1,,NA,NA,"[""lshift"",""rshift""]","[1.1675000000000182,2.3677999999970325]",27,exp_g2,14
11,21,l2,t,es,na,0.704021,lshift,1,NA,lshift,2.5443,1,,,27,exp_g2,14
12,22,l2,t,es,na,0.863963,rshift,1,NA,rshift,2.2112,1,,,27,exp_g2,14
13,23,l2,t,es,na,0.806296,lshift,1,NA,lshift,2.0187,1,,,27,exp_g2,14
14,24,l2,t,es,na,0.817267,rshift,1,NA,rshift,4.5985,1,,,27,exp_g2,14
15,25,l2,t,es,na,0.909694,lshift,1,NA,rshift,2.6853,0,,,27,exp_g2,14
16,26,l2,t,es,na,0.977641,rshift,1,NA,rshift,2.2962,1,,,27,exp_g2,14
17,27,l2,t,es,na,0.619246,lshift,1,NA,lshift,2.0457,1,,,27,exp_g2,14
18,28,l2,t,es,na,0.937816,rshift,1,NA,lshift,2.9292,0,,,27,exp_g2,14
19,29,l2,t,es,na,1.122001,lshift,1,NA,,NA,0,,,27,exp_g2,14
20,30,l2,t,es,na,1.133667,rshift,1,NA,rshift,3.0019,1,,,27,exp_g2,14
21,61,l1,f,en,na,-,,2,NA,,NA,NA,"[""lshift""]",[1.3672999999970443],27,exp_g2,14
22,62,l1,f,en,na,-,,2,NA,,NA,NA,"[""lshift""]",[1.3338999999909902],27,exp_g2,14
23,63,l1,f,en,na,0.351376,,2,NA,,NA,NA,"[""lshift""]",[1.2005000000000337],27,exp_g2,14
24,64,l1,f,en,na,0.428572,,2,NA,,NA,NA,"[""lshift""]",[1.217599999994036],27,exp_g2,14
25,65,l1,f,en,na,-,,2,NA,,NA,NA,"[""lshift""]",[1.2340000000000373],27,exp_g2,14
26,66,l1,f,en,na,0.780001,,2,NA,,NA,NA,"[""lshift"",""lshift""]","[1.1004000000059477,2.406900000005976]",27,exp_g2,14
27,67,l1,f,en,na,0.950804,,2,NA,,NA,NA,"[""lshift""]",[1.6175000000000637],27,exp_g2,14
28,68,l1,f,en,na,0.600784,,2,NA,,NA,NA,"[""lshift""]",[1.201099999994085],27,exp_g2,14
29,69,l1,f,en,na,-,,2,NA,,NA,NA,"[""lshift""]",[1.618099999994115],27,exp_g2,14
30,70,l1,f,en,na,-,,2,NA,,NA,NA,"[""lshift""]",[1.610599999994065],27,exp_g2,14
31,71,l1,f,en,na,1.261129,,2,NA,,NA,NA,"[""lshift""]",[1.4094000000059168],27,exp_g2,14
32,72,l1,f,en,na,0.83156,,2,NA,,NA,NA,"[""lshift"",""rshift""]","[1.260899999991068,2.056799999996997]",27,exp_g2,14
33,73,l1,f,en,na,0.877576,,2,NA,,NA,NA,"[""lshift""]",[1.3845000000000027],27,exp_g2,14
