,num,list,cond,lang,type,mat_dur,correct_key,exp_num,cs,exp1_key.keys,exp1_key.rt,exp1_key.corr,exp2_key.keys,exp2_key.rt,participant,group,prof
1,11,l1,t,es,na,0.944375,lshift,1,,lshift,3.037137666,1,,,12,exp_g1,8
2,12,l1,t,es,na,0.823703,rshift,1,,rshift,2.772565208,1,,,12,exp_g1,8
3,13,l1,t,es,na,1.352093,lshift,1,,lshift,2.792316416,1,,,12,exp_g1,8
4,14,l1,t,es,na,0.788685,rshift,1,,rshift,2.329284375,1,,,12,exp_g1,8
5,15,l1,t,es,na,0.882114,lshift,1,,lshift,3.173125333,1,,,12,exp_g1,8
6,16,l1,t,es,na,1.694902,rshift,1,,rshift,3.141361833,1,,,12,exp_g1,8
7,17,l1,t,es,na,1.328805,lshift,1,,lshift,4.193076041,1,,,12,exp_g1,8
8,18,l1,t,es,na,0.900375,rshift,1,,rshift,3.050142166,1,,,12,exp_g1,8
9,19,l1,t,es,na,1.44153,lshift,1,,lshift,-0.352787875,1,,,12,exp_g1,8
10,20,l1,t,es,na,0.99676,rshift,1,,rshift,2.490079291,1,,,12,exp_g1,8
11,21,l2,t,es,na,0.704021,,2,1,,NA,NA,['rshift'],[2.1916062500094995],12,exp_g1,8
12,22,l2,t,es,na,0.863963,,2,1,,NA,NA,['rshift'],[2.595971417031251],12,exp_g1,8
13,23,l2,t,es,na,0.806296,,2,1,,NA,NA,['rshift'],[3.040092499984894],12,exp_g1,8
14,24,l2,t,es,na,0.817267,,2,1,,NA,NA,['rshift'],[2.624607208010275],12,exp_g1,8
15,25,l2,t,es,na,0.909694,,2,1,,NA,NA,['rshift'],[2.6650084580178373],12,exp_g1,8
16,26,l2,t,es,na,0.977641,,2,1,,NA,NA,['rshift'],[2.6904930000309832],12,exp_g1,8
17,27,l2,t,es,na,0.619246,,2,1,,NA,NA,['rshift'],[2.8630681239883415],12,exp_g1,8
18,28,l2,t,es,na,0.937816,,2,1,,NA,NA,['rshift'],[2.866417540994007],12,exp_g1,8
19,29,l2,t,es,na,1.122001,,2,1,,NA,NA,['rshift'],[2.755495874036569],12,exp_g1,8
20,30,l2,t,es,na,1.133667,,2,1,,NA,NA,['rshift'],[2.992524624976795],12,exp_g1,8
21,61,l1,f,en,na,-,rshift,1,,rshift,2.097813916,1,,,12,exp_g1,8
22,62,l1,f,en,na,-,lshift,1,,lshift,2.167530792,1,,,12,exp_g1,8
23,63,l1,f,en,na,0.351376,rshift,1,,rshift,2.126005,1,,,12,exp_g1,8
24,64,l1,f,en,na,0.428572,lshift,1,,lshift,1.938358374,1,,,12,exp_g1,8
25,65,l1,f,en,na,-,rshift,1,,rshift,1.938052583,1,,,12,exp_g1,8
26,66,l1,f,en,na,0.780001,lshift,1,,lshift,2.565590291,1,,,12,exp_g1,8
27,67,l1,f,en,na,0.950804,rshift,1,,rshift,2.457005875,1,,,12,exp_g1,8
28,68,l1,f,en,na,0.600784,lshift,1,,lshift,2.371385541,1,,,12,exp_g1,8
29,69,l1,f,en,na,-,rshift,1,,rshift,2.358858541,1,,,12,exp_g1,8
30,70,l1,f,en,na,-,lshift,1,,lshift,2.470402167,1,,,12,exp_g1,8
31,71,l1,f,en,na,1.261129,rshift,1,,rshift,2.678988708,1,,,12,exp_g1,8
32,72,l1,f,en,na,0.83156,lshift,1,,lshift,2.181172666,1,,,12,exp_g1,8
33,73,l1,f,en,na,0.877576,rshift,1,,rshift,2.4068975,1,,,12,exp_g1,8
34,74,l1,f,en,na,0.396484,lshift,1,,lshift,1.890186125,1,,,12,exp_g1,8
35,75,l1,f,en,na,0.913493,rshift,1,,rshift,2.459466583,1,,,12,exp_g1,8
36,96,l2,f,en,na,-,,2,None,,NA,NA,['lshift'],[2.2192961660330184],12,exp_g1,8
37,97,l2,f,en,na,-,,2,None,,NA,NA,['lshift'],[2.489506417012308],12,exp_g1,8
38,98,l2,f,en,na,0.376142,,2,None,,NA,NA,['lshift'],[2.305972667003516],12,exp_g1,8
39,99,l2,f,en,na,0.462405,,2,None,,NA,NA,['lshift'],[2.1534679169999436],12,exp_g1,8
40,100,l2,f,en,na,-,,2,None,,NA,NA,['lshift'],[3.122077666048426],12,exp_g1,8
41,101,l2,f,en,na,0.924484,,2,None,,NA,NA,['lshift'],[2.761786375020165],12,exp_g1,8
