,num,list,cond,lang,type,mat_dur,correct_key,exp_num,cs,exp1_key.keys,exp1_key.rt,exp1_key.corr,exp2_key.keys,exp2_key.rt,participant,group,prof
20,11,l1,t,es,na,0.944375,lshift,1,,lshift,2.666977374,1,,,68,exp_g1,1
16,12,l1,t,es,na,0.823703,rshift,1,,rshift,2.855989583,1,,,68,exp_g1,1
22,13,l1,t,es,na,1.352093,lshift,1,,rshift,3.418561,0,,,68,exp_g1,1
34,14,l1,t,es,na,0.788685,rshift,1,,rshift,2.647232124,1,,,68,exp_g1,1
12,15,l1,t,es,na,0.882114,lshift,1,,lshift,4.833840916,1,,,68,exp_g1,1
30,16,l1,t,es,na,1.694902,rshift,1,,rshift,3.373792083,1,,,68,exp_g1,1
11,17,l1,t,es,na,1.328805,lshift,1,,lshift,3.812655833,1,,,68,exp_g1,1
18,18,l1,t,es,na,0.900375,rshift,1,,lshift,4.755610499,0,,,68,exp_g1,1
29,19,l1,t,es,na,1.44153,lshift,1,,lshift,3.125430666,1,,,68,exp_g1,1
19,20,l1,t,es,na,0.99676,rshift,1,,None,NA,0,,,68,exp_g1,1
50,21,l2,t,es,na,0.704021,,2,1,,NA,NA,"['lshift', 'rshift']","[1.5685014999471605, 2.310467791976407]",68,exp_g1,1
38,22,l2,t,es,na,0.863963,,2,1,,NA,NA,"['lshift', 'rshift']","[1.410625541000627, 2.219512208015658]",68,exp_g1,1
56,23,l2,t,es,na,0.806296,,2,1,,NA,NA,"['lshift', 'rshift']","[1.523934290977195, 2.2029066249961033]",68,exp_g1,1
42,24,l2,t,es,na,0.817267,,2,1,,NA,NA,"['lshift', 'rshift']","[1.419456540956162, 2.1246414160123095]",68,exp_g1,1
63,25,l2,t,es,na,0.909694,,2,1,,NA,NA,"['lshift', 'rshift']","[1.398018499952741, 2.030454749939963]",68,exp_g1,1
46,26,l2,t,es,na,0.977641,,2,1,,NA,NA,"['lshift', 'rshift']","[1.443544208072126, 2.517495125066489]",68,exp_g1,1
62,27,l2,t,es,na,0.619246,,2,1,,NA,NA,"['lshift', 'rshift']","[1.693926875013858, 2.0729216660838574]",68,exp_g1,1
44,28,l2,t,es,na,0.937816,,2,1,,NA,NA,"['lshift', 'rshift']","[1.2118508329149336, 2.4439619159093127]",68,exp_g1,1
55,29,l2,t,es,na,1.122001,,2,1,,NA,NA,"['lshift', 'rshift']","[1.3111616669921204, 2.7384508749237284]",68,exp_g1,1
47,30,l2,t,es,na,1.133667,,2,1,,NA,NA,"['lshift', 'rshift']","[1.2947960420278832, 2.5099258749978617]",68,exp_g1,1
6,61,l1,f,en,na,-,rshift,1,,rshift,2.153764083,1,,,68,exp_g1,1
35,62,l1,f,en,na,-,lshift,1,,lshift,2.135851583,1,,,68,exp_g1,1
26,63,l1,f,en,na,0.351376,rshift,1,,rshift,1.767320541,1,,,68,exp_g1,1
15,64,l1,f,en,na,0.428572,lshift,1,,lshift,2.039571166,1,,,68,exp_g1,1
8,65,l1,f,en,na,-,rshift,1,,rshift,2.011527125,1,,,68,exp_g1,1
25,66,l1,f,en,na,0.780001,lshift,1,,lshift,2.251348833,1,,,68,exp_g1,1
3,67,l1,f,en,na,0.950804,rshift,1,,rshift,2.491859833,1,,,68,exp_g1,1
33,68,l1,f,en,na,0.600784,lshift,1,,lshift,2.4025395,1,,,68,exp_g1,1
1,69,l1,f,en,na,-,rshift,1,,rshift,3.030613416,1,,,68,exp_g1,1
27,70,l1,f,en,na,-,lshift,1,,lshift,2.672105375,1,,,68,exp_g1,1
28,71,l1,f,en,na,1.261129,rshift,1,,rshift,2.705067625,1,,,68,exp_g1,1
14,72,l1,f,en,na,0.83156,lshift,1,,lshift,2.23053975,1,,,68,exp_g1,1
7,73,l1,f,en,na,0.877576,rshift,1,,rshift,2.304684875,1,,,68,exp_g1,1
21,74,l1,f,en,na,0.396484,lshift,1,,lshift,1.851720417,1,,,68,exp_g1,1
9,75,l1,f,en,na,0.913493,rshift,1,,rshift,2.440931833,1,,,68,exp_g1,1
37,96,l2,f,en,na,-,,2,None,,NA,NA,['lshift'],[1.436794166918844],68,exp_g1,1
41,97,l2,f,en,na,-,,2,None,,NA,NA,['lshift'],[1.3278215000173077],68,exp_g1,1
70,98,l2,f,en,na,0.376142,,2,None,,NA,NA,['lshift'],[1.793781540938653],68,exp_g1,1
45,99,l2,f,en,na,0.462405,,2,None,,NA,NA,['lshift'],[1.4111280409852043],68,exp_g1,1
68,100,l2,f,en,na,-,,2,None,,NA,NA,['lshift'],[1.362798624089919],68,exp_g1,1
43,101,l2,f,en,na,0.924484,,2,None,,NA,NA,['lshift'],[1.3342076670378447],68,exp_g1,1
51,102,l2,f,en,na,1.021105,,2,None,,NA,NA,['lshift'],[1.5041938329814002],68,exp_g1,1
69,103,l2,f,en,na,0.594925,,2,None,,NA,NA,['lshift'],[1.7056617080233991],68,exp_g1,1
