,num,list,cond,lang,type,mat_dur,correct_key,exp_num,cs,exp1_key.keys,exp1_key.rt,exp1_key.corr,exp2_key.keys,exp2_key.rt,participant,group,prof
55,11,l1,t,es,na,0.944375,,2,1,,,NA,"['lshift', 'rshift']","[1.6874015000648797, 2.624867625068873]",28,exp_g2,3
60,12,l1,t,es,na,0.823703,,2,1,,,NA,"['lshift', 'rshift']","[1.8183140829205513, 2.7090959169436246]",28,exp_g2,3
48,13,l1,t,es,na,1.352093,,2,1,,,NA,"['lshift', 'rshift']","[1.5070403330028057, 2.6521257910644636]",28,exp_g2,3
59,14,l1,t,es,na,0.788685,,2,1,,,NA,"['rshift', 'lshift', 'rshift']","[1.3937012500828132, 1.9286701250821352, 2.904295042040758]",28,exp_g2,3
56,15,l1,t,es,na,0.882114,,2,1,,,NA,"['lshift', 'rshift']","[1.5852735829539597, 2.217871750006452]",28,exp_g2,3
64,16,l1,t,es,na,1.694902,,2,1,,,NA,"['lshift', 'rshift']","[1.370475957985036, 3.0292102919192985]",28,exp_g2,3
49,17,l1,t,es,na,1.328805,,2,1,,,NA,"['lshift', 'rshift']","[1.5247877499787137, 2.4675807079765946]",28,exp_g2,3
42,18,l1,t,es,na,0.900375,,2,1,,,NA,"['rshift', 'lshift']","[1.2205119170248508, 2.7288761250674725]",28,exp_g2,3
58,19,l1,t,es,na,1.44153,,2,1,,,NA,"['lshift', 'rshift']","[1.4301562090404332, 2.724822917021811]",28,exp_g2,3
38,20,l1,t,es,na,0.99676,,2,1,,,NA,"['lshift', 'rshift']","[1.30634854210075, 2.389096667058766]",28,exp_g2,3
32,21,l2,t,es,na,0.704021,lshift,1,,lshift,2.186440792,1,,,28,exp_g2,3
26,22,l2,t,es,na,0.863963,rshift,1,,rshift,2.018713292,1,,,28,exp_g2,3
9,23,l2,t,es,na,0.806296,lshift,1,,lshift,2.211712333,1,,,28,exp_g2,3
27,24,l2,t,es,na,0.817267,rshift,1,,None,,0,,,28,exp_g2,3
22,25,l2,t,es,na,0.909694,lshift,1,,None,,0,,,28,exp_g2,3
20,26,l2,t,es,na,0.977641,rshift,1,,rshift,2.318483959,1,,,28,exp_g2,3
2,27,l2,t,es,na,0.619246,lshift,1,,lshift,1.946936,1,,,28,exp_g2,3
28,28,l2,t,es,na,0.937816,rshift,1,,rshift,1.952877583,1,,,28,exp_g2,3
6,29,l2,t,es,na,1.122001,lshift,1,,None,,0,,,28,exp_g2,3
29,30,l2,t,es,na,1.133667,rshift,1,,rshift,2.468942,1,,,28,exp_g2,3
41,61,l1,f,en,na,-,,2,None,,,NA,['lshift'],[1.3128469999646768],28,exp_g2,3
69,62,l1,f,en,na,-,,2,None,,,NA,['lshift'],[1.3559672499541193],28,exp_g2,3
57,63,l1,f,en,na,0.351376,,2,None,,,NA,['lshift'],[1.5520654999418184],28,exp_g2,3
40,64,l1,f,en,na,0.428572,,2,None,,,NA,['lshift'],[1.1515827080002055],28,exp_g2,3
62,65,l1,f,en,na,-,,2,None,,,NA,['lshift'],[1.2024891660548747],28,exp_g2,3
50,66,l1,f,en,na,0.780001,,2,None,,,NA,['lshift'],[1.4092614579712972],28,exp_g2,3
54,67,l1,f,en,na,0.950804,,2,None,,,NA,['lshift'],[2.1306730000069365],28,exp_g2,3
67,68,l1,f,en,na,0.600784,,2,None,,,NA,['lshift'],[1.358227875083685],28,exp_g2,3
66,69,l1,f,en,na,-,,2,None,,,NA,['lshift'],[1.423205583007075],28,exp_g2,3
68,70,l1,f,en,na,-,,2,None,,,NA,['lshift'],[1.8327119580935687],28,exp_g2,3
