,num,list,cond,lang,type,mat_dur,correct_key,exp_num,cs,exp1_key.keys,exp1_key.rt,exp1_key.corr,exp2_key.keys,exp2_key.rt,participant,group,prof
34,137,l1,t,es,f0u,0.635125,lshift,1,,lshift,2.0827295,1,,,65,exp_g1,2
10,138,l1,t,es,f0u,0.9708125,rshift,1,,rshift,2.561772208,1,,,65,exp_g1,2
32,139,l1,t,es,f0u,1.1799375,lshift,1,,lshift,2.774440792,1,,,65,exp_g1,2
1,140,l1,t,es,f0u,1.108625,rshift,1,,rshift,2.9927785,1,,,65,exp_g1,2
63,161,l2,t,es,f0c,0.75509375,,2,1,,NA,NA,"['lshift', 'rshift']","[1.4710103750694543, 2.1672326660482213]",65,exp_g1,2
50,162,l2,t,es,f0c,0.73509375,,2,1,,NA,NA,"['lshift', 'rshift']","[1.4346522920532152, 2.171024167095311]",65,exp_g1,2
66,163,l2,t,es,f0c,1.55846875,,2,1,,NA,NA,"['lshift', 'rshift']","[2.030646041035652, 3.094615082954988]",65,exp_g1,2
54,164,l2,t,es,f0c,0.69834375,,2,1,,NA,NA,"['lshift', 'rshift']","[1.967941208044067, 2.6350085410522297]",65,exp_g1,2
42,165,l2,t,es,f0c,0.825,,2,1,,NA,NA,"['lshift', 'rshift']","[1.301053083036095, 2.097628957941197]",65,exp_g1,2
37,166,l2,t,es,f0c,1.63628125,,2,1,,NA,NA,"['lshift', 'rshift']","[1.56891725002788, 3.055687375017442]",65,exp_g1,2
52,167,l2,t,es,f0c,1.025125,,2,1,,NA,NA,"['lshift', 'rshift']","[1.498667792067863, 2.4538795420667157]",65,exp_g1,2
60,168,l2,t,es,f0c,0.739,,2,1,,NA,NA,"['lshift', 'rshift']","[1.8782845421228558, 2.189802542096004]",65,exp_g1,2
48,169,l2,t,es,f0c,1.2804375,,2,1,,NA,NA,"['lshift', 'rshift']","[1.8507127499906346, 2.6955040000611916]",65,exp_g1,2
61,170,l2,t,es,f0c,0.82653125,,2,1,,NA,NA,"['lshift', 'rshift']","[1.3720943329390138, 2.1486593750305474]",65,exp_g1,2
