stim,word,correct_response,prac_button_real,prac_button_false,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,key_resp_lextale_practice.keys,key_resp_lextale_practice.corr,key_resp_lextale_practice.rt,id,Variety of Spanish that is most familiar to you?,date,expName,psychopyVersion,frameRate,
0,casa,1,REAL,FAKE,0,0,0,9,1,1,4.9894237909975345,JS,,2023-04-04_13h00.43.356,empathy_lextale_comb,2022.2.5,None,
0,pretantas,0,REAL,FAKE,0,1,1,11,0,1,2.3307019999992917,JS,,2023-04-04_13h00.43.356,empathy_lextale_comb,2022.2.5,None,
0,lejo,0,REAL,FAKE,0,2,2,10,0,1,2.8185494579993247,JS,,2023-04-04_13h00.43.356,empathy_lextale_comb,2022.2.5,None,
0,priba,0,REAL,FAKE,0,3,3,6,0,1,3.933128165997914,JS,,2023-04-04_13h00.43.356,empathy_lextale_comb,2022.2.5,None,
0,coné,0,REAL,FAKE,0,4,4,2,1,0,0.18848283300030744,JS,,2023-04-04_13h00.43.356,empathy_lextale_comb,2022.2.5,None,
