participant,session,date,expName,psychopyVersion,OS,frameRate,exp1_trial_key.keys,exp1_trial_key.rt,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_trial_loop.ran,num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp1_loop.ran,exp_num,image,image_alt,left_img,right_img,image_dir,exp2_trial_key.keys,exp2_trial_key.rt,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_trial_loop.ran,exp2_key.keys,exp2_key.rt,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp2_loop.ran,cs
033,001,2023-10-12_11h56.31.376,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,112,l2,f,se,na,audio/112.wav,,l2_f_se_na_112,,,,,,,image/burger.png,image/hotdog.png,hotdog,rshift,rshift,1,2.041,0,5,5,16,1,1,hotdog,burger,burger,hotdog,,,,,,,,,,,,,,,,
033,001,2023-10-12_11h56.31.376,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,158,l1,t,es,f0c,audio/158.wav,,l1_t_es_f0c_158,,,,,,,image/pants.png,image/shirt.png,shirt,rshift,rshift,1,2.3009,0,6,6,52,1,1,shirt,pants,pants,shirt,,,,,,,,,,,,,,,,
033,001,2023-10-12_11h56.31.376,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,107,l2,f,en,na,audio/107.wav,,l2_f_en_na_107,,,,,,,image/man.png,image/cat.png,man,lshift,lshift,1,2.0474,0,7,7,11,1,1,man,cat,man,cat,,,,,,,,,,,,,,,,
033,001,2023-10-12_11h56.31.376,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,027,l2,t,es,na,audio/027.wav,,l2_t_es_na_027,,,,,,,image/shirt.png,image/book.png,shirt,lshift,lshift,1,1.983,0,8,8,41,1,1,shirt,book,shirt,book,,,,,,,,,,,,,,,,
033,001,2023-10-12_11h56.31.376,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,121,l2,f,sp,na,audio/121.wav,,l2_f_sp_na_121,,,,,,,image/shoe.png,image/glasses.png,shoe,lshift,lshift,1,1.7572,0,9,9,25,1,1,shoe,glasses,shoe,glasses,,,,,,,,,,,,,,,,
033,001,2023-10-12_11h56.31.376,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,156,l1,t,es,f0c,audio/156.wav,,l1_t_es_f0c_156,,,,,,,image/city.png,image/village.png,village,rshift,rshift,1,2.718,0,10,10,50,1,1,village,city,city,village,,,,,,,,,,,,,,,,
033,001,2023-10-12_11h56.31.376,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,106,l2,f,en,na,audio/106.wav,,l2_f_en_na_106,,,,,,,image/wallet.png,image/computer.png,computer,rshift,rshift,1,2.3756,0,11,11,10,1,1,computer,wallet,wallet,computer,,,,,,,,,,,,,,,,
033,001,2023-10-12_11h56.31.376,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,022,l2,t,es,na,audio/022.wav,,l2_t_es_na_022,,,,,,,image/dog.png,image/cat.png,cat,rshift,rshift,1,2.0765,0,12,12,36,1,1,cat,dog,dog,cat,,,,,,,,,,,,,,,,
033,001,2023-10-12_11h56.31.376,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,024,l2,t,es,na,audio/024.wav,,l2_t_es_na_024,,,,,,,image/bed.png,image/jug.png,jug,rshift,rshift,1,2.4066,0,13,13,38,1,1,jug,bed,bed,jug,,,,,,,,,,,,,,,,
033,001,2023-10-12_11h56.31.376,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,153,l1,t,es,f0c,audio/153.wav,,l1_t_es_f0c_153,,,,,,,image/cellphone.png,image/book.png,cellphone,lshift,lshift,1,2.2616,0,14,14,47,1,1,cellphone,book,cellphone,book,,,,,,,,,,,,,,,,
033,001,2023-10-12_11h56.31.376,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,114,l2,f,se,na,audio/114.wav,,l2_f_se_na_114,,,,,,,image/jeans.png,image/sweatpants.png,sweatpants,rshift,lshift,0,2.0269,0,15,15,18,1,1,sweatpants,jeans,jeans,sweatpants,,,,,,,,,,,,,,,,
033,001,2023-10-12_11h56.31.376,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,103,l2,f,en,na,audio/103.wav,,l2_f_en_na_103,,,,,,,image/toys.png,image/sneakers.png,toys,lshift,lshift,1,1.9579,0,16,16,7,1,1,toys,sneakers,toys,sneakers,,,,,,,,,,,,,,,,
033,001,2023-10-12_11h56.31.376,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,129,l2,f,sp,na,audio/129.wav,,l2_f_sp_na_129,,,,,,,image/bag.png,image/chair.png,bag,lshift,lshift,1,2.5783,0,17,17,33,1,1,bag,chair,bag,chair,,,,,,,,,,,,,,,,
033,001,2023-10-12_11h56.31.376,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,097,l2,f,en,na,audio/097.wav,,l2_f_en_na_097,,,,,,,image/ring.png,image/belt.png,ring,lshift,lshift,1,1.8257,0,18,18,1,1,1,ring,belt,ring,belt,,,,,,,,,,,,,,,,
033,001,2023-10-12_11h56.31.376,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,128,l2,f,sp,na,audio/128.wav,,l2_f_sp_na_128,,,,,,,image/cups.png,image/kids.png,kids,rshift,rshift,1,1.7487,0,19,19,32,1,1,kids,cups,cups,kids,,,,,,,,,,,,,,,,
033,001,2023-10-12_11h56.31.376,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,102,l2,f,en,na,audio/102.wav,,l2_f_en_na_102,,,,,,,image/socks.png,image/book.png,books,rshift,rshift,1,2.0628,0,20,20,6,1,1,books,socks,socks,book,,,,,,,,,,,,,,,,
033,001,2023-10-12_11h56.31.376,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,104,l2,f,en,na,audio/104.wav,,l2_f_en_na_104,,,,,,,image/shirt.png,image/bag.png,bag,rshift,rshift,1,1.5335,0,21,21,8,1,1,bag,shirt,shirt,bag,,,,,,,,,,,,,,,,
033,001,2023-10-12_11h56.31.376,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,105,l2,f,en,na,audio/105.wav,,l2_f_en_na_105,,,,,,,image/bed.png,image/plane.png,bed,lshift,lshift,1,1.8639,0,22,22,9,1,1,bed,plane,bed,plane,,,,,,,,,,,,,,,,
033,001,2023-10-12_11h56.31.376,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,151,l1,t,es,f0c,audio/151.wav,,l1_t_es_f0c_151,,,,,,,image/cat.png,image/flower.png,cat,lshift,lshift,1,1.9798,0,23,23,45,1,1,cat,flower,cat,flower,,,,,,,,,,,,,,,,
