participant,session,date,expName,psychopyVersion,OS,frameRate,exp1_trial_key.keys,exp1_trial_key.rt,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_trial_loop.ran,num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp1_loop.ran,exp_num,image,image_alt,left_img,right_img,image_dir,exp2_trial_key.keys,exp2_trial_key.rt,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_retrial.ran,exp2_key.keys,exp2_key.rt,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp2_loop.ran,cs
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,77,l1,f,se,na,audio/077.wav,,l1_f_se_na_077,,,,,,,image/mashedpotatoes.png,image/donut.png,donut,rshift,rshift,1,1.8322,0,44,44,16,1,1,donut,mashedpotatoes,mashedpotatoes,donut,,,,,,,,,,,,,,,,
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,93,l1,f,sp,na,audio/093.wav,,l1_f_sp_na_093,,,,,,,image/boy.png,image/book.png,book,rshift,rshift,1,1.6842,0,45,45,32,1,1,book,boy,boy,book,,,,,,,,,,,,,,,,
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,75,l1,f,en,na,audio/075.wav,,l1_f_en_na_075,,,,,,,image/dog.png,image/fish.png,fish,rshift,rshift,1,2.1633,0,46,46,14,1,1,fish,dog,dog,fish,,,,,,,,,,,,,,,,
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,65,l1,f,en,na,audio/065.wav,,l1_f_en_na_065,,,,,,,image/computer.png,image/book.png,book,rshift,rshift,1,1.7105,0,47,47,4,1,1,book,computer,computer,book,,,,,,,,,,,,,,,,
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,95,l1,f,sp,na,audio/095.wav,,l1_f_sp_na_095,,,,,,,image/socks.png,image/key.png,key,rshift,rshift,1,1.7833,0,48,48,34,1,1,key,socks,socks,key,,,,,,,,,,,,,,,,
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,140,l1,t,es,f0u,audio/140.wav,,l1_t_es_f0u_140,,,,,,,image/ring.png,image/bracelet.png,bracelet,rshift,rshift,1,2.4481,0,49,49,54,1,1,bracelet,ring,ring,bracelet,,,,,,,,,,,,,,,,
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,136,l1,t,es,f0u,audio/136.wav,,l1_t_es_f0u_136,,,,,,,image/city.png,image/village.png,village,rshift,rshift,1,2.3907,0,50,50,50,1,1,village,city,city,village,,,,,,,,,,,,,,,,
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,79,l1,f,se,na,audio/079.wav,,l1_f_se_na_079,,,,,,,image/sweatpants.png,image/jeans.png,jeans,rshift,rshift,1,2.0264,0,51,51,18,1,1,jeans,sweatpants,sweatpants,jeans,,,,,,,,,,,,,,,,
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,72,l1,f,en,na,audio/072.wav,,l1_f_en_na_072,,,,,,,image/dog.png,image/fish.png,dog,lshift,lshift,1,1.9341,0,52,52,11,1,1,dog,fish,dog,fish,,,,,,,,,,,,,,,,
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,12,l1,t,es,na,audio/012.wav,,l1_t_es_na_012,,,,,,,image/newspaper.png,image/book.png,book,rshift,rshift,1,2.1439,0,53,53,36,1,1,book,newspaper,newspaper,book,,,,,,,,,,,,,,,,
