participant,session,date,expName,psychopyVersion,OS,frameRate,exp1_trial_key.keys,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_trial_loop.ran,num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp1_trial_key.rt,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_retrial.ran,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp1_loop.ran,exp_num,image,image_alt,left_img,right_img,image_dir,exp2_trial_key.keys,exp2_trial_key.rt,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_retrial.ran,exp2_key.keys,exp2_key.rt,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp2_loop.ran,cs
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,088,l1,f,sp,na,audio/088.wav,,l1_f_sp_na_088,,,,,,,image/book.png,image/cellphone.png,book,lshift,,,,,,,lshift,1,2.8451,0,29,29,27,1,1,book,cellphone,book,cellphone,,,,,,,,,,,,,,,,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,090,l1,f,sp,na,audio/090.wav,,l1_f_sp_na_090,,,,,,,image/bag.png,image/bottle.png,bag,lshift,,,,,,,lshift,1,3.2809,0,30,30,29,1,1,bag,bottle,bag,bottle,,,,,,,,,,,,,,,,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,070,l1,f,en,na,audio/070.wav,,l1_f_en_na_070,,,,,,,image/computer.png,image/bed.png,computer,lshift,,,,,,,lshift,1,3.1091,0,31,31,9,1,1,computer,bed,computer,bed,,,,,,,,,,,,,,,,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,073,l1,f,en,na,audio/073.wav,,l1_f_en_na_073,,,,,,,image/socks.png,image/tshirt.png,tshirt,rshift,,,,,,,rshift,1,2.5228,0,32,32,12,1,1,tshirt,socks,socks,tshirt,,,,,,,,,,,,,,,,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,066,l1,f,en,na,audio/066.wav,,l1_f_en_na_066,,,,,,,image/bag.png,image/scarf.png,bag,lshift,,,,,,,lshift,1,2.6242,0,33,33,5,1,1,bag,scarf,bag,scarf,,,,,,,,,,,,,,,,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,136,l1,t,es,f0u,audio/136.wav,,l1_t_es_f0u_136,,,,,,,image/city.png,image/village.png,village,rshift,,,,,,,rshift,1,2.7888,0,34,34,50,1,1,village,city,city,village,,,,,,,,,,,,,,,,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,076,l1,f,se,na,audio/076.wav,,l1_f_se_na_076,,,,,,,image/hotdog.png,image/burger.png,hotdog,lshift,,,,,,,lshift,1,2.1603,0,35,35,15,1,1,hotdog,burger,hotdog,burger,,,,,,,,,,,,,,,,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,132,l1,t,es,f0u,audio/132.wav,,l1_t_es_f0u_132,,,,,,,image/car.png,image/grandma.png,grandma,rshift,,,,,,,rshift,1,3.0368,0,36,36,46,1,1,grandma,car,car,grandma,,,,,,,,,,,,,,,,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,093,l1,f,sp,na,audio/093.wav,,l1_f_sp_na_093,,,,,,,image/boy.png,image/book.png,book,rshift,,,,,,,rshift,1,2.3502,0,37,37,32,1,1,book,boy,boy,book,,,,,,,,,,,,,,,,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,016,l1,t,es,na,audio/016.wav,,l1_t_es_na_016,,,,,,,image/flipflops.png,image/bag.png,bag,rshift,,,,,,,rshift,1,3.3809,0,38,38,40,1,1,bag,flipflops,flipflops,bag,,,,,,,,,,,,,,,,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,011,l1,t,es,na,audio/011.wav,,l1_t_es_na_011,,,,,,,image/armchair.png,image/bed.png,armchair,lshift,,,,,,,lshift,1,2.7305,0,39,39,35,1,1,armchair,bed,armchair,bed,,,,,,,,,,,,,,,,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,068,l1,f,en,na,audio/068.wav,,l1_f_en_na_068,,,,,,,image/socks.png,image/book.png,socks,lshift,,,,,,,lshift,1,2.4115,0,40,40,7,1,1,socks,book,socks,book,,,,,,,,,,,,,,,,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,020,l1,t,es,na,audio/020.wav,,l1_t_es_na_020,,,,,,,image/cellphone.png,image/backpack.png,backpack,rshift,,,,,,,rshift,1,2.7099,0,41,41,44,1,1,backpack,cellphone,cellphone,backpack,,,,,,,,,,,,,,,,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,083,l1,f,se,na,audio/083.wav,,l1_f_se_na_083,,,,,,,image/donut.png,image/burger.png,burger,rshift,,,,,,,rshift,1,2.3182,0,42,42,22,1,1,burger,donut,donut,burger,,,,,,,,,,,,,,,,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,077,l1,f,se,na,audio/077.wav,,l1_f_se_na_077,,,,,,,image/mashedpotatoes.png,image/donut.png,donut,rshift,,,,,,,rshift,1,2.2601,0,43,43,16,1,1,donut,mashedpotatoes,mashedpotatoes,donut,,,,,,,,,,,,,,,,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,015,l1,t,es,na,audio/015.wav,,l1_t_es_na_015,,,,,,,image/glasses.png,image/jacket.png,glasses,lshift,,,,,,,lshift,1,2.6872,0,44,44,39,1,1,glasses,jacket,glasses,jacket,,,,,,,,,,,,,,,,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,069,l1,f,en,na,audio/069.wav,,l1_f_en_na_069,,,,,,,image/bag.png,image/shirt.png,shirt,rshift,,,,,,,rshift,1,2.765,0,45,45,8,1,1,shirt,bag,bag,shirt,,,,,,,,,,,,,,,,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,065,l1,f,en,na,audio/065.wav,,l1_f_en_na_065,,,,,,,image/computer.png,image/book.png,book,rshift,,,,,,,rshift,1,2.1296,0,46,46,4,1,1,book,computer,computer,book,,,,,,,,,,,,,,,,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,014,l1,t,es,na,audio/014.wav,,l1_t_es_na_014,,,,,,,image/book.png,image/key.png,key,rshift,,,,,,,rshift,1,2.6667,0,47,47,38,1,1,key,book,book,key,,,,,,,,,,,,,,,,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,078,l1,f,se,na,audio/078.wav,,l1_f_se_na_078,,,,,,,image/airpods.png,image/joycons.png,airpods,lshift,,,,,,,lshift,1,2.1811,0,48,48,17,1,1,airpods,joycons,airpods,joycons,,,,,,,,,,,,,,,,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,017,l1,t,es,na,audio/017.wav,,l1_t_es_na_017,,,,,,,image/jug.png,image/cat.png,jug,lshift,,,,,,,lshift,1,2.9769,0,49,49,41,1,1,jug,cat,jug,cat,,,,,,,,,,,,,,,,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,140,l1,t,es,f0u,audio/140.wav,,l1_t_es_f0u_140,,,,,,,image/ring.png,image/bracelet.png,bracelet,rshift,,,,,,,rshift,1,2.8118,0,50,50,54,1,1,bracelet,ring,ring,bracelet,,,,,,,,,,,,,,,,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,086,l1,f,sp,na,audio/086.wav,,l1_f_sp_na_086,,,,,,,image/plates.png,image/glasses.png,plates,lshift,,,,,,,lshift,1,2.047,0,51,51,25,1,1,plates,glasses,plates,glasses,,,,,,,,,,,,,,,,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,018,l1,t,es,na,audio/018.wav,,l1_t_es_na_018,,,,,,,image/cups.png,image/napkins.png,napkins,rshift,,,,,,,rshift,1,2.5008,0,52,52,42,1,1,napkins,cups,cups,napkins,,,,,,,,,,,,,,,,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,137,l1,t,es,f0u,audio/137.wav,,l1_t_es_f0u_137,,,,,,,image/jacket.png,image/shirt.png,jacket,lshift,,,,,,,lshift,1,2.4776,0,53,53,51,1,1,jacket,shirt,jacket,shirt,,,,,,,,,,,,,,,,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,095,l1,f,sp,na,audio/095.wav,,l1_f_sp_na_095,,,,,,,image/socks.png,image/key.png,key,rshift,,,,,,,rshift,1,2.18,0,54,54,34,1,1,key,socks,socks,key,,,,,,,,,,,,,,,,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[1.2837000000029661,2.0504999999999995]",0,0,0,0,1,,,,,,,,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,106,l2,f,en,na,audio/106.wav,,l2_f_en_na_106,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""lshift""]","[1.7965999999940436,2.9478999999985263]",0,0,0,10,1,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,028,l2,t,es,na,audio/028.wav,,l2_t_es_na_028,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[1.4812999999969634,2.383299999997007]",0,1,1,42,1,1
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,021,l2,t,es,na,audio/021.wav,,l2_t_es_na_021,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[1.2007999999970025,2.185199999995575]",0,2,2,35,1,1
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,108,l2,f,en,na,audio/108.wav,,l2_f_en_na_108,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift""]",[2.567200000002913],0,3,3,12,1,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,167,l2,t,es,f0c,audio/167.wav,,l2_t_es_f0c_167,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[1.2000000000000455,2.7168999999985317]",0,4,4,51,1,1
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,168,l2,t,es,f0c,audio/168.wav,,l2_t_es_f0c_168,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[1.433499999999981,2.1837999999969497]",0,5,5,52,1,1
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,103,l2,f,en,na,audio/103.wav,,l2_f_en_na_103,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""lshift""]","[1.1673000000045022,2.683300000004465]",0,6,6,7,1,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,024,l2,t,es,na,audio/024.wav,,l2_t_es_na_024,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[1.1766000000014856,2.233000000000061]",0,7,7,38,1,1
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,110,l2,f,en,na,audio/110.wav,,l2_f_en_na_110,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""lshift""]","[1.2408999999985326,3.318399999998519]",0,8,8,14,1,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,165,l2,t,es,f0c,audio/165.wav,,l2_t_es_f0c_165,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[2.06899999999996,2.2002999999970143]",0,9,9,49,1,1
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,114,l2,f,se,na,audio/114.wav,,l2_f_se_na_114,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift"",""rshift""]","[1.152599999994095,1.4833999999984826,2.084500000000048]",0,10,10,18,1,1
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,162,l2,t,es,f0c,audio/162.wav,,l2_t_es_f0c_162,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[2.290299999997046,2.489500000000021]",0,11,11,46,1,1
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,128,l2,f,sp,na,audio/128.wav,,l2_f_sp_na_128,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""rshift""]",[1.505299999997078],0,12,12,32,1,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,025,l2,t,es,na,audio/025.wav,,l2_t_es_na_025,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[1.6507000000029848,2.3333999999985053]",0,13,13,39,1,1
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,029,l2,t,es,na,audio/029.wav,,l2_t_es_na_029,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[1.5326999999955433,2.584099999994123]",0,14,14,43,1,1
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,096,l2,f,en,na,audio/096.wav,,l2_f_en_na_096,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift""]",[1.6331999999955542],0,15,15,0,1,
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,117,l2,f,se,na,audio/117.wav,,l2_f_se_na_117,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""rshift""]",[1.2888999999985344],0,16,16,21,1,1
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,023,l2,t,es,na,audio/023.wav,,l2_t_es_na_023,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[2.1673000000043885,2.5562000000029457]",0,17,17,37,1,1
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,119,l2,f,se,na,audio/119.wav,,l2_f_se_na_119,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""rshift"",""lshift""]","[1.7508000000044603,2.906800000004523]",0,18,18,23,1,1
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,163,l2,t,es,f0c,audio/163.wav,,l2_t_es_f0c_163,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[1.683399999998528,3.217200000003004]",0,19,19,47,1,1
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,111,l2,f,se,na,audio/111.wav,,l2_f_se_na_111,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""rshift"",""lshift""]","[1.433699999995497,2.333199999995486]",0,20,20,15,1,1
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,164,l2,t,es,f0c,audio/164.wav,,l2_t_es_f0c_164,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[1.3683999999985872,2.0728999999985263]",0,21,21,48,1,1
070,001,2023-09-22_13h39.35.259,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,027,l2,t,es,na,audio/027.wav,,l2_t_es_na_027,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[1.4744999999999209,2.0668999999984408]",0,22,22,41,1,1
