participant,session,date,expName,psychopyVersion,OS,frameRate,exp1_trial_key.keys,exp1_trial_key.rt,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_trial_loop.ran,num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp1_loop.ran,exp_num,image,image_alt,left_img,right_img,image_dir,exp2_trial_key.keys,exp2_trial_key.rt,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_trial_loop.ran,exp2_key.keys,exp2_key.rt,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp2_loop.ran,cs
091,001,2023-09-14_12h03.00.504,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,023,l2,t,es,na,audio/023.wav,,l2_t_es_na_023,,,,,,,image/wine.png,image/cellphone.png,wine,lshift,lshift,1,1.9942,0,5,5,37,1,1,wine,cellphone,wine,cellphone,,,,,,,,,,,,,,,,
091,001,2023-09-14_12h03.00.504,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,114,l2,f,se,na,audio/114.wav,,l2_f_se_na_114,,,,,,,image/jeans.png,image/sweatpants.png,sweatpants,rshift,lshift,0,2.0691,0,6,6,18,1,1,sweatpants,jeans,jeans,sweatpants,,,,,,,,,,,,,,,,
091,001,2023-09-14_12h03.00.504,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,121,l2,f,sp,na,audio/121.wav,,l2_f_sp_na_121,,,,,,,image/shoe.png,image/glasses.png,shoe,lshift,lshift,1,2.0599,0,7,7,25,1,1,shoe,glasses,shoe,glasses,,,,,,,,,,,,,,,,
091,001,2023-09-14_12h03.00.504,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,110,l2,f,en,na,audio/110.wav,,l2_f_en_na_110,,,,,,,image/dog.png,image/cat.png,cat,rshift,rshift,1,2.1783,0,8,8,14,1,1,cat,dog,dog,cat,,,,,,,,,,,,,,,,
091,001,2023-09-14_12h03.00.504,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,112,l2,f,se,na,audio/112.wav,,l2_f_se_na_112,,,,,,,image/burger.png,image/hotdog.png,hotdog,rshift,rshift,1,2.3079,0,9,9,16,1,1,hotdog,burger,burger,hotdog,,,,,,,,,,,,,,,,
091,001,2023-09-14_12h03.00.504,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,022,l2,t,es,na,audio/022.wav,,l2_t_es_na_022,,,,,,,image/dog.png,image/cat.png,cat,rshift,rshift,1,2.2127,0,10,10,36,1,1,cat,dog,dog,cat,,,,,,,,,,,,,,,,
091,001,2023-09-14_12h03.00.504,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,113,l2,f,se,na,audio/113.wav,,l2_f_se_na_113,,,,,,,image/loafers.png,image/sneakers.png,loafers,lshift,lshift,1,1.9896,0,11,11,17,1,1,loafers,sneakers,loafers,sneakers,,,,,,,,,,,,,,,,
091,001,2023-09-14_12h03.00.504,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,122,l2,f,sp,na,audio/122.wav,,l2_f_sp_na_122,,,,,,,image/desk.png,image/chair.png,chair,rshift,lshift,0,2.4625,0,12,12,26,1,1,chair,desk,desk,chair,,,,,,,,,,,,,,,,
091,001,2023-09-14_12h03.00.504,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,104,l2,f,en,na,audio/104.wav,,l2_f_en_na_104,,,,,,,image/shirt.png,image/bag.png,bag,rshift,rshift,1,1.8791,0,13,13,8,1,1,bag,shirt,shirt,bag,,,,,,,,,,,,,,,,
091,001,2023-09-14_12h03.00.504,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,027,l2,t,es,na,audio/027.wav,,l2_t_es_na_027,,,,,,,image/shirt.png,image/book.png,shirt,lshift,lshift,1,2.3225,0,14,14,41,1,1,shirt,book,shirt,book,,,,,,,,,,,,,,,,
091,001,2023-09-14_12h03.00.504,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,128,l2,f,sp,na,audio/128.wav,,l2_f_sp_na_128,,,,,,,image/cups.png,image/kids.png,kids,rshift,rshift,1,2.0232,0,15,15,32,1,1,kids,cups,cups,kids,,,,,,,,,,,,,,,,
091,001,2023-09-14_12h03.00.504,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,143,l2,t,es,f0u,audio/143.wav,,l2_t_es_f0u_143,,,,,,,image/horchata.png,image/beer.png,horchata,lshift,lshift,1,3.3077,0,16,16,47,1,1,horchata,beer,horchata,beer,,,,,,,,,,,,,,,,
091,001,2023-09-14_12h03.00.504,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,029,l2,t,es,na,audio/029.wav,,l2_t_es_na_029,,,,,,,image/armchair.png,image/ring.png,armchair,lshift,rshift,0,3.1237,0,17,17,43,1,1,armchair,ring,armchair,ring,,,,,,,,,,,,,,,,
091,001,2023-09-14_12h03.00.504,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,115,l2,f,se,na,audio/115.wav,,l2_f_se_na_115,,,,,,,image/notebook.png,image/cellphone.png,notebook,lshift,lshift,1,2.3101,0,18,18,19,1,1,notebook,cellphone,notebook,cellphone,,,,,,,,,,,,,,,,
