participant,session,date,expName,psychopyVersion,OS,frameRate,exp1_trial_key.keys,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_trial_loop.ran,num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_retrial.ran,exp1_trial_key.rt,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp1_loop.ran,exp_num,image,image_alt,left_img,right_img,image_dir,exp2_trial_key.keys,exp2_trial_key.rt,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_trial_loop.ran,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_retrial.ran,exp2_key.keys,exp2_key.rt,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp2_loop.ran,cs
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,072,l1,f,en,na,audio/072.wav,,l1_f_en_na_072,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift""]",[1.2652999999970689],0,21,21,11,1,
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,061,l1,f,en,na,audio/061.wav,,l1_f_en_na_061,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift""]",[1.59800000000007],0,22,22,0,1,
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,077,l1,f,se,na,audio/077.wav,,l1_f_se_na_077,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""rshift"",""lshift""]","[1.7983999999985372,2.3255000000000337]",0,23,23,16,1,1
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,086,l1,f,sp,na,audio/086.wav,,l1_f_sp_na_086,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[1.6826000000014574,2.2362000000028956]",0,24,24,25,1,
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,095,l1,f,sp,na,audio/095.wav,,l1_f_sp_na_095,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""rshift""]",[1.625600000001441],0,25,25,34,1,
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,064,l1,f,en,na,audio/064.wav,,l1_f_en_na_064,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift""]",[1.9223999999985608],0,26,26,3,1,
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,081,l1,f,se,na,audio/081.wav,,l1_f_se_na_081,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""rshift"",""lshift""]","[2.0495999999940295,3.0891999999955715]",0,27,27,20,1,1
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,011,l1,t,es,na,audio/011.wav,,l1_t_es_na_011,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[1.8319999999999936,2.5997999999970034]",0,28,28,35,1,1
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,088,l1,f,sp,na,audio/088.wav,,l1_f_sp_na_088,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""rshift""]",[1.7314000000060332],0,29,29,27,1,
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,094,l1,f,sp,na,audio/094.wav,,l1_f_sp_na_094,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""rshift""]",[1.8754999999999882],0,30,30,33,1,
