participant,session,date,expName,psychopyVersion,OS,frameRate,exp1_trial_key.keys,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_trial_loop.ran,num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_retrial.ran,exp1_trial_key.rt,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp1_loop.ran,exp_num,image,image_alt,left_img,right_img,image_dir,exp2_trial_key.keys,exp2_trial_key.rt,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_trial_loop.ran,exp2_key.keys,exp2_key.rt,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp2_loop.ran,cs
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,111,l2,f,se,na,audio/111.wav,,l2_f_se_na_111,,,,,,,image/mashedpotatoes.png,image/donut.png,mashedpotatoes,lshift,,,,,,,lshift,1,2.648,0,24,24,15,1,1,mashedpotatoes,donut,mashedpotatoes,donut,,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,110,l2,f,en,na,audio/110.wav,,l2_f_en_na_110,,,,,,,image/dog.png,image/cat.png,cat,rshift,,,,,,,rshift,1,2.425,0,25,25,14,1,1,cat,dog,dog,cat,,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,143,l2,t,es,f0u,audio/143.wav,,l2_t_es_f0u_143,,,,,,,image/horchata.png,image/beer.png,horchata,lshift,,,,,,,lshift,1,3.342,0,26,26,47,1,1,horchata,beer,horchata,beer,,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,028,l2,t,es,na,audio/028.wav,,l2_t_es_na_028,,,,,,,image/pants.png,image/glasses.png,glasses,rshift,,,,,,,rshift,1,2.373,0,27,27,42,1,1,glasses,pants,pants,glasses,,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,030,l2,t,es,na,audio/030.wav,,l2_t_es_na_030,,,,,,,image/flipflops.png,image/boy.png,boy,rshift,,,,,,,rshift,1,2.688,0,28,28,44,1,1,boy,flipflops,flipflops,boy,,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,101,l2,f,en,na,audio/101.wav,,l2_f_en_na_101,,,,,,,image/computer.png,image/bag.png,computer,lshift,,,,,,,lshift,1,2.474,0,29,29,5,1,1,computer,bag,computer,bag,,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,148,l2,t,es,f0u,audio/148.wav,,l2_t_es_f0u_148,,,,,,,image/newspaper.png,image/cups.png,cups,rshift,,,,,,,rshift,1,2.226,0,30,30,52,1,1,cups,newspaper,newspaper,cups,,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,119,l2,f,se,na,audio/119.wav,,l2_f_se_na_119,,,,,,,image/penthouse.png,image/rocket.png,penthouse,lshift,,,,,,,lshift,1,2.595,0,31,31,23,1,1,penthouse,rocket,penthouse,rocket,,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,105,l2,f,en,na,audio/105.wav,,l2_f_en_na_105,,,,,,,image/bed.png,image/plane.png,bed,lshift,,,,,,,lshift,1,1.958,0,32,32,9,1,1,bed,plane,bed,plane,,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,104,l2,f,en,na,audio/104.wav,,l2_f_en_na_104,,,,,,,image/shirt.png,image/bag.png,bag,rshift,,,,,,,rshift,1,1.785,0,33,33,8,1,1,bag,shirt,shirt,bag,,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,144,l2,t,es,f0u,audio/144.wav,,l2_t_es_f0u_144,,,,,,,image/bracelet.png,image/backpack.png,backpack,rshift,,,,,,,rshift,1,2.368,0,34,34,48,1,1,backpack,bracelet,bracelet,backpack,,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,142,l2,t,es,f0u,audio/142.wav,,l2_t_es_f0u_142,,,,,,,image/car.png,image/truck.png,truck,rshift,,,,,,,rshift,1,3,0,35,35,46,1,1,truck,car,car,truck,,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,096,l2,f,en,na,audio/096.wav,,l2_f_en_na_096,,,,,,,image/woman.png,image/cat.png,cat,rshift,,,,,,,rshift,1,2.29,0,36,36,0,1,1,cat,woman,woman,cat,image/,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,103,l2,f,en,na,audio/103.wav,,l2_f_en_na_103,,,,,,,image/toys.png,image/sneakers.png,toys,lshift,,,,,,,lshift,1,2.176,0,37,37,7,1,1,toys,sneakers,toys,sneakers,,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,108,l2,f,en,na,audio/108.wav,,l2_f_en_na_108,,,,,,,image/scarf.png,image/socks.png,socks,rshift,,,,,,,rshift,1,2.439,0,38,38,12,1,1,socks,scarf,scarf,socks,,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,117,l2,f,se,na,audio/117.wav,,l2_f_se_na_117,,,,,,,image/spongebob.png,image/mickeymouse.png,spongebob,lshift,,,,,,,lshift,1,2.269,0,39,39,21,1,1,spongebob,mickeymouse,spongebob,mickeymouse,,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,099,l2,f,en,na,audio/099.wav,,l2_f_en_na_099,,,,,,,image/dog.png,image/cat.png,dog,lshift,,,,,,,lshift,1,1.825,0,40,40,3,1,1,dog,cat,dog,cat,,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,149,l2,t,es,f0u,audio/149.wav,,l2_t_es_f0u_149,,,,,,,image/boy.png,image/dog.png,boy,lshift,,,,,,,lshift,1,2.587,0,41,41,53,1,1,boy,dog,boy,dog,,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,121,l2,f,sp,na,audio/121.wav,,l2_f_sp_na_121,,,,,,,image/shoe.png,image/glasses.png,shoe,lshift,,,,,,,lshift,1,2.168,0,42,42,25,1,1,shoe,glasses,shoe,glasses,,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,023,l2,t,es,na,audio/023.wav,,l2_t_es_na_023,,,,,,,image/wine.png,image/cellphone.png,wine,lshift,,,,,,,lshift,1,2.219,0,43,43,37,1,1,wine,cellphone,wine,cellphone,,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,026,l2,t,es,na,audio/026.wav,,l2_t_es_na_026,,,,,,,image/village.png,image/grandma.png,grandma,rshift,,,,,,,rshift,1,2.377,0,44,44,40,1,1,grandma,village,village,grandma,,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,122,l2,f,sp,na,audio/122.wav,,l2_f_sp_na_122,,,,,,,image/desk.png,image/chair.png,chair,rshift,,,,,,,rshift,1,2.674,0,45,45,26,1,1,chair,desk,desk,chair,,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,145,l2,t,es,f0u,audio/145.wav,,l2_t_es_f0u_145,,,,,,,image/bag.png,image/flower.png,bag,lshift,,,,,,,lshift,1,2.264,0,46,46,49,1,1,bag,flower,bag,flower,,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,150,l2,t,es,f0u,audio/150.wav,,l2_t_es_f0u_150,,,,,,,image/cat.png,image/key.png,key,rshift,,,,,,,rshift,1,2.506,0,47,47,54,1,1,key,cat,cat,key,,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,123,l2,f,sp,na,audio/123.wav,,l2_f_sp_na_123,,,,,,,image/sweater.png,image/cellphone.png,sweater,lshift,,,,,,,lshift,1,2.267,0,48,48,27,1,1,sweater,cellphone,sweater,cellphone,,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,129,l2,f,sp,na,audio/129.wav,,l2_f_sp_na_129,,,,,,,image/bag.png,image/chair.png,bag,lshift,,,,,,,lshift,1,2.926,0,49,49,33,1,1,bag,chair,bag,chair,,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,118,l2,f,se,na,audio/118.wav,,l2_f_se_na_118,,,,,,,image/icecream.png,image/donut.png,donut,rshift,,,,,,,rshift,1,2.049,0,50,50,22,1,1,donut,icecream,icecream,donut,,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,147,l2,t,es,f0u,audio/147.wav,,l2_t_es_f0u_147,,,,,,,image/truck.png,image/book.png,truck,lshift,,,,,,,lshift,1,2.776,0,51,51,51,1,1,truck,book,truck,book,,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,029,l2,t,es,na,audio/029.wav,,l2_t_es_na_029,,,,,,,image/armchair.png,image/ring.png,armchair,lshift,,,,,,,lshift,1,3.139,0,52,52,43,1,1,armchair,ring,armchair,ring,,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,113,l2,f,se,na,audio/113.wav,,l2_f_se_na_113,,,,,,,image/loafers.png,image/sneakers.png,loafers,lshift,,,,,,,lshift,1,2.664,0,53,53,17,1,1,loafers,sneakers,loafers,sneakers,,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,124,l2,f,sp,na,audio/124.wav,,l2_f_sp_na_124,,,,,,,image/bag.png,image/bed.png,bed,rshift,,,,,,,rshift,1,2.266,0,54,54,28,1,1,bed,bag,bag,bed,,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,tr1,lt,tr,en,na,practice_trial/audio/tr1.wav,Where are your kids?,lt_tr_en_na_tr1,-,-,-,-,-,-,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,,,,,,,"[""lshift""]",[1.7060000000000173],0,0,0,0,1,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,tr2,lt,tr,en,na,practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,,,,,,,"[""lshift""]",[1.5930000000000177],0,1,1,1,1,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,tr3,lt,tr,sp,na,practice_trial/audio/tr3.wav,¿Dónde está mi perro?,lt_tr_sp_na_tr3,-,-,-,-,-,-,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,,,,,,,"[""rshift""]",[1.8129999999999882],0,2,2,2,1,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,tr4,lt,tr,sp,na,practice_trial/audio/tr4.wav,¿De quién es la bolsa?,lt_tr_sp_na_tr4,-,-,-,-,-,-,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,,,,,,,"[""rshift""]",[1.6650000000000205],0,3,3,3,1,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,tr5,lt,tr,se,na,practice_trial/audio/tr5.wav,¿Dónde encontraste sus donuts?,lt_tr_se_na_tr5,-,-,-,-,-,-,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,,,,,,,"[""rshift""]",[2.1579999999999586],0,4,4,4,1,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,tr6,lt,tr,se,na,practice_trial/audio/tr6.wav,¿Cuándo compraste tu sweater?,lt_tr_se_na_tr6,-,-,-,-,-,-,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,,,,,,,"[""rshift""]",[1.634999999999991],0,5,5,5,1,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,tr7,lt,tr,es,na,practice_trial/audio/tr7.wav,Why do you have my camisa?,lt_tr_es_na_tr7,-,-,-,-,-,-,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[1.6180000000000518,2.194000000000017]",0,6,6,6,1,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,tr8,lt,tr,es,na,practice_trial/audio/tr8.wav,Where did you find his chanclas?,lt_tr_es_na_tr8,-,-,-,-,-,-,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[1.3280000000000314,2.0920000000000414]",0,7,7,7,1,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
073,001,2023-09-11_17h01.16.888,exp_g2,2022.2.5,MacIntel,62.5,,,,,,,073,l1,f,en,na,audio/073.wav,,l1_f_en_na_073,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift""]",[1.3419999999999845],0,0,0,12,1,
