num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,cs,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp1_trial_cross.started,exp1_trial_key.started,exp1_trial_cross.stopped,exp1_trial_sound.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_cross.started,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_cross.stopped,exp1_sound.started,exp2_trial_cross.started,exp2_trial_key.started,exp2_trial_cross.stopped,exp2_trial_sound.started,exp2_trial_key.stopped,exp2_trial_key.keys,exp2_trial_key.rt,exp2_cross.started,exp2_key.started,exp2_cross.stopped,exp2_sound.started,exp2_key.stopped,exp2_key.keys,exp2_key.rt,participant,session,date,expName,psychopyVersion,frameRate,
14.0,l1,t,es,na,../audio/014.wav,,l1_t_es_na_014,,,,,,,../image/book.png,../image/key.png,key,rshift,1,key,book,book,key,None,,,,,,,,,,0,49,49,38,,,,,,,,,,,,,,,,,,,178.83988141594455,179.04613708297256,rshift,1,2.2107942089205608,179.08560079103336,179.80287824961513,,,,,,,,,,,,,,,070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
66.0,l1,f,en,na,../audio/066.wav,,l1_f_en_na_066,,,,,,,../image/bag.png,../image/scarf.png,bag,lshift,1,bag,scarf,bag,scarf,None,,,,,,,,,,0,50,50,5,,,,,,,,,,,,,,,,,,,181.3068102080142,181.51278750004712,lshift,1,2.1929402919486165,181.5527032079408,182.26960820769116,,,,,,,,,,,,,,,070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
91.0,l1,f,sp,na,../audio/091.wav,,l1_f_sp_na_091,,,,,,,../image/backpack.png,../image/bracelet.png,bracelet,rshift,1,bracelet,backpack,backpack,bracelet,None,,,,,,,,,,0,51,51,30,,,,,,,,,,,,,,,,,,,183.7608585410053,183.9631953330245,lshift,0,1.839444209006615,184.0028839999577,184.71886183269478,,,,,,,,,,,,,,,070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
73.0,l1,f,en,na,../audio/073.wav,,l1_f_en_na_073,,,,,,,../image/socks.png,../image/tshirt.png,tshirt,rshift,1,tshirt,socks,socks,tshirt,None,,,,,,,,,,0,52,52,12,,,,,,,,,,,,,,,,,,,185.84650629095268,186.05280583293643,rshift,1,2.4789358749985695,186.08376712503377,186.8128839577005,,,,,,,,,,,,,,,070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
89.0,l1,f,sp,na,../audio/089.wav,,l1_f_sp_na_089,,,,,,,../image/bed.png,../image/wallet.png,wallet,rshift,1,wallet,bed,bed,wallet,None,,,,,,,,,,0,53,53,28,,,,,,,,,,,,,,,,,,,188.58526387496386,188.78601779101882,rshift,1,2.311082916916348,188.82990604103543,189.54665291664813,,,,,,,,,,,,,,,070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
64.0,l1,f,en,na,../audio/064.wav,,l1_f_en_na_064,,,,,,,../image/wallet.png,../image/key.png,wallet,lshift,1,wallet,key,wallet,key,None,,,,,,,,,,0,54,54,3,,,,,,,,,,,,,,,,,,,191.14307687501423,191.34649187501054,lshift,1,1.8108971670735627,191.38628279103432,192.1028910827047,,,,,,,,,,,,,,,070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
tr1,lt,tr,en,na,../practice_trial/audio/tr1.wav,Where are your kids?,lt_tr_en_na_tr1,-,-,-,-,-,-,../image/america.png,../image/spain.png,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,203.68829333304893,203.88569487503264,203.93624620803166,204.63623362471506,208.90475533297285,"['lshift', 'lshift']","[1.3159919169265777, 3.607272333931178]",,,,,,,,070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
tr2,lt,tr,en,na,../practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,../image/america.png,../image/spain.png,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,208.90475533297285,209.1290990409907,209.1520347079495,209.88642637461115,214.1472048329888,['lshift'],[2.547026750049554],,,,,,,,070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
tr3,lt,tr,sp,na,../practice_trial/audio/tr3.wav,¿Dónde está mi perro?,lt_tr_sp_na_tr3,-,-,-,-,-,-,../image/america.png,../image/spain.png,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,214.1472048329888,214.37961654097307,214.38575662497897,215.13587133266654,219.39626741595566,['rshift'],[1.5591399170225486],,,,,,,,070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
tr4,lt,tr,sp,na,../practice_trial/audio/tr4.wav,¿De quién es la bolsa?,lt_tr_sp_na_tr4,-,-,-,-,-,-,../image/america.png,../image/spain.png,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,219.39626741595566,219.6296480409801,219.63623666600324,220.3846893326302,224.64340095804073,['rshift'],[1.7293337510200217],,,,,,,,070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
