participant,session,date,expName,psychopyVersion,OS,frameRate,exp1_trial_key.keys,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_trial_loop.ran,num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_retrial.ran,exp1_trial_key.rt,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp1_loop.ran,exp_num,image,image_alt,left_img,right_img,image_dir,exp2_trial_key.keys,exp2_trial_key.rt,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_trial_loop.ran,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_retrial.ran,exp2_key.keys,exp2_key.rt,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp2_loop.ran,cs
006,001,2023-10-19_23h36.34.636,exp_g2,2022.2.5,Win32,60.35367252,,,,,,,145,l2,t,es,f0u,audio/145.wav,,l2_t_es_f0u_145,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift"",""lshift"",""lshift"",""lshift"",""rshift"",""lshift""]","[-0.29720000004772373,0.06850000000008549,0.4520999999047035,0.752099999904658,2.63209999990454,4.947099999904594]",0,30,30,49,1,1
006,001,2023-10-19_23h36.34.636,exp_g2,2022.2.5,Win32,60.35367252,,,,,,,068,l1,f,en,na,audio/068.wav,,l1_f_en_na_068,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift"",""lshift"",""lshift"",""lshift""]","[0.21710000002371999,0.8666000000239364,1.83270000004768,2.4328999999761436]",0,31,31,7,1,
006,001,2023-10-19_23h36.34.636,exp_g2,2022.2.5,Win32,60.35367252,,,,,,,013,l1,t,es,na,audio/013.wav,,l1_t_es_na_013,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[3.064600000023802,3.3804999999999836]",0,32,32,37,1,1
006,001,2023-10-19_23h36.34.636,exp_g2,2022.2.5,Win32,60.35367252,,,,,,,071,l1,f,en,na,audio/071.wav,,l1_f_en_na_071,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift""]",[3.3968999999760854],0,33,33,10,1,
006,001,2023-10-19_23h36.34.636,exp_g2,2022.2.5,Win32,60.35367252,,,,,,,088,l1,f,sp,na,audio/088.wav,,l1_f_sp_na_088,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""rshift""]",[2.6651000000238128],0,34,34,27,1,
006,001,2023-10-19_23h36.34.636,exp_g2,2022.2.5,Win32,60.35367252,,,,,,,092,l1,f,sp,na,audio/092.wav,,l1_f_sp_na_092,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""rshift""]",[2.3652000000477074],0,35,35,31,1,
006,001,2023-10-19_23h36.34.636,exp_g2,2022.2.5,Win32,60.35367252,,,,,,,081,l1,f,se,na,audio/081.wav,,l1_f_se_na_081,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""rshift"",""lshift""]","[1.8171999999285617,3.069600000023911]",0,36,36,20,1,1
006,001,2023-10-19_23h36.34.636,exp_g2,2022.2.5,Win32,60.35367252,,,,,,,073,l1,f,en,na,audio/073.wav,,l1_f_en_na_073,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift""]",[2.771700000047531],0,37,37,12,1,
006,001,2023-10-19_23h36.34.636,exp_g2,2022.2.5,Win32,60.35367252,,,,,,,083,l1,f,se,na,audio/083.wav,,l1_f_se_na_083,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""rshift"",""lshift"",""rshift""]","[3.3132000000475728,3.4823999999762236,3.7638000000715692]",0,38,38,22,1,1
006,001,2023-10-19_23h36.34.636,exp_g2,2022.2.5,Win32,60.35367252,,,,,,,078,l1,f,se,na,audio/078.wav,,l1_f_se_na_078,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""rshift"",""lshift""]","[3.07189999997604,3.2474999999999454]",0,39,39,17,1,1
006,001,2023-10-19_23h36.34.636,exp_g2,2022.2.5,Win32,60.35367252,,,,,,,085,l1,f,se,na,audio/085.wav,,l1_f_se_na_085,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""rshift"",""lshift""]","[2.5401000000238128,3.125899999976127]",0,40,40,24,1,1
006,001,2023-10-19_23h36.34.636,exp_g2,2022.2.5,Win32,60.35367252,,,,,,,011,l1,t,es,na,audio/011.wav,,l1_t_es_na_011,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift""]",[3.9300000000000637],0,41,41,35,1,1
006,001,2023-10-19_23h36.34.636,exp_g2,2022.2.5,Win32,60.35367252,,,,,,,084,l1,f,se,na,audio/084.wav,,l1_f_se_na_084,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""rshift"",""lshift""]","[3.0815000000000055,3.2343999999761763]",0,42,42,23,1,1
