"","num","list","cond","lang","type","mat_dur","exp1_key.keys","exp1_key.rt","exp1_key.corr","cor_rate","participant","group","prof","rt"
"1",21,"l2","t","es","na",0.704021,"lshift",2.319,1,1,73,"exp_g2",7,1.614979
"2",22,"l2","t","es","na",0.863963,"rshift",2.231,1,1,73,"exp_g2",7,1.367037
"3",23,"l2","t","es","na",0.806296,"lshift",2.219,1,1,73,"exp_g2",7,1.412704
"4",24,"l2","t","es","na",0.817267,"rshift",2.745,1,1,73,"exp_g2",7,1.927733
"5",25,"l2","t","es","na",0.909694,"lshift",2.502,1,1,73,"exp_g2",7,1.592306
"6",26,"l2","t","es","na",0.977641,"rshift",2.377,1,1,73,"exp_g2",7,1.399359
"7",27,"l2","t","es","na",0.619246,"lshift",2.149,1,1,73,"exp_g2",7,1.529754
"8",28,"l2","t","es","na",0.937816,"rshift",2.373,1,1,73,"exp_g2",7,1.435184
"9",29,"l2","t","es","na",1.122001,"lshift",3.139,1,1,73,"exp_g2",7,2.016999
"10",30,"l2","t","es","na",1.133667,"rshift",2.688,1,1,73,"exp_g2",7,1.554333
"11",98,"l2","f","en","na",0.376142,"rshift",1.878,1,1,73,"exp_g2",7,1.501858
"12",99,"l2","f","en","na",0.462405,"lshift",1.825,1,1,73,"exp_g2",7,1.362595
"13",101,"l2","f","en","na",0.924484,"lshift",2.474,1,1,73,"exp_g2",7,1.549516
"14",102,"l2","f","en","na",1.021105,"rshift",2.255,1,1,73,"exp_g2",7,1.233895
"15",103,"l2","f","en","na",0.594925,"lshift",2.176,1,1,73,"exp_g2",7,1.581075
"16",106,"l2","f","en","na",1.203962,"rshift",2.704,1,1,73,"exp_g2",7,1.500038
"17",107,"l2","f","en","na",0.740095,"lshift",2.438,1,1,73,"exp_g2",7,1.697905
"18",108,"l2","f","en","na",0.818995,"rshift",2.439,1,1,73,"exp_g2",7,1.620005
"19",109,"l2","f","en","na",0.344097,"lshift",1.811,1,1,73,"exp_g2",7,1.466903
"20",110,"l2","f","en","na",0.973278,"rshift",2.425,1,1,73,"exp_g2",7,1.451722
"21",141,"l2","t","es","f0u",0.75509375,"lshift",2.198,1,1,73,"exp_g2",7,1.44290625
"22",142,"l2","t","es","f0u",0.73509375,"rshift",3,1,1,73,"exp_g2",7,2.26490625
"23",143,"l2","t","es","f0u",1.55846875,"lshift",3.342,1,1,73,"exp_g2",7,1.78353125
"24",144,"l2","t","es","f0u",0.69834375,"rshift",2.368,1,1,73,"exp_g2",7,1.66965625
"25",145,"l2","t","es","f0u",0.825,"lshift",2.264,1,1,73,"exp_g2",7,1.439
"26",146,"l2","t","es","f0u",1.63628125,"rshift",3.342,1,1,73,"exp_g2",7,1.70571875
"27",147,"l2","t","es","f0u",1.025125,"lshift",2.776,1,1,73,"exp_g2",7,1.750875
"28",148,"l2","t","es","f0u",0.739,"rshift",2.226,1,1,73,"exp_g2",7,1.487
"29",149,"l2","t","es","f0u",1.2804375,"lshift",2.587,1,1,73,"exp_g2",7,1.3065625
"30",150,"l2","t","es","f0u",0.82653125,"rshift",2.506,1,1,73,"exp_g2",7,1.67946875
