"","num","list","cond","lang","type","mat_dur","exp1_key.keys","exp1_key.rt","exp1_key.corr","cor_rate","participant","group","prof","rt"
"1",11,"l1","t","es","na",0.944375,"lshift",2.7305,1,0.966666666666667,70,"exp_g1",31,1.786125
"2",12,"l1","t","es","na",0.823703,"rshift",2.8514,1,0.966666666666667,70,"exp_g1",31,2.027697
"3",13,"l1","t","es","na",1.352093,"lshift",2.9699,1,0.966666666666667,70,"exp_g1",31,1.617807
"4",14,"l1","t","es","na",0.788685,"rshift",2.6667,1,0.966666666666667,70,"exp_g1",31,1.878015
"5",15,"l1","t","es","na",0.882114,"lshift",2.6872,1,0.966666666666667,70,"exp_g1",31,1.805086
"6",16,"l1","t","es","na",1.694902,"rshift",3.3809,1,0.966666666666667,70,"exp_g1",31,1.685998
"7",17,"l1","t","es","na",1.328805,"lshift",2.9769,1,0.966666666666667,70,"exp_g1",31,1.648095
"8",18,"l1","t","es","na",0.900375,"rshift",2.5008,1,0.966666666666667,70,"exp_g1",31,1.600425
"9",19,"l1","t","es","na",1.44153,"lshift",3.196,1,0.966666666666667,70,"exp_g1",31,1.75447
"10",20,"l1","t","es","na",0.99676,"rshift",2.7099,1,0.966666666666667,70,"exp_g1",31,1.71314
"11",63,"l1","f","en","na",0.351376,"rshift",1.7243,1,0.966666666666667,70,"exp_g1",31,1.372924
"12",64,"l1","f","en","na",0.428572,"lshift",1.7684,1,0.966666666666667,70,"exp_g1",31,1.339828
"13",66,"l1","f","en","na",0.780001,"lshift",2.6242,1,0.966666666666667,70,"exp_g1",31,1.844199
"14",67,"l1","f","en","na",0.950804,"rshift",2.299,1,0.966666666666667,70,"exp_g1",31,1.348196
"15",68,"l1","f","en","na",0.600784,"lshift",2.4115,1,0.966666666666667,70,"exp_g1",31,1.810716
"16",71,"l1","f","en","na",1.261129,"rshift",2.8546,1,0.966666666666667,70,"exp_g1",31,1.593471
"17",73,"l1","f","en","na",0.877576,"rshift",2.5228,1,0.966666666666667,70,"exp_g1",31,1.645224
"18",74,"l1","f","en","na",0.396484,"lshift",2.0088,1,0.966666666666667,70,"exp_g1",31,1.612316
"19",75,"l1","f","en","na",0.913493,"rshift",2.3945,1,0.966666666666667,70,"exp_g1",31,1.481007
"20",131,"l1","t","es","f0u",0.7884375,"lshift",3.2011,1,0.966666666666667,70,"exp_g1",31,2.4126625
"21",132,"l1","t","es","f0u",0.92128125,"rshift",3.0368,1,0.966666666666667,70,"exp_g1",31,2.11551875
"22",133,"l1","t","es","f0u",0.77825,"lshift",2.4774,1,0.966666666666667,70,"exp_g1",31,1.69915
"23",134,"l1","t","es","f0u",0.91259375,"rshift",2.6907,1,0.966666666666667,70,"exp_g1",31,1.77810625
"24",135,"l1","t","es","f0u",0.8595,"lshift",2.3796,1,0.966666666666667,70,"exp_g1",31,1.5201
"25",136,"l1","t","es","f0u",0.974875,"rshift",2.7888,1,0.966666666666667,70,"exp_g1",31,1.813925
"26",137,"l1","t","es","f0u",0.635125,"lshift",2.4776,1,0.966666666666667,70,"exp_g1",31,1.842475
"27",138,"l1","t","es","f0u",0.9708125,"rshift",2.6115,1,0.966666666666667,70,"exp_g1",31,1.6406875
"28",139,"l1","t","es","f0u",1.1799375,"lshift",2.8424,1,0.966666666666667,70,"exp_g1",31,1.6624625
"29",140,"l1","t","es","f0u",1.108625,"rshift",2.8118,1,0.966666666666667,70,"exp_g1",31,1.703175
