"","num","list","cond","lang","type","mat_dur","exp1_key.keys","exp1_key.rt","exp1_key.corr","cor_rate","participant","group","prof","rt"
"1",21,"l2","t","es","na",0.704021,"lshift",2.007,1,0.9,91,"exp_g2",9,1.302979
"2",22,"l2","t","es","na",0.863963,"rshift",2.2127,1,0.9,91,"exp_g2",9,1.348737
"3",23,"l2","t","es","na",0.806296,"lshift",1.9942,1,0.9,91,"exp_g2",9,1.187904
"4",24,"l2","t","es","na",0.817267,"rshift",2.9091,1,0.9,91,"exp_g2",9,2.091833
"5",25,"l2","t","es","na",0.909694,"lshift",2.3718,1,0.9,91,"exp_g2",9,1.462106
"6",26,"l2","t","es","na",0.977641,"rshift",2.4206,1,0.9,91,"exp_g2",9,1.442959
"7",27,"l2","t","es","na",0.619246,"lshift",2.3225,1,0.9,91,"exp_g2",9,1.703254
"8",28,"l2","t","es","na",0.937816,"rshift",2.215,1,0.9,91,"exp_g2",9,1.277184
"9",30,"l2","t","es","na",1.133667,"rshift",2.6993,1,0.9,91,"exp_g2",9,1.565633
"10",98,"l2","f","en","na",0.376142,"rshift",2.0133,1,0.9,91,"exp_g2",9,1.637158
"11",99,"l2","f","en","na",0.462405,"lshift",1.5997,1,0.9,91,"exp_g2",9,1.137295
"12",101,"l2","f","en","na",0.924484,"lshift",2.3657,1,0.9,91,"exp_g2",9,1.441216
"13",103,"l2","f","en","na",0.594925,"lshift",1.9735,1,0.9,91,"exp_g2",9,1.378575
"14",106,"l2","f","en","na",1.203962,"rshift",2.5917,1,0.9,91,"exp_g2",9,1.387738
"15",107,"l2","f","en","na",0.740095,"lshift",2.1925,1,0.9,91,"exp_g2",9,1.452405
"16",108,"l2","f","en","na",0.818995,"rshift",3.9452,1,0.9,91,"exp_g2",9,3.126205
"17",109,"l2","f","en","na",0.344097,"lshift",1.6449,1,0.9,91,"exp_g2",9,1.300803
"18",110,"l2","f","en","na",0.973278,"rshift",2.1783,1,0.9,91,"exp_g2",9,1.205022
"19",141,"l2","t","es","f0u",0.75509375,"lshift",2.1663,1,0.9,91,"exp_g2",9,1.41120625
"20",143,"l2","t","es","f0u",1.55846875,"lshift",3.3077,1,0.9,91,"exp_g2",9,1.74923125
"21",144,"l2","t","es","f0u",0.69834375,"rshift",2.2461,1,0.9,91,"exp_g2",9,1.54775625
"22",145,"l2","t","es","f0u",0.825,"lshift",2.0656,1,0.9,91,"exp_g2",9,1.2406
"23",146,"l2","t","es","f0u",1.63628125,"rshift",2.9649,1,0.9,91,"exp_g2",9,1.32861875
"24",147,"l2","t","es","f0u",1.025125,"lshift",3.06,1,0.9,91,"exp_g2",9,2.034875
"25",148,"l2","t","es","f0u",0.739,"rshift",2.3961,1,0.9,91,"exp_g2",9,1.6571
"26",149,"l2","t","es","f0u",1.2804375,"lshift",2.5612,1,0.9,91,"exp_g2",9,1.2807625
"27",150,"l2","t","es","f0u",0.82653125,"rshift",2.2625,1,0.9,91,"exp_g2",9,1.43596875
