"","num","list","cond","lang","type","mat_dur","exp1_key.keys","exp1_key.rt","exp1_key.corr","cor_rate","participant","group","prof","rt"
"1",12,"l1","t","es","na",0.823703,"rshift",2.798144125,1,0.9,65,"exp_g1",2,1.974441125
"2",13,"l1","t","es","na",1.352093,"lshift",2.998631833,1,0.9,65,"exp_g1",2,1.646538833
"3",14,"l1","t","es","na",0.788685,"rshift",2.366582041,1,0.9,65,"exp_g1",2,1.577897041
"4",15,"l1","t","es","na",0.882114,"lshift",2.132350708,1,0.9,65,"exp_g1",2,1.250236708
"5",16,"l1","t","es","na",1.694902,"rshift",2.959787459,1,0.9,65,"exp_g1",2,1.264885459
"6",17,"l1","t","es","na",1.328805,"lshift",2.69643575,1,0.9,65,"exp_g1",2,1.36763075
"7",19,"l1","t","es","na",1.44153,"lshift",2.885078416,1,0.9,65,"exp_g1",2,1.443548416
"8",20,"l1","t","es","na",0.99676,"rshift",2.496069708,1,0.9,65,"exp_g1",2,1.499309708
"9",63,"l1","f","en","na",0.351376,"rshift",1.796138625,1,0.9,65,"exp_g1",2,1.444762625
"10",64,"l1","f","en","na",0.428572,"lshift",1.923029708,1,0.9,65,"exp_g1",2,1.494457708
"11",66,"l1","f","en","na",0.780001,"lshift",2.252674792,1,0.9,65,"exp_g1",2,1.472673792
"12",67,"l1","f","en","na",0.950804,"rshift",2.236905333,1,0.9,65,"exp_g1",2,1.286101333
"13",68,"l1","f","en","na",0.600784,"lshift",2.017785916,1,0.9,65,"exp_g1",2,1.417001916
"14",71,"l1","f","en","na",1.261129,"rshift",2.659649375,1,0.9,65,"exp_g1",2,1.398520375
"15",72,"l1","f","en","na",0.83156,"lshift",2.0631605,1,0.9,65,"exp_g1",2,1.2316005
"16",73,"l1","f","en","na",0.877576,"rshift",2.188976958,1,0.9,65,"exp_g1",2,1.311400958
"17",74,"l1","f","en","na",0.396484,"lshift",1.826541583,1,0.9,65,"exp_g1",2,1.430057583
"18",75,"l1","f","en","na",0.913493,"rshift",2.251358916,1,0.9,65,"exp_g1",2,1.337865916
"19",131,"l1","t","es","f0u",0.7884375,"lshift",2.155837625,1,0.9,65,"exp_g1",2,1.367400125
"20",132,"l1","t","es","f0u",0.92128125,"rshift",2.250381792,1,0.9,65,"exp_g1",2,1.329100542
"21",133,"l1","t","es","f0u",0.77825,"lshift",2.667171584,1,0.9,65,"exp_g1",2,1.888921584
"22",135,"l1","t","es","f0u",0.8595,"lshift",2.234045375,1,0.9,65,"exp_g1",2,1.374545375
"23",136,"l1","t","es","f0u",0.974875,"rshift",2.865509875,1,0.9,65,"exp_g1",2,1.890634875
"24",137,"l1","t","es","f0u",0.635125,"lshift",2.0827295,1,0.9,65,"exp_g1",2,1.4476045
"25",138,"l1","t","es","f0u",0.9708125,"rshift",2.561772208,1,0.9,65,"exp_g1",2,1.590959708
"26",139,"l1","t","es","f0u",1.1799375,"lshift",2.774440792,1,0.9,65,"exp_g1",2,1.594503292
"27",140,"l1","t","es","f0u",1.108625,"rshift",2.9927785,1,0.9,65,"exp_g1",2,1.8841535
