"","num","list","type","exp1_key.keys","exp1_key.rt","exp1_key.corr","participant","group","cor_rate","prof"
"1","131.0","l1","f0u","lshift",3.43666616699193,1,68,"exp_g1",0.75,1
"2","140.0","l1","f0u","lshift",4.48328395804856,0,68,"exp_g1",0.75,1
"3","138.0","l1","f0u","rshift",3.20157054101583,1,68,"exp_g1",0.75,1
"4","139.0","l1","f0u","lshift",2.84332858305424,1,68,"exp_g1",0.75,1
"5","17.0","l1","na","lshift",3.81265583296772,1,68,"exp_g1",0.75,1
"6","15.0","l1","na","lshift",4.83384091593325,1,68,"exp_g1",0.75,1
"7","135.0","l1","f0u","lshift",2.40055399900302,1,68,"exp_g1",0.75,1
"8","12.0","l1","na","rshift",2.85598958295304,1,68,"exp_g1",0.75,1
"9","132.0","l1","f0u","rshift",2.55330808297731,1,68,"exp_g1",0.75,1
"10","18.0","l1","na","lshift",4.75561049894895,0,68,"exp_g1",0.75,1
"11","20.0","l1","na","None",NA,0,68,"exp_g1",0.75,1
"12","11.0","l1","na","lshift",2.66697737399954,1,68,"exp_g1",0.75,1
"13","13.0","l1","na","rshift",3.41856099991128,0,68,"exp_g1",0.75,1
"14","136.0","l1","f0u","rshift",3.47128620801959,1,68,"exp_g1",0.75,1
"15","134.0","l1","f0u","lshift",3.1264922079863,0,68,"exp_g1",0.75,1
"16","19.0","l1","na","lshift",3.12543066602666,1,68,"exp_g1",0.75,1
"17","16.0","l1","na","rshift",3.37379208300263,1,68,"exp_g1",0.75,1
"18","137.0","l1","f0u","lshift",2.27242937509436,1,68,"exp_g1",0.75,1
"19","133.0","l1","f0u","lshift",2.55612470803317,1,68,"exp_g1",0.75,1
"20","14.0","l1","na","rshift",2.64723212399986,1,68,"exp_g1",0.75,1
