"","num","list","cond","lang","type","mat_dur","exp1_key.keys","exp1_key.rt","exp1_key.corr","cor_rate","participant","group","prof","rt"
"1",11,"l1","t","es","na",0.944375,"lshift",2.6752,1,1,86,"exp_g1",-2,1.730825
"2",12,"l1","t","es","na",0.823703,"rshift",2.155,1,1,86,"exp_g1",-2,1.331297
"3",13,"l1","t","es","na",1.352093,"lshift",3.3428,1,1,86,"exp_g1",-2,1.990707
"4",14,"l1","t","es","na",0.788685,"rshift",2.1162,1,1,86,"exp_g1",-2,1.327515
"5",15,"l1","t","es","na",0.882114,"lshift",3.7102,1,1,86,"exp_g1",-2,2.828086
"6",16,"l1","t","es","na",1.694902,"rshift",3.1275,1,1,86,"exp_g1",-2,1.432598
"7",17,"l1","t","es","na",1.328805,"lshift",2.9827,1,1,86,"exp_g1",-2,1.653895
"8",18,"l1","t","es","na",0.900375,"rshift",2.7175,1,1,86,"exp_g1",-2,1.817125
"9",19,"l1","t","es","na",1.44153,"lshift",2.7747,1,1,86,"exp_g1",-2,1.33317
"10",20,"l1","t","es","na",0.99676,"rshift",2.7426,1,1,86,"exp_g1",-2,1.74584
"11",63,"l1","f","en","na",0.351376,"rshift",1.7452,1,1,86,"exp_g1",-2,1.393824
"12",64,"l1","f","en","na",0.428572,"lshift",1.7092,1,1,86,"exp_g1",-2,1.280628
"13",66,"l1","f","en","na",0.780001,"lshift",2.1798,1,1,86,"exp_g1",-2,1.399799
"14",67,"l1","f","en","na",0.950804,"rshift",2.23,1,1,86,"exp_g1",-2,1.279196
"15",68,"l1","f","en","na",0.600784,"lshift",2.9253,1,1,86,"exp_g1",-2,2.324516
"16",71,"l1","f","en","na",1.261129,"rshift",2.5574,1,1,86,"exp_g1",-2,1.296271
"17",72,"l1","f","en","na",0.83156,"lshift",1.9953,1,1,86,"exp_g1",-2,1.16374
"18",73,"l1","f","en","na",0.877576,"rshift",2.1087,1,1,86,"exp_g1",-2,1.231124
"19",74,"l1","f","en","na",0.396484,"lshift",1.752,1,1,86,"exp_g1",-2,1.355516
"20",75,"l1","f","en","na",0.913493,"rshift",2.1912,1,1,86,"exp_g1",-2,1.277707
"21",131,"l1","t","es","f0u",0.7884375,"lshift",2.0444,1,1,86,"exp_g1",-2,1.2559625
"22",132,"l1","t","es","f0u",0.92128125,"rshift",2.2591,1,1,86,"exp_g1",-2,1.33781875
"23",133,"l1","t","es","f0u",0.77825,"lshift",2.4687,1,1,86,"exp_g1",-2,1.69045
"24",134,"l1","t","es","f0u",0.91259375,"rshift",3.1593,1,1,86,"exp_g1",-2,2.24670625
"25",135,"l1","t","es","f0u",0.8595,"lshift",2.236,1,1,86,"exp_g1",-2,1.3765
"26",136,"l1","t","es","f0u",0.974875,"rshift",2.8425,1,1,86,"exp_g1",-2,1.867625
"27",137,"l1","t","es","f0u",0.635125,"lshift",2.1904,1,1,86,"exp_g1",-2,1.555275
"28",138,"l1","t","es","f0u",0.9708125,"rshift",2.3275,1,1,86,"exp_g1",-2,1.3566875
"29",139,"l1","t","es","f0u",1.1799375,"lshift",2.8033,1,1,86,"exp_g1",-2,1.6233625
"30",140,"l1","t","es","f0u",1.108625,"rshift",3.2168,1,1,86,"exp_g1",-2,2.108175
