num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct,exp_num,image,image_alt,left_img,right_img,correct_key,image_dir,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp1_trial_key.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.rt,exp1_sound.started,exp2_trial_key.started,exp2_trial_sound.started,exp2_trial_key.stopped,participant,session,date,expName,psychopyVersion,frameRate,
131.0,l1,t,es,f0u,../audio/131.wav,,l1_t_es_f0u_131,,,,,,,../image/cat.png,../image/flower.png,cat,,1,cat,flower,cat,flower,l,None,,,,,,,,,0,21,21,45,,,,,,,,,,,,22.193152667001414,['lshift'],[0.26366604199756694],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
138.0,l1,t,es,f0u,../audio/138.wav,,l1_t_es_f0u_138,,,,,,,../image/pants.png,../image/shirt.png,shirt,,1,shirt,pants,pants,shirt,r,None,,,,,,,,,0,22,22,52,,,,,,,,,,,,22.502804542000376,['lshift'],[0.2550324579988228],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
134.0,l1,t,es,f0u,../audio/134.wav,,l1_t_es_f0u_134,,,,,,,../image/basket.png,../image/truck.png,truck,,1,truck,basket,basket,truck,r,None,,,,,,,,,0,23,23,48,,,,,,,,,,,,22.808739957999933,['lshift'],[0.27049329199871863],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
88.0,l1,f,sp,na,../audio/088.wav,,l1_f_sp_na_088,,,,,,,../image/book.png,../image/cellphone.png,book,,1,book,cellphone,book,cellphone,l,None,,,,,,,,,0,24,24,27,,,,,,,,,,,,23.120028125000317,['lshift'],[0.2536944589974155],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
16.0,l1,t,es,na,../audio/016.wav,,l1_t_es_na_016,,,,,,,../image/flipflops.png,../image/bag.png,bag,,1,bag,flipflops,flipflops,bag,r,None,,,,,,,,,0,25,25,40,,,,,,,,,,,,23.4201418749999,['lshift'],[0.2593332919987006],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
83.0,l1,f,se,na,../audio/083.wav,,l1_f_se_na_083,,,,,,,../image/donut.png,../image/burger.png,burger,,1,burger,donut,donut,burger,r,None,,,,,,,,,0,26,26,22,,,,,,,,,,,,23.722866208001506,['lshift'],[0.2585838759987382],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
19.0,l1,t,es,na,../audio/019.wav,,l1_t_es_na_019,,,,,,,../image/boy.png,../image/dog.png,boy,,1,boy,dog,boy,dog,l,None,,,,,,,,,0,27,27,43,,,,,,,,,,,,24.031210958000884,['lshift'],[0.26912312599961297],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
76.0,l1,f,se,na,../audio/076.wav,,l1_f_se_na_076,,,,,,,../image/hotdog.png,../image/burger.png,hotdog,,1,hotdog,burger,hotdog,burger,l,None,,,,,,,,,0,28,28,15,,,,,,,,,,,,24.346840833000897,['lshift'],[0.27053587499904097],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
17.0,l1,t,es,na,../audio/017.wav,,l1_t_es_na_017,,,,,,,../image/jug.png,../image/cat.png,jug,,1,jug,cat,jug,cat,l,None,,,,,,,,,0,29,29,41,,,,,,,,,,,,24.660030083001402,['lshift'],[0.2575618749979185],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
71.0,l1,f,en,na,../audio/071.wav,,l1_f_en_na_071,,,,,,,../image/wallet.png,../image/plane.png,plane,,1,plane,wallet,wallet,plane,r,None,,,,,,,,,0,30,30,10,,,,,,,,,,,,24.958767875001286,['lshift'],[0.26459274999979243],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
18.0,l1,t,es,na,../audio/018.wav,,l1_t_es_na_018,,,,,,,../image/cups.png,../image/napkins.png,napkins,,1,napkins,cups,cups,napkins,r,None,,,,,,,,,0,31,31,42,,,,,,,,,,,,25.269096542000625,['lshift'],[0.2807905839999876],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
94.0,l1,f,sp,na,../audio/094.wav,,l1_f_sp_na_094,,,,,,,../image/beer.png,../image/horchata.png,beer,,1,beer,horchata,beer,horchata,l,None,,,,,,,,,0,32,32,33,,,,,,,,,,,,25.59087499999987,['lshift'],[0.2514936249990569],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
15.0,l1,t,es,na,../audio/015.wav,,l1_t_es_na_015,,,,,,,../image/glasses.png,../image/jacket.png,glasses,,1,glasses,jacket,glasses,jacket,l,None,,,,,,,,,0,33,33,39,,,,,,,,,,,,25.882113333000234,['lshift'],[0.260568499999863],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
62.0,l1,f,en,na,../audio/062.wav,,l1_f_en_na_062,,,,,,,../image/shoe.png,../image/ring.png,shoe,,1,shoe,ring,shoe,ring,l,None,,,,,,,,,0,34,34,1,,,,,,,,,,,,26.184622000000672,['lshift'],[0.24055570800010173],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
13.0,l1,t,es,na,../audio/013.wav,,l1_t_es_na_013,,,,,,,../image/beer.png,../image/wine.png,beer,,1,beer,wine,beer,wine,l,None,,,,,,,,,0,35,35,37,,,,,,,,,,,,26.46818458300004,['lshift'],[0.2524817079993227],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
79.0,l1,f,se,na,../audio/079.wav,,l1_f_se_na_079,,,,,,,../image/sweatpants.png,../image/jeans.png,jeans,,1,jeans,sweatpants,sweatpants,jeans,r,None,,,,,,,,,0,36,36,18,,,,,,,,,,,,26.767156167001303,['lshift'],[0.27406054199855134],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
64.0,l1,f,en,na,../audio/064.wav,,l1_f_en_na_064,,,,,,,../image/wallet.png,../image/key.png,wallet,,1,wallet,key,wallet,key,l,None,,,,,,,,,0,37,37,3,,,,,,,,,,,,27.087364375000107,['lshift'],[0.2761672499982524],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
11.0,l1,t,es,na,../audio/011.wav,,l1_t_es_na_011,,,,,,,../image/armchair.png,../image/bed.png,armchair,,1,armchair,bed,armchair,bed,l,None,,,,,,,,,0,38,38,35,,,,,,,,,,,,27.41727154200089,['lshift'],[0.2787122919999092],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
81.0,l1,f,se,na,../audio/081.wav,,l1_f_se_na_081,,,,,,,../image/boxers.png,../image/sweatpants.png,sweatpants,,1,sweatpants,boxers,boxers,sweatpants,r,None,,,,,,,,,0,39,39,20,,,,,,,,,,,,27.737834625000687,['lshift'],[0.28053170899875113],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
72.0,l1,f,en,na,../audio/072.wav,,l1_f_en_na_072,,,,,,,../image/dog.png,../image/fish.png,dog,,1,dog,fish,dog,fish,l,None,,,,,,,,,0,40,40,11,,,,,,,,,,,,28.059862625001188,['lshift'],[0.31007058399882226],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
67.0,l1,f,en,na,../audio/067.wav,,l1_f_en_na_067,,,,,,,../image/beer.png,../image/glasses.png,glasses,,1,glasses,beer,beer,glasses,r,None,,,,,,,,,0,41,41,6,,,,,,,,,,,,28.412484167000002,['lshift'],[0.31186254199928953],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
70.0,l1,f,en,na,../audio/070.wav,,l1_f_en_na_070,,,,,,,../image/computer.png,../image/bed.png,computer,,1,computer,bed,computer,bed,l,None,,,,,,,,,0,42,42,9,,,,,,,,,,,,28.776433667000674,['lshift'],[0.308094957998037],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
20.0,l1,t,es,na,../audio/020.wav,,l1_t_es_na_020,,,,,,,../image/cellphone.png,../image/backpack.png,backpack,,1,backpack,cellphone,cellphone,backpack,r,None,,,,,,,,,0,43,43,44,,,,,,,,,,,,29.131956042001548,['lshift'],[0.31723204199988686],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
12.0,l1,t,es,na,../audio/012.wav,,l1_t_es_na_012,,,,,,,../image/newspaper.png,../image/book.png,book,,1,book,newspaper,newspaper,book,r,None,,,,,,,,,0,44,44,36,,,,,,,,,,,,29.494682708000255,['lshift'],[0.3293086259982374],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
78.0,l1,f,se,na,../audio/078.wav,,l1_f_se_na_078,,,,,,,../image/airpods.png,../image/joycons.png,airpods,,1,airpods,joycons,airpods,joycons,l,None,,,,,,,,,0,45,45,17,,,,,,,,,,,,29.866000208001424,['lshift'],[0.33074770900020667],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
68.0,l1,f,en,na,../audio/068.wav,,l1_f_en_na_068,,,,,,,../image/socks.png,../image/book.png,socks,,1,socks,book,socks,book,l,None,,,,,,,,,0,46,46,7,,,,,,,,,,,,30.237259500001528,['lshift'],[0.30889729199770954],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
84.0,l1,f,se,na,../audio/084.wav,,l1_f_se_na_084,,,,,,,../image/penthouse.png,../image/rocket.png,penthouse,,1,penthouse,rocket,penthouse,rocket,l,None,,,,,,,,,0,47,47,23,,,,,,,,,,,,30.589975374999995,['lshift'],[0.3062640839998494],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
93.0,l1,f,sp,na,../audio/093.wav,,l1_f_sp_na_093,,,,,,,../image/boy.png,../image/book.png,book,,1,book,boy,boy,book,r,None,,,,,,,,,0,48,48,32,,,,,,,,,,,,30.937771792001513,['lshift'],[0.33500816699779534],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
85.0,l1,f,se,na,../audio/085.wav,,l1_f_se_na_085,,,,,,,../image/loafers.png,../image/sneakers.png,sneakers,,1,sneakers,loafers,loafers,sneakers,r,None,,,,,,,,,0,49,49,24,,,,,,,,,,,,31.32299595800032,['lshift'],[0.34375783299947216],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
132.0,l1,t,es,f0u,../audio/132.wav,,l1_t_es_f0u_132,,,,,,,../image/car.png,../image/grandma.png,grandma,,1,grandma,car,car,grandma,r,None,,,,,,,,,0,50,50,46,,,,,,,,,,,,31.712098208001407,['lshift'],[0.3171400419996644],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
65.0,l1,f,en,na,../audio/065.wav,,l1_f_en_na_065,,,,,,,../image/computer.png,../image/book.png,book,,1,book,computer,computer,book,r,None,,,,,,,,,0,51,51,4,,,,,,,,,,,,32.06948908300001,['lshift'],[0.28828383299878624],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
90.0,l1,f,sp,na,../audio/090.wav,,l1_f_sp_na_090,,,,,,,../image/bag.png,../image/bottle.png,bag,,1,bag,bottle,bag,bottle,l,None,,,,,,,,,0,52,52,29,,,,,,,,,,,,32.39854720800031,['lshift'],[0.29915962499944726],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
86.0,l1,f,sp,na,../audio/086.wav,,l1_f_sp_na_086,,,,,,,../image/plates.png,../image/glasses.png,plates,,1,plates,glasses,plates,glasses,l,None,,,,,,,,,0,53,53,25,,,,,,,,,,,,32.737855875000605,['lshift'],[0.3134684999986348],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
92.0,l1,f,sp,na,../audio/092.wav,,l1_f_sp_na_092,,,,,,,../image/armchair.png,../image/dog.png,armchair,,1,armchair,dog,armchair,dog,l,None,,,,,,,,,0,54,54,31,,,,,,,,,,,,33.09495929200057,['lshift'],[0.3249594999997498],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.86048800000026,44.81233899966743,48.8504017080013,,,,,,,
