num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_trial_key.started,exp1_trial_key.keys,exp1_trial_key.rt,participant,session,date,expName,psychopyVersion,frameRate,
tr1,lt,tr,en,na,../practice_trial/audio/tr1.wav,Where are your kids?,lt_tr_en_na_tr1,-,-,-,-,-,-,../image/kids.png,../image/plates.png,kids,lshift,0,0,0,0,0,0,0,0,12.175603499999852,['lshift'],[0.41984254300041357],731357,001,2023-04-03_13h58.57.335,exp_g1,2022.2.5,None,
tr2,lt,tr,en,na,../practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,../image/bag.png,../image/car.png,car,rshift,0,0,0,0,0,1,1,1,12.63724508300038,['lshift'],[0.34133987500172225],731357,001,2023-04-03_13h58.57.335,exp_g1,2022.2.5,None,
tr3,lt,tr,sp,na,../practice_trial/audio/tr3.wav,¿Dónde está mi perro?,lt_tr_sp_na_tr3,-,-,-,-,-,-,../image/dog.png,../image/grandma.png,dog,lshift,0,0,0,0,0,2,2,2,13.021060750001197,['lshift'],[0.3077398759996868],731357,001,2023-04-03_13h58.57.335,exp_g1,2022.2.5,None,
tr4,lt,tr,sp,na,../practice_trial/audio/tr4.wav,¿De quién es la bolsa?,lt_tr_sp_na_tr4,-,-,-,-,-,-,../image/shirt.png,../image/bag.png,bag,rshift,0,0,0,0,0,3,3,3,13.37228395800048,['lshift'],[0.35623650000161433],731357,001,2023-04-03_13h58.57.335,exp_g1,2022.2.5,None,
tr5,lt,tr,se,na,../practice_trial/audio/tr5.wav,¿Dónde encontraste sus donuts?,lt_tr_se_na_tr5,-,-,-,-,-,-,../image/donut.png,../image/cups.png,donut,lshift,0,0,0,0,0,4,4,4,13.772678291001284,['lshift'],[0.34281045900024765],731357,001,2023-04-03_13h58.57.335,exp_g1,2022.2.5,None,
tr6,lt,tr,se,na,../practice_trial/audio/tr6.wav,¿Cuándo compraste tu sweater?,lt_tr_se_na_tr6,-,-,-,-,-,-,../image/chair.png,../image/sweater.png,sweater,rshift,0,0,0,0,0,5,5,5,14.158758999999918,['lshift'],[0.3616198340005212],731357,001,2023-04-03_13h58.57.335,exp_g1,2022.2.5,None,
tr7,lt,tr,es,na,../practice_trial/audio/tr7.wav,Why do you have my camisa?,lt_tr_es_na_tr7,-,-,-,-,-,-,../image/shirt.png,../image/wallet.png,shirt,lshift,0,0,0,0,0,6,6,6,14.572401833000185,['lshift'],[0.2762494180005888],731357,001,2023-04-03_13h58.57.335,exp_g1,2022.2.5,None,
tr8,lt,tr,es,na,../practice_trial/audio/tr8.wav,Where did you find his chanclas?,lt_tr_es_na_tr8,-,-,-,-,-,-,../image/key.png,../image/flipflops.png,flipflops,rshift,0,0,0,0,0,7,7,7,14.891852415999892,['lshift'],[0.3364604589987721],731357,001,2023-04-03_13h58.57.335,exp_g1,2022.2.5,None,
