num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_trial_key.started,exp1_trial_sound.started,exp1_trial_key.keys,exp1_trial_key.rt,participant,session,date,expName,psychopyVersion,frameRate,
tr1,lt,tr,en,na,../practice_trial/audio/tr1.wav,Where are your kids?,lt_tr_en_na_tr1,-,-,-,-,-,-,../image/kids.png,../image/plates.png,kids,lshift,0,0,0,0,0,0,0,0,13.15875641599996,14.100612916667403,['lshift'],[2.6813849179980025],024230,001,2023-04-03_10h12.57.529,exp_g1,2022.2.5,None,
tr2,lt,tr,en,na,../practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,../image/bag.png,../image/car.png,car,rshift,0,0,0,0,0,1,1,1,15.874149708000914,16.85083345766749,['rshift'],[2.2212598339992837],024230,001,2023-04-03_10h12.57.529,exp_g1,2022.2.5,None,
tr3,lt,tr,sp,na,../practice_trial/audio/tr3.wav,¿Dónde está mi perro?,lt_tr_sp_na_tr3,-,-,-,-,-,-,../image/dog.png,../image/grandma.png,dog,lshift,0,0,0,0,0,2,2,2,18.13384833300006,19.106987916666426,['lshift'],[2.134386125999299],024230,001,2023-04-03_10h12.57.529,exp_g1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,20.303959958000632,21.283947291665996,,,,,,,,,
