num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct,exp_num,image,image_alt,left_img,right_img,correct_key,image_dir,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp1_trial_key.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.rt,exp2_trial_key.started,exp2_trial_key.keys,exp2_trial_key.rt,exp2_trial_sound.started,participant,session,date,expName,psychopyVersion,frameRate,
19.0,l1,t,es,na,../audio/019.wav,,l1_t_es_na_019,,,,,,,../image/boy.png,../image/dog.png,boy,,1,boy,dog,boy,dog,l,None,,,,,,,,,0,30,30,43,,,,,,,,,,,,18.714710083000682,['lshift'],[0.09001487599925895],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
137.0,l1,t,es,f0u,../audio/137.wav,,l1_t_es_f0u_137,,,,,,,../image/jacket.png,../image/shirt.png,jacket,,1,jacket,shirt,jacket,shirt,l,None,,,,,,,,,0,31,31,51,,,,,,,,,,,,18.835701665999295,['lshift'],[0.021483376000105636],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
95.0,l1,f,sp,na,../audio/095.wav,,l1_f_sp_na_095,,,,,,,../image/socks.png,../image/key.png,key,,1,key,socks,socks,key,r,None,,,,,,,,,0,32,32,34,,,,,,,,,,,,18.895044250000865,['lshift'],[0.03892300000006799],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
87.0,l1,f,sp,na,../audio/087.wav,,l1_f_sp_na_087,,,,,,,../image/desk.png,../image/bed.png,bed,,1,bed,desk,desk,bed,r,None,,,,,,,,,0,33,33,26,,,,,,,,,,,,18.96587454099972,['lshift'],[0.04779254299864988],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
135.0,l1,t,es,f0u,../audio/135.wav,,l1_t_es_f0u_135,,,,,,,../image/flipflops.png,../image/flower.png,flipflops,,1,flipflops,flower,flipflops,flower,l,None,,,,,,,,,0,34,34,49,,,,,,,,,,,,19.0479714159992,['lshift'],[0.10426879300030123],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
62.0,l1,f,en,na,../audio/062.wav,,l1_f_en_na_062,,,,,,,../image/shoe.png,../image/ring.png,shoe,,1,shoe,ring,shoe,ring,l,None,,,,,,,,,0,35,35,1,,,,,,,,,,,,19.182582583000112,['lshift'],[0.1273855840008764],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
90.0,l1,f,sp,na,../audio/090.wav,,l1_f_sp_na_090,,,,,,,../image/bag.png,../image/bottle.png,bag,,1,bag,bottle,bag,bottle,l,None,,,,,,,,,0,36,36,29,,,,,,,,,,,,19.350163416000214,['lshift'],[0.023532625998996082],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
20.0,l1,t,es,na,../audio/020.wav,,l1_t_es_na_020,,,,,,,../image/cellphone.png,../image/backpack.png,backpack,,1,backpack,cellphone,cellphone,backpack,r,None,,,,,,,,,0,37,37,44,,,,,,,,,,,,19.420283583000128,['lshift'],[0.03694054199877428],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
13.0,l1,t,es,na,../audio/013.wav,,l1_t_es_na_013,,,,,,,../image/beer.png,../image/wine.png,beer,,1,beer,wine,beer,wine,l,None,,,,,,,,,0,38,38,37,,,,,,,,,,,,19.49790804099939,['lshift'],[0.022574708998945425],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
75.0,l1,f,en,na,../audio/075.wav,,l1_f_en_na_075,,,,,,,../image/dog.png,../image/fish.png,fish,,1,fish,dog,dog,fish,r,None,,,,,,,,,0,39,39,14,,,,,,,,,,,,19.550229374999617,['lshift'],[0.059671167999113095],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
68.0,l1,f,en,na,../audio/068.wav,,l1_f_en_na_068,,,,,,,../image/socks.png,../image/book.png,socks,,1,socks,book,socks,book,l,None,,,,,,,,,0,40,40,7,,,,,,,,,,,,19.64570920799997,['lshift'],[0.023051084001053823],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
65.0,l1,f,en,na,../audio/065.wav,,l1_f_en_na_065,,,,,,,../image/computer.png,../image/book.png,book,,1,book,computer,computer,book,r,None,,,,,,,,,0,41,41,4,,,,,,,,,,,,19.69537662500079,['lshift'],[0.053406543000164675],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
12.0,l1,t,es,na,../audio/012.wav,,l1_t_es_na_012,,,,,,,../image/newspaper.png,../image/book.png,book,,1,book,newspaper,newspaper,book,r,None,,,,,,,,,0,42,42,36,,,,,,,,,,,,19.7812846249999,['lshift'],[0.04815958399922238],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
72.0,l1,f,en,na,../audio/072.wav,,l1_f_en_na_072,,,,,,,../image/dog.png,../image/fish.png,dog,,1,dog,fish,dog,fish,l,None,,,,,,,,,0,43,43,11,,,,,,,,,,,,19.863466208000318,['lshift'],[0.035558292000132496],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
91.0,l1,f,sp,na,../audio/091.wav,,l1_f_sp_na_091,,,,,,,../image/backpack.png,../image/bracelet.png,bracelet,,1,bracelet,backpack,backpack,bracelet,r,None,,,,,,,,,0,44,44,30,,,,,,,,,,,,19.930630374999964,['lshift'],[0.04298220899909211],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
134.0,l1,t,es,f0u,../audio/134.wav,,l1_t_es_f0u_134,,,,,,,../image/basket.png,../image/truck.png,truck,,1,truck,basket,basket,truck,r,None,,,,,,,,,0,45,45,48,,,,,,,,,,,,20.01816562500062,['lshift'],[0.0455214169996907],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
61.0,l1,f,en,na,../audio/061.wav,,l1_f_en_na_061,,,,,,,../image/cat.png,../image/dog.png,dog,,1,dog,cat,cat,dog,r,../image/,,,,,,,,,0,46,46,0,,,,,,,,,,,,20.09591058300066,['lshift'],[0.058716751000247314],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
132.0,l1,t,es,f0u,../audio/132.wav,,l1_t_es_f0u_132,,,,,,,../image/car.png,../image/grandma.png,grandma,,1,grandma,car,car,grandma,r,None,,,,,,,,,0,47,47,46,,,,,,,,,,,,20.184028625000792,['lshift'],[0.06084350099990843],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
73.0,l1,f,en,na,../audio/073.wav,,l1_f_en_na_073,,,,,,,../image/socks.png,../image/tshirt.png,tshirt,,1,tshirt,socks,socks,tshirt,r,None,,,,,,,,,0,48,48,12,,,,,,,,,,,,20.280708333000803,['lshift'],[0.04900775099849852],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
88.0,l1,f,sp,na,../audio/088.wav,,l1_f_sp_na_088,,,,,,,../image/book.png,../image/cellphone.png,book,,1,book,cellphone,book,cellphone,l,None,,,,,,,,,0,49,49,27,,,,,,,,,,,,20.364413166000304,['lshift'],[0.04267083400009142],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
70.0,l1,f,en,na,../audio/070.wav,,l1_f_en_na_070,,,,,,,../image/computer.png,../image/bed.png,computer,,1,computer,bed,computer,bed,l,None,,,,,,,,,0,50,50,9,,,,,,,,,,,,20.44918645799953,['lshift'],[0.03648600099950272],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
71.0,l1,f,en,na,../audio/071.wav,,l1_f_en_na_071,,,,,,,../image/wallet.png,../image/plane.png,plane,,1,plane,wallet,wallet,plane,r,None,,,,,,,,,0,51,51,10,,,,,,,,,,,,20.516489916000864,['lshift'],[0.05927062499904423],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
11.0,l1,t,es,na,../audio/011.wav,,l1_t_es_na_011,,,,,,,../image/armchair.png,../image/bed.png,armchair,,1,armchair,bed,armchair,bed,l,None,,,,,,,,,0,52,52,35,,,,,,,,,,,,20.61855312499938,['lshift'],[0.03088716700040095],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
78.0,l1,f,se,na,../audio/078.wav,,l1_f_se_na_078,,,,,,,../image/airpods.png,../image/joycons.png,airpods,,1,airpods,joycons,airpods,joycons,l,None,,,,,,,,,0,53,53,17,,,,,,,,,,,,20.675632582999242,['lshift'],[0.05801625099957164],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
89.0,l1,f,sp,na,../audio/089.wav,,l1_f_sp_na_089,,,,,,,../image/bed.png,../image/wallet.png,wallet,,1,wallet,bed,bed,wallet,r,None,,,,,,,,,0,54,54,28,,,,,,,,,,,,20.766556832999413,['lshift'],[0.03712004299995897],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
tr1,lt,tr,en,na,../practice_trial/audio/tr1.wav,Where are your kids?,lt_tr_en_na_tr1,-,-,-,-,-,-,../image/america.png,../image/spain.png,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,65.84452099999908,"['lshift', 'lshift']","[-44.95362937400023, -44.86541562400089]",,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
tr2,lt,tr,en,na,../practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,../image/america.png,../image/spain.png,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,65.86564054100018,['lshift'],[2.9825871670018387],66.85244466666724,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
tr3,lt,tr,sp,na,../practice_trial/audio/tr3.wav,¿Dónde está mi perro?,lt_tr_sp_na_tr3,-,-,-,-,-,-,../image/america.png,../image/spain.png,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,68.88979566600028,['rshift'],[2.6899290429992107],69.85867641666688,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
tr4,lt,tr,sp,na,../practice_trial/audio/tr4.wav,¿De quién es la bolsa?,lt_tr_sp_na_tr4,-,-,-,-,-,-,../image/america.png,../image/spain.png,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,71.62379920800049,['rshift'],[1.9065528749997611],72.58594124966682,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
tr5,lt,tr,se,na,../practice_trial/audio/tr5.wav,¿Dónde encontraste sus donuts?,lt_tr_se_na_tr5,-,-,-,-,-,-,../image/america.png,../image/spain.png,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,73.57351737499994,['lshift'],[1.7027304589992127],74.54159958266634,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
tr6,lt,tr,se,na,../practice_trial/audio/tr6.wav,¿Cuándo compraste tu sweater?,lt_tr_se_na_tr6,-,-,-,-,-,-,../image/america.png,../image/spain.png,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,75.31294995799908,['rshift'],[1.9207080840005801],76.28575224966723,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
tr7,lt,tr,es,na,../practice_trial/audio/tr7.wav,Why do you have my camisa?,lt_tr_es_na_tr7,-,-,-,-,-,-,../image/america.png,../image/spain.png,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,77.26922545799971,['lshift'],[2.1602893750005023],78.23590179166628,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
