num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp1_trial_key.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp2_trial_key.started,exp2_trial_sound.started,exp2_trial_key.keys,exp2_trial_key.rt,participant,session,date,expName,psychopyVersion,frameRate,
78.0,l1,f,se,na,../audio/078.wav,,l1_f_se_na_078,,,,,,,../image/airpods.png,../image/joycons.png,airpods,lshift,1,airpods,joycons,airpods,joycons,None,,,,,,,,,0,5,5,17,,,,,,,,,,,,18.06413570800214,lshift,1,0.30230712499906076,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
139.0,l1,t,es,f0u,../audio/139.wav,,l1_t_es_f0u_139,,,,,,,../image/restaurant.png,../image/hotel.png,restaurant,rshift,1,restaurant,hotel,restaurant,hotel,None,,,,,,,,,0,6,6,53,,,,,,,,,,,,18.421380208004848,lshift,0,0.26896908300113864,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
131.0,l1,t,es,f0u,../audio/131.wav,,l1_t_es_f0u_131,,,,,,,../image/cat.png,../image/flower.png,cat,rshift,1,cat,flower,cat,flower,None,,,,,,,,,0,7,7,45,,,,,,,,,,,,18.736083750001853,lshift,0,0.25277729200024623,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
66.0,l1,f,en,na,../audio/066.wav,,l1_f_en_na_066,,,,,,,../image/bag.png,../image/scarf.png,bag,lshift,1,bag,scarf,bag,scarf,None,,,,,,,,,0,8,8,5,,,,,,,,,,,,19.036417499999516,lshift,1,0.2838625410076929,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
70.0,l1,f,en,na,../audio/070.wav,,l1_f_en_na_070,,,,,,,../image/computer.png,../image/bed.png,computer,lshift,1,computer,bed,computer,bed,None,,,,,,,,,0,9,9,9,,,,,,,,,,,,19.371296375000384,lshift,1,0.24783979200583417,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
92.0,l1,f,sp,na,../audio/092.wav,,l1_f_sp_na_092,,,,,,,../image/armchair.png,../image/dog.png,armchair,rshift,1,armchair,dog,armchair,dog,None,,,,,,,,,0,10,10,31,,,,,,,,,,,,19.675204457998916,lshift,0,0.23481587499554735,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
135.0,l1,t,es,f0u,../audio/135.wav,,l1_t_es_f0u_135,,,,,,,../image/flipflops.png,../image/flower.png,flipflops,rshift,1,flipflops,flower,flipflops,flower,None,,,,,,,,,0,11,11,49,,,,,,,,,,,,19.958438291003404,lshift,0,0.25518962500063935,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
67.0,l1,f,en,na,../audio/067.wav,,l1_f_en_na_067,,,,,,,../image/beer.png,../image/glasses.png,glasses,rshift,1,glasses,beer,beer,glasses,None,,,,,,,,,0,12,12,6,,,,,,,,,,,,20.253411375000724,lshift,0,0.26968179100367706,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
71.0,l1,f,en,na,../audio/071.wav,,l1_f_en_na_071,,,,,,,../image/wallet.png,../image/plane.png,plane,rshift,1,plane,wallet,wallet,plane,None,,,,,,,,,0,13,13,10,,,,,,,,,,,,20.567928791002487,lshift,0,0.2806079590009176,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
17.0,l1,t,es,na,../audio/017.wav,,l1_t_es_na_017,,,,,,,../image/jug.png,../image/cat.png,jug,rshift,1,jug,cat,jug,cat,None,,,,,,,,,0,14,14,41,,,,,,,,,,,,20.891759250000177,lshift,0,0.2797702079988085,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
