num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp1_trial_key.started,exp1_trial_sound.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp2_trial_key.started,exp2_trial_sound.started,exp2_trial_key.keys,exp2_trial_key.rt,participant,session,date,expName,psychopyVersion,frameRate,
70.0,l1,f,en,na,../audio/070.wav,,l1_f_en_na_070,,,,,,,../image/computer.png,../image/bed.png,computer,lshift,1,computer,bed,computer,bed,None,,,,,,,,,0,23,23,9,,,,,,,,,,,,,22.100049208995188,rshift,0,0.156533916007902,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
95.0,l1,f,sp,na,../audio/095.wav,,l1_f_sp_na_095,,,,,,,../image/socks.png,../image/key.png,key,lshift,1,key,socks,socks,key,None,,,,,,,,,0,24,24,34,,,,,,,,,,,,,22.298446499997226,lshift,1,0.116487749008229,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
93.0,l1,f,sp,na,../audio/093.wav,,l1_f_sp_na_093,,,,,,,../image/boy.png,../image/book.png,book,lshift,1,book,boy,boy,book,None,,,,,,,,,0,25,25,32,,,,,,,,,,,,,22.456011458998546,rshift,0,0.1255416240019258,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
84.0,l1,f,se,na,../audio/084.wav,,l1_f_se_na_084,,,,,,,../image/penthouse.png,../image/rocket.png,penthouse,lshift,1,penthouse,rocket,penthouse,rocket,None,,,,,,,,,0,26,26,23,,,,,,,,,,,,,22.622466833992803,lshift,1,0.12511575000098674,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
17.0,l1,t,es,na,../audio/017.wav,,l1_t_es_na_017,,,,,,,../image/jug.png,../image/cat.png,jug,rshift,1,jug,cat,jug,cat,None,,,,,,,,,0,27,27,41,,,,,,,,,,,,,22.785707291994186,rshift,1,0.1276782910063048,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
66.0,l1,f,en,na,../audio/066.wav,,l1_f_en_na_066,,,,,,,../image/bag.png,../image/scarf.png,bag,lshift,1,bag,scarf,bag,scarf,None,,,,,,,,,0,28,28,5,,,,,,,,,,,,,22.953911791999417,lshift,1,0.1370612910031923,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
71.0,l1,f,en,na,../audio/071.wav,,l1_f_en_na_071,,,,,,,../image/wallet.png,../image/plane.png,plane,rshift,1,plane,wallet,wallet,plane,None,,,,,,,,,0,29,29,10,,,,,,,,,,,,,23.134178833999613,rshift,1,0.1400255830012611,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
140.0,l1,t,es,f0u,../audio/140.wav,,l1_t_es_f0u_140,,,,,,,../image/ring.png,../image/bracelet.png,bracelet,rshift,1,bracelet,ring,ring,bracelet,None,,,,,,,,,0,30,30,54,,,,,,,,,,,,,23.315256583999144,lshift,0,0.09130579100019531,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
62.0,l1,f,en,na,../audio/062.wav,,l1_f_en_na_062,,,,,,,../image/shoe.png,../image/ring.png,shoe,lshift,1,shoe,ring,shoe,ring,None,,,,,,,,,0,31,31,1,,,,,,,,,,,,,23.44736070899671,rshift,0,0.14415687400469324,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
136.0,l1,t,es,f0u,../audio/136.wav,,l1_t_es_f0u_136,,,,,,,../image/city.png,../image/village.png,village,lshift,1,village,city,city,village,None,,,,,,,,,0,32,32,50,,,,,,,,,,,,,23.636764208997192,lshift,1,0.11907070699817268,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
76.0,l1,f,se,na,../audio/076.wav,,l1_f_se_na_076,,,,,,,../image/hotdog.png,../image/burger.png,hotdog,lshift,1,hotdog,burger,hotdog,burger,None,,,,,,,,,0,33,33,15,,,,,,,,,,,,,23.80512974999874,rshift,0,0.11034966599981999,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
82.0,l1,f,se,na,../audio/082.wav,,l1_f_se_na_082,,,,,,,../image/mickeymouse.png,../image/spongebob.png,mickeymouse,lshift,1,mickeymouse,spongebob,mickeymouse,spongebob,None,,,,,,,,,0,34,34,21,,,,,,,,,,,,,23.951852124999277,lshift,1,0.11809304100461304,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
77.0,l1,f,se,na,../audio/077.wav,,l1_f_se_na_077,,,,,,,../image/mashedpotatoes.png,../image/donut.png,donut,rshift,1,donut,mashedpotatoes,mashedpotatoes,donut,None,,,,,,,,,0,35,35,16,,,,,,,,,,,,,24.119352666995837,rshift,1,0.12838429100520443,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
15.0,l1,t,es,na,../audio/015.wav,,l1_t_es_na_015,,,,,,,../image/glasses.png,../image/jacket.png,glasses,rshift,1,glasses,jacket,glasses,jacket,None,,,,,,,,,0,36,36,39,,,,,,,,,,,,,24.28682520899747,lshift,0,0.13295820799976354,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
19.0,l1,t,es,na,../audio/019.wav,,l1_t_es_na_019,,,,,,,../image/boy.png,../image/dog.png,boy,rshift,1,boy,dog,boy,dog,None,,,,,,,,,0,37,37,43,,,,,,,,,,,,,24.469279041994014,rshift,1,0.1269678750031744,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
87.0,l1,f,sp,na,../audio/087.wav,,l1_f_sp_na_087,,,,,,,../image/desk.png,../image/bed.png,bed,rshift,1,bed,desk,desk,bed,None,,,,,,,,,0,38,38,26,,,,,,,,,,,,,24.636524708999787,lshift,0,0.112304000002041,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
139.0,l1,t,es,f0u,../audio/139.wav,,l1_t_es_f0u_139,,,,,,,../image/restaurant.png,../image/hotel.png,restaurant,rshift,1,restaurant,hotel,restaurant,hotel,None,,,,,,,,,0,39,39,53,,,,,,,,,,,,,24.790884958994866,rshift,1,0.13089683200087165,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
14.0,l1,t,es,na,../audio/014.wav,,l1_t_es_na_014,,,,,,,../image/book.png,../image/key.png,key,lshift,1,key,book,book,key,None,,,,,,,,,0,40,40,38,,,,,,,,,,,,,24.96139708399278,lshift,1,0.14111454100930132,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
91.0,l1,f,sp,na,../audio/091.wav,,l1_f_sp_na_091,,,,,,,../image/backpack.png,../image/bracelet.png,bracelet,lshift,1,bracelet,backpack,backpack,bracelet,None,,,,,,,,,0,41,41,30,,,,,,,,,,,,,25.153850624999905,rshift,0,0.12651354100671597,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
78.0,l1,f,se,na,../audio/078.wav,,l1_f_se_na_078,,,,,,,../image/airpods.png,../image/joycons.png,airpods,lshift,1,airpods,joycons,airpods,joycons,None,,,,,,,,,0,42,42,17,,,,,,,,,,,,,25.318078291995334,lshift,1,0.12944258299830835,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
94.0,l1,f,sp,na,../audio/094.wav,,l1_f_sp_na_094,,,,,,,../image/beer.png,../image/horchata.png,beer,rshift,1,beer,horchata,beer,horchata,None,,,,,,,,,0,43,43,33,,,,,,,,,,,,,25.488792291995196,rshift,1,0.12060216601093998,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
65.0,l1,f,en,na,../audio/065.wav,,l1_f_en_na_065,,,,,,,../image/computer.png,../image/book.png,book,rshift,1,book,computer,computer,book,None,,,,,,,,,0,44,44,4,,,,,,,,,,,,,25.649946499994257,lshift,0,0.11754116600059206,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
135.0,l1,t,es,f0u,../audio/135.wav,,l1_t_es_f0u_135,,,,,,,../image/flipflops.png,../image/flower.png,flipflops,rshift,1,flipflops,flower,flipflops,flower,None,,,,,,,,,0,45,45,49,,,,,,,,,,,,,25.807341791994986,rshift,1,0.1124587079975754,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
61.0,l1,f,en,na,../audio/061.wav,,l1_f_en_na_061,,,,,,,../image/cat.png,../image/dog.png,dog,rshift,1,dog,cat,cat,dog,../image/,,,,,,,,,0,46,46,0,,,,,,,,,,,,,25.964901583996834,lshift,0,0.14174041600927012,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
134.0,l1,t,es,f0u,../audio/134.wav,,l1_t_es_f0u_134,,,,,,,../image/basket.png,../image/truck.png,truck,lshift,1,truck,basket,basket,truck,None,,,,,,,,,0,47,47,48,,,,,,,,,,,,,26.1578862499955,rshift,0,0.13626174900127808,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
73.0,l1,f,en,na,../audio/073.wav,,l1_f_en_na_073,,,,,,,../image/socks.png,../image/tshirt.png,tshirt,rshift,1,tshirt,socks,socks,tshirt,None,,,,,,,,,0,48,48,12,,,,,,,,,,,,,26.334209958993597,lshift,0,0.13155633200221928,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
133.0,l1,t,es,f0u,../audio/133.wav,,l1_t_es_f0u_133,,,,,,,../image/cellphone.png,../image/book.png,cellphone,rshift,1,cellphone,book,cellphone,book,None,,,,,,,,,0,49,49,47,,,,,,,,,,,,,26.50559912499739,rshift,1,0.13396962400292978,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
85.0,l1,f,se,na,../audio/085.wav,,l1_f_se_na_085,,,,,,,../image/loafers.png,../image/sneakers.png,sneakers,rshift,1,sneakers,loafers,loafers,sneakers,None,,,,,,,,,0,50,50,24,,,,,,,,,,,,,26.68775995899341,lshift,0,0.11993879100191407,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
16.0,l1,t,es,na,../audio/016.wav,,l1_t_es_na_016,,,,,,,../image/flipflops.png,../image/bag.png,bag,lshift,1,bag,flipflops,flipflops,bag,None,,,,,,,,,0,51,51,40,,,,,,,,,,,,,26.849039041997457,rshift,0,0.10002970800269395,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
83.0,l1,f,se,na,../audio/083.wav,,l1_f_se_na_083,,,,,,,../image/donut.png,../image/burger.png,burger,rshift,1,burger,donut,donut,burger,None,,,,,,,,,0,52,52,22,,,,,,,,,,,,,26.988386166995042,lshift,0,0.1243570410006214,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
20.0,l1,t,es,na,../audio/020.wav,,l1_t_es_na_020,,,,,,,../image/cellphone.png,../image/backpack.png,backpack,lshift,1,backpack,cellphone,cellphone,backpack,None,,,,,,,,,0,53,53,44,,,,,,,,,,,,,27.142561083994224,rshift,0,0.133833665997372,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
69.0,l1,f,en,na,../audio/069.wav,,l1_f_en_na_069,,,,,,,../image/bag.png,../image/shirt.png,shirt,rshift,1,shirt,bag,bag,shirt,None,,,,,,,,,0,54,54,8,,,,,,,,,,,,,27.302696291997563,lshift,0,0.15076520700677065,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
tr1,lt,tr,en,na,../practice_trial/audio/tr1.wav,Where are your kids?,lt_tr_en_na_tr1,-,-,-,-,-,-,../image/america.png,../image/spain.png,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,29.83676966699568,30.786474541662997,"['rshift', 'rshift']","[-2.2054353339990485, 2.0878951240010792]",358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
tr2,lt,tr,en,na,../practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,../image/america.png,../image/spain.png,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,34.83250241699716,35.79646320866256,"['rshift', 'rshift']","[1.6947891240051831, 2.516913707004278]",358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.82793504199799,40.7966423336659,,,,,,,,,
