num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct,exp_num,image,image_alt,left_img,right_img,correct_key,image_dir,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp1_trial_key.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.rt,exp2_trial_key.started,exp2_trial_sound.started,exp2_trial_key.keys,exp2_trial_key.rt,participant,session,date,expName,psychopyVersion,frameRate,
80.0,l1,f,se,na,../audio/080.wav,,l1_f_se_na_080,,,,,,,../image/mouse.png,../image/rat.png,mouse,,1,mouse,rat,mouse,rat,l,None,,,,,,,,,0,15,15,19,,,,,,,,,,,,23.432846583000355,['lshift'],[0.1406234169990057],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
13.0,l1,t,es,na,../audio/013.wav,,l1_t_es_na_013,,,,,,,../image/beer.png,../image/wine.png,beer,,1,beer,wine,beer,wine,l,None,,,,,,,,,0,16,16,37,,,,,,,,,,,,23.614891667000848,['lshift'],[0.16066516699902422],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
83.0,l1,f,se,na,../audio/083.wav,,l1_f_se_na_083,,,,,,,../image/donut.png,../image/burger.png,burger,,1,burger,donut,donut,burger,r,None,,,,,,,,,0,17,17,22,,,,,,,,,,,,23.823920833001466,['lshift'],[0.1534434589993907],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
61.0,l1,f,en,na,../audio/061.wav,,l1_f_en_na_061,,,,,,,../image/cat.png,../image/dog.png,dog,,1,dog,cat,cat,dog,r,../image/,,,,,,,,,0,18,18,0,,,,,,,,,,,,24.029446624999764,['lshift'],[0.15029695899829676],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
86.0,l1,f,sp,na,../audio/086.wav,,l1_f_sp_na_086,,,,,,,../image/plates.png,../image/glasses.png,plates,,1,plates,glasses,plates,glasses,l,None,,,,,,,,,0,19,19,25,,,,,,,,,,,,24.224969375,['lshift'],[0.13991970899769512],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
132.0,l1,t,es,f0u,../audio/132.wav,,l1_t_es_f0u_132,,,,,,,../image/car.png,../image/grandma.png,grandma,,1,grandma,car,car,grandma,r,None,,,,,,,,,0,20,20,46,,,,,,,,,,,,24.41251787500005,['lshift'],[0.13272029199833923],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
68.0,l1,f,en,na,../audio/068.wav,,l1_f_en_na_068,,,,,,,../image/socks.png,../image/book.png,socks,,1,socks,book,socks,book,l,None,,,,,,,,,0,21,21,7,,,,,,,,,,,,24.591623792000973,['lshift'],[0.1480362080001214],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
72.0,l1,f,en,na,../audio/072.wav,,l1_f_en_na_072,,,,,,,../image/dog.png,../image/fish.png,dog,,1,dog,fish,dog,fish,l,None,,,,,,,,,0,22,22,11,,,,,,,,,,,,24.782677541999874,['lshift'],[0.17645745899972098],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
134.0,l1,t,es,f0u,../audio/134.wav,,l1_t_es_f0u_134,,,,,,,../image/basket.png,../image/truck.png,truck,,1,truck,basket,basket,truck,r,None,,,,,,,,,0,23,23,48,,,,,,,,,,,,25.005920958001298,['lshift'],[0.17311679199883656],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
62.0,l1,f,en,na,../audio/062.wav,,l1_f_en_na_062,,,,,,,../image/shoe.png,../image/ring.png,shoe,,1,shoe,ring,shoe,ring,l,None,,,,,,,,,0,24,24,1,,,,,,,,,,,,25.22974087500006,['lshift'],[0.13817645899871422],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
138.0,l1,t,es,f0u,../audio/138.wav,,l1_t_es_f0u_138,,,,,,,../image/pants.png,../image/shirt.png,shirt,,1,shirt,pants,pants,shirt,r,None,,,,,,,,,0,25,25,52,,,,,,,,,,,,25.4093149170003,['lshift'],[0.1619870419981453],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
131.0,l1,t,es,f0u,../audio/131.wav,,l1_t_es_f0u_131,,,,,,,../image/cat.png,../image/flower.png,cat,,1,cat,flower,cat,flower,l,None,,,,,,,,,0,26,26,45,,,,,,,,,,,,25.612208292001014,['lshift'],[0.1769761669984291],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
81.0,l1,f,se,na,../audio/081.wav,,l1_f_se_na_081,,,,,,,../image/boxers.png,../image/sweatpants.png,sweatpants,,1,sweatpants,boxers,boxers,sweatpants,r,None,,,,,,,,,0,27,27,20,,,,,,,,,,,,25.83723050000117,['lshift'],[0.16847170899927733],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
65.0,l1,f,en,na,../audio/065.wav,,l1_f_en_na_065,,,,,,,../image/computer.png,../image/book.png,book,,1,book,computer,computer,book,r,None,,,,,,,,,0,28,28,4,,,,,,,,,,,,26.047255167000912,['lshift'],[0.13342187499802094],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
71.0,l1,f,en,na,../audio/071.wav,,l1_f_en_na_071,,,,,,,../image/wallet.png,../image/plane.png,plane,,1,plane,wallet,wallet,plane,r,None,,,,,,,,,0,29,29,10,,,,,,,,,,,,26.228825207999762,['lshift'],[0.12155683299715747],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
78.0,l1,f,se,na,../audio/078.wav,,l1_f_se_na_078,,,,,,,../image/airpods.png,../image/joycons.png,airpods,,1,airpods,joycons,airpods,joycons,l,None,,,,,,,,,0,30,30,17,,,,,,,,,,,,26.38927387500007,['lshift'],[0.16218045899950084],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
93.0,l1,f,sp,na,../audio/093.wav,,l1_f_sp_na_093,,,,,,,../image/boy.png,../image/book.png,book,,1,book,boy,boy,book,r,None,,,,,,,,,0,31,31,32,,,,,,,,,,,,26.596141875001194,['lshift'],[0.1440852919986355],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
136.0,l1,t,es,f0u,../audio/136.wav,,l1_t_es_f0u_136,,,,,,,../image/city.png,../image/village.png,village,,1,village,city,city,village,r,None,,,,,,,,,0,32,32,50,,,,,,,,,,,,26.784320624999964,['lshift'],[0.16056491699782782],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
73.0,l1,f,en,na,../audio/073.wav,,l1_f_en_na_073,,,,,,,../image/socks.png,../image/tshirt.png,tshirt,,1,tshirt,socks,socks,tshirt,r,None,,,,,,,,,0,33,33,12,,,,,,,,,,,,26.99316162500145,['lshift'],[0.13908474999880127],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
