num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp1_trial_key.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp2_trial_key.started,exp2_trial_sound.started,exp2_trial_key.stopped,participant,session,date,expName,psychopyVersion,frameRate,
138.0,l1,t,es,f0u,../audio/138.wav,,l1_t_es_f0u_138,,,,,,,../image/pants.png,../image/shirt.png,shirt,lshift,1,shirt,pants,pants,shirt,None,,,,,,,,,0,22,22,52,,,,,,,,,,,,23.732975790997443,rshift,0,0.25347316700208467,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
65.0,l1,f,en,na,../audio/065.wav,,l1_f_en_na_065,,,,,,,../image/computer.png,../image/book.png,book,rshift,1,book,computer,computer,book,None,,,,,,,,,0,23,23,4,,,,,,,,,,,,24.02700124999683,lshift,0,0.2171617510030046,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
79.0,l1,f,se,na,../audio/079.wav,,l1_f_se_na_079,,,,,,,../image/sweatpants.png,../image/jeans.png,jeans,rshift,1,jeans,sweatpants,sweatpants,jeans,None,,,,,,,,,0,24,24,18,,,,,,,,,,,,24.29142466600024,rshift,1,0.2057776260044193,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
66.0,l1,f,en,na,../audio/066.wav,,l1_f_en_na_066,,,,,,,../image/bag.png,../image/scarf.png,bag,lshift,1,bag,scarf,bag,scarf,None,,,,,,,,,0,25,25,5,,,,,,,,,,,,24.542656124998757,lshift,1,0.2188390840019565,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
139.0,l1,t,es,f0u,../audio/139.wav,,l1_t_es_f0u_139,,,,,,,../image/restaurant.png,../image/hotel.png,restaurant,rshift,1,restaurant,hotel,restaurant,hotel,None,,,,,,,,,0,26,26,53,,,,,,,,,,,,24.81646341599844,rshift,1,0.19386429199948907,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
14.0,l1,t,es,na,../audio/014.wav,,l1_t_es_na_014,,,,,,,../image/book.png,../image/key.png,key,lshift,1,key,book,book,key,None,,,,,,,,,0,27,27,38,,,,,,,,,,,,25.057855250001012,lshift,1,0.22371816700615454,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
72.0,l1,f,en,na,../audio/072.wav,,l1_f_en_na_072,,,,,,,../image/dog.png,../image/fish.png,dog,lshift,1,dog,fish,dog,fish,None,,,,,,,,,0,28,28,11,,,,,,,,,,,,25.325624040997354,rshift,0,0.22298595800384646,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
78.0,l1,f,se,na,../audio/078.wav,,l1_f_se_na_078,,,,,,,../image/airpods.png,../image/joycons.png,airpods,lshift,1,airpods,joycons,airpods,joycons,None,,,,,,,,,0,29,29,17,,,,,,,,,,,,25.58756112500123,lshift,1,0.22660025100776693,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
19.0,l1,t,es,na,../audio/019.wav,,l1_t_es_na_019,,,,,,,../image/boy.png,../image/dog.png,boy,rshift,1,boy,dog,boy,dog,None,,,,,,,,,0,30,30,43,,,,,,,,,,,,25.8632571249982,rshift,1,0.21765841700835153,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
92.0,l1,f,sp,na,../audio/092.wav,,l1_f_sp_na_092,,,,,,,../image/armchair.png,../image/dog.png,armchair,rshift,1,armchair,dog,armchair,dog,None,,,,,,,,,0,31,31,31,,,,,,,,,,,,26.127512207996915,lshift,0,0.24237870900833514,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
75.0,l1,f,en,na,../audio/075.wav,,l1_f_en_na_075,,,,,,,../image/dog.png,../image/fish.png,fish,rshift,1,fish,dog,dog,fish,None,,,,,,,,,0,32,32,14,,,,,,,,,,,,26.414588583000295,rshift,1,0.22453687500819797,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
132.0,l1,t,es,f0u,../audio/132.wav,,l1_t_es_f0u_132,,,,,,,../image/car.png,../image/grandma.png,grandma,lshift,1,grandma,car,car,grandma,None,,,,,,,,,0,33,33,46,,,,,,,,,,,,26.684436666000693,lshift,1,0.1726372090051882,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
140.0,l1,t,es,f0u,../audio/140.wav,,l1_t_es_f0u_140,,,,,,,../image/ring.png,../image/bracelet.png,bracelet,rshift,1,bracelet,ring,ring,bracelet,None,,,,,,,,,0,34,34,54,,,,,,,,,,,,26.89762745799817,rshift,1,0.2076013760015485,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
15.0,l1,t,es,na,../audio/015.wav,,l1_t_es_na_015,,,,,,,../image/glasses.png,../image/jacket.png,glasses,rshift,1,glasses,jacket,glasses,jacket,None,,,,,,,,,0,35,35,39,,,,,,,,,,,,27.147700875000737,lshift,0,0.22547495899925707,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
131.0,l1,t,es,f0u,../audio/131.wav,,l1_t_es_f0u_131,,,,,,,../image/cat.png,../image/flower.png,cat,rshift,1,cat,flower,cat,flower,None,,,,,,,,,0,36,36,45,,,,,,,,,,,,27.4184750409986,rshift,1,0.24287862500204938,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
71.0,l1,f,en,na,../audio/071.wav,,l1_f_en_na_071,,,,,,,../image/wallet.png,../image/plane.png,plane,rshift,1,plane,wallet,wallet,plane,None,,,,,,,,,0,37,37,10,,,,,,,,,,,,27.710247625000193,lshift,0,0.22171400100341998,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
62.0,l1,f,en,na,../audio/062.wav,,l1_f_en_na_062,,,,,,,../image/shoe.png,../image/ring.png,shoe,lshift,1,shoe,ring,shoe,ring,None,,,,,,,,,0,38,38,1,,,,,,,,,,,,27.975114916000166,rshift,0,0.22734783300984418,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
11.0,l1,t,es,na,../audio/011.wav,,l1_t_es_na_011,,,,,,,../image/armchair.png,../image/bed.png,armchair,rshift,1,armchair,bed,armchair,bed,None,,,,,,,,,0,39,39,35,,,,,,,,,,,,28.251721041000565,lshift,0,0.22927704200264998,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
84.0,l1,f,se,na,../audio/084.wav,,l1_f_se_na_084,,,,,,,../image/penthouse.png,../image/rocket.png,penthouse,lshift,1,penthouse,rocket,penthouse,rocket,None,,,,,,,,,0,40,40,23,,,,,,,,,,,,28.52849162500206,rshift,0,0.2253715420010849,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
135.0,l1,t,es,f0u,../audio/135.wav,,l1_t_es_f0u_135,,,,,,,../image/flipflops.png,../image/flower.png,flipflops,rshift,1,flipflops,flower,flipflops,flower,None,,,,,,,,,0,41,41,49,,,,,,,,,,,,28.79956241599575,lshift,0,0.24262279200047487,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
76.0,l1,f,se,na,../audio/076.wav,,l1_f_se_na_076,,,,,,,../image/hotdog.png,../image/burger.png,hotdog,lshift,1,hotdog,burger,hotdog,burger,None,,,,,,,,,0,42,42,15,,,,,,,,,,,,29.086326500000723,rshift,0,0.2114831250073621,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
93.0,l1,f,sp,na,../audio/093.wav,,l1_f_sp_na_093,,,,,,,../image/boy.png,../image/book.png,book,lshift,1,book,boy,boy,book,None,,,,,,,,,0,43,43,32,,,,,,,,,,,,29.34248870799638,lshift,1,0.2294674590084469,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
88.0,l1,f,sp,na,../audio/088.wav,,l1_f_sp_na_088,,,,,,,../image/book.png,../image/cellphone.png,book,rshift,1,book,cellphone,book,cellphone,None,,,,,,,,,0,44,44,27,,,,,,,,,,,,29.617103707998467,rshift,1,0.21191816700593336,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
68.0,l1,f,en,na,../audio/068.wav,,l1_f_en_na_068,,,,,,,../image/socks.png,../image/book.png,socks,lshift,1,socks,book,socks,book,None,,,,,,,,,0,45,45,7,,,,,,,,,,,,29.8749888750026,lshift,1,0.23871870900620706,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
133.0,l1,t,es,f0u,../audio/133.wav,,l1_t_es_f0u_133,,,,,,,../image/cellphone.png,../image/book.png,cellphone,rshift,1,cellphone,book,cellphone,book,None,,,,,,,,,0,46,46,47,,,,,,,,,,,,30.157286790999933,rshift,1,0.302553417001036,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
77.0,l1,f,se,na,../audio/077.wav,,l1_f_se_na_077,,,,,,,../image/mashedpotatoes.png,../image/donut.png,donut,rshift,1,donut,mashedpotatoes,mashedpotatoes,donut,None,,,,,,,,,0,47,47,16,,,,,,,,,,,,30.507529499998782,lshift,0,0.2953076670091832,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
18.0,l1,t,es,na,../audio/018.wav,,l1_t_es_na_018,,,,,,,../image/cups.png,../image/napkins.png,napkins,lshift,1,napkins,cups,cups,napkins,None,,,,,,,,,0,48,48,42,,,,,,,,,,,,30.844823624996934,rshift,0,0.2436500010007876,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
83.0,l1,f,se,na,../audio/083.wav,,l1_f_se_na_083,,,,,,,../image/donut.png,../image/burger.png,burger,rshift,1,burger,donut,donut,burger,None,,,,,,,,,0,49,49,22,,,,,,,,,,,,31.13406062500144,lshift,0,0.2188647920047515,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
82.0,l1,f,se,na,../audio/082.wav,,l1_f_se_na_082,,,,,,,../image/mickeymouse.png,../image/spongebob.png,mickeymouse,lshift,1,mickeymouse,spongebob,mickeymouse,spongebob,None,,,,,,,,,0,50,50,21,,,,,,,,,,,,31.393065582997224,rshift,0,0.28107487500528805,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
13.0,l1,t,es,na,../audio/013.wav,,l1_t_es_na_013,,,,,,,../image/beer.png,../image/wine.png,beer,rshift,1,beer,wine,beer,wine,None,,,,,,,,,0,51,51,37,,,,,,,,,,,,31.716550541001197,lshift,0,0.2538622500069323,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
134.0,l1,t,es,f0u,../audio/134.wav,,l1_t_es_f0u_134,,,,,,,../image/basket.png,../image/truck.png,truck,lshift,1,truck,basket,basket,truck,None,,,,,,,,,0,52,52,48,,,,,,,,,,,,32.01903391599626,rshift,0,0.2665792920088279,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
81.0,l1,f,se,na,../audio/081.wav,,l1_f_se_na_081,,,,,,,../image/boxers.png,../image/sweatpants.png,sweatpants,rshift,1,sweatpants,boxers,boxers,sweatpants,None,,,,,,,,,0,53,53,20,,,,,,,,,,,,32.331638208001095,lshift,0,0.22935562600468984,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
87.0,l1,f,sp,na,../audio/087.wav,,l1_f_sp_na_087,,,,,,,../image/desk.png,../image/bed.png,bed,rshift,1,bed,desk,desk,bed,None,,,,,,,,,0,54,54,26,,,,,,,,,,,,32.613204041001154,rshift,1,0.24083075000089593,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.45870375000231,241.3849494166682,245.45559529100137,,,,,,,
