...1,num,list,cond,lang,type,mat_dur,correct_key,exp_num,cs,exp1_key.keys,exp1_key.rt,exp1_key.corr,exp2_key.keys,exp2_key.rt,participant,group,prof
32,72,l1,FALSE,en,na,0.83156,lshift,1,NA,lshift,2.181172666,1,NA,NA,12,exp_g1,8
33,73,l1,FALSE,en,na,0.877576,rshift,1,NA,rshift,2.4068975,1,NA,NA,12,exp_g1,8
34,74,l1,FALSE,en,na,0.396484,lshift,1,NA,lshift,1.890186125,1,NA,NA,12,exp_g1,8
35,75,l1,FALSE,en,na,0.913493,rshift,1,NA,rshift,2.459466583,1,NA,NA,12,exp_g1,8
36,96,l2,FALSE,en,na,-,NA,2,None,NA,NA,NA,['lshift'],[2.2192961660330184],12,exp_g1,8
37,97,l2,FALSE,en,na,-,NA,2,None,NA,NA,NA,['lshift'],[2.489506417012308],12,exp_g1,8
38,98,l2,FALSE,en,na,0.376142,NA,2,None,NA,NA,NA,['lshift'],[2.305972667003516],12,exp_g1,8
39,99,l2,FALSE,en,na,0.462405,NA,2,None,NA,NA,NA,['lshift'],[2.1534679169999436],12,exp_g1,8
40,100,l2,FALSE,en,na,-,NA,2,None,NA,NA,NA,['lshift'],[3.122077666048426],12,exp_g1,8
41,101,l2,FALSE,en,na,0.924484,NA,2,None,NA,NA,NA,['lshift'],[2.761786375020165],12,exp_g1,8
42,102,l2,FALSE,en,na,1.021105,NA,2,None,NA,NA,NA,['lshift'],[2.6921030409866944],12,exp_g1,8
43,103,l2,FALSE,en,na,0.594925,NA,2,None,NA,NA,NA,['lshift'],[2.4132183749461547],12,exp_g1,8
44,104,l2,FALSE,en,na,-,NA,2,None,NA,NA,NA,['lshift'],[2.8692419169819914],12,exp_g1,8
45,105,l2,FALSE,en,na,-,NA,2,None,NA,NA,NA,['lshift'],[2.99107308301609],12,exp_g1,8
46,106,l2,FALSE,en,na,1.203962,NA,2,None,NA,NA,NA,['lshift'],[2.893615291977767],12,exp_g1,8
47,107,l2,FALSE,en,na,0.740095,NA,2,None,NA,NA,NA,['lshift'],[2.3554783330182545],12,exp_g1,8
48,108,l2,FALSE,en,na,0.818995,NA,2,None,NA,NA,NA,['lshift'],[2.574081832950469],12,exp_g1,8
49,109,l2,FALSE,en,na,0.344097,NA,2,None,NA,NA,NA,['lshift'],[2.902211125008762],12,exp_g1,8
50,110,l2,FALSE,en,na,0.973278,NA,2,None,NA,NA,NA,['lshift'],[2.7488971239654347],12,exp_g1,8
51,131,l1,TRUE,es,f0u,0.7884375,lshift,1,NA,lshift,2.078716041,1,NA,NA,12,exp_g1,8
52,132,l1,TRUE,es,f0u,0.92128125,rshift,1,NA,rshift,3.235746624,1,NA,NA,12,exp_g1,8
53,133,l1,TRUE,es,f0u,0.77825,lshift,1,NA,lshift,2.608014874,1,NA,NA,12,exp_g1,8
54,134,l1,TRUE,es,f0u,0.91259375,rshift,1,NA,rshift,3.654803666,1,NA,NA,12,exp_g1,8
55,135,l1,TRUE,es,f0u,0.8595,lshift,1,NA,lshift,2.496516375,1,NA,NA,12,exp_g1,8
56,136,l1,TRUE,es,f0u,0.974875,rshift,1,NA,rshift,2.894369542,1,NA,NA,12,exp_g1,8
57,137,l1,TRUE,es,f0u,0.635125,lshift,1,NA,lshift,2.187015333,1,NA,NA,12,exp_g1,8
58,138,l1,TRUE,es,f0u,0.9708125,rshift,1,NA,rshift,2.5029945,1,NA,NA,12,exp_g1,8
59,139,l1,TRUE,es,f0u,1.1799375,lshift,1,NA,lshift,2.706876999,1,NA,NA,12,exp_g1,8
60,140,l1,TRUE,es,f0u,1.108625,rshift,1,NA,rshift,3.549694833,1,NA,NA,12,exp_g1,8
61,161,l2,TRUE,es,f0c,0.75509375,NA,2,1,NA,NA,NA,['rshift'],[3.18493995803874],12,exp_g1,8
62,162,l2,TRUE,es,f0c,0.73509375,NA,2,1,NA,NA,NA,['rshift'],[2.6667574990424328],12,exp_g1,8
63,163,l2,TRUE,es,f0c,1.55846875,NA,2,1,NA,NA,NA,['rshift'],[3.3183547910302877],12,exp_g1,8
64,164,l2,TRUE,es,f0c,0.69834375,NA,2,1,NA,NA,NA,['rshift'],[2.3318010419607162],12,exp_g1,8
65,165,l2,TRUE,es,f0c,0.825,NA,2,1,NA,NA,NA,['rshift'],[2.5803245419519953],12,exp_g1,8
66,166,l2,TRUE,es,f0c,1.63628125,NA,2,1,NA,NA,NA,['rshift'],[3.304525874031242],12,exp_g1,8
67,167,l2,TRUE,es,f0c,1.025125,NA,2,1,NA,NA,NA,['rshift'],[2.88650525000412],12,exp_g1,8
68,168,l2,TRUE,es,f0c,0.739,NA,2,1,NA,NA,NA,['rshift'],[2.4168157080421224],12,exp_g1,8
69,169,l2,TRUE,es,f0c,1.2804375,NA,2,1,NA,NA,NA,['rshift'],[2.9477837500162423],12,exp_g1,8
70,170,l2,TRUE,es,f0c,0.82653125,NA,2,1,NA,NA,NA,['rshift'],[2.8377124160178937],12,exp_g1,8
1,11,l1,TRUE,es,na,0.944375,lshift,1,NA,lshift,3.631,1,NA,NA,21,exp_g1,50
2,12,l1,TRUE,es,na,0.823703,rshift,1,NA,rshift,2.1439,1,NA,NA,21,exp_g1,50
3,13,l1,TRUE,es,na,1.352093,lshift,1,NA,lshift,2.4242,1,NA,NA,21,exp_g1,50
4,14,l1,TRUE,es,na,0.788685,rshift,1,NA,rshift,2.1454,1,NA,NA,21,exp_g1,50
5,15,l1,TRUE,es,na,0.882114,lshift,1,NA,lshift,2.3008,1,NA,NA,21,exp_g1,50
6,16,l1,TRUE,es,na,1.694902,rshift,1,NA,rshift,2.8799,1,NA,NA,21,exp_g1,50
7,17,l1,TRUE,es,na,1.328805,lshift,1,NA,lshift,2.6615,1,NA,NA,21,exp_g1,50
8,18,l1,TRUE,es,na,0.900375,rshift,1,NA,rshift,2.3636,1,NA,NA,21,exp_g1,50
9,19,l1,TRUE,es,na,1.44153,lshift,1,NA,lshift,2.78,1,NA,NA,21,exp_g1,50
10,20,l1,TRUE,es,na,0.99676,rshift,1,NA,rshift,2.3985,1,NA,NA,21,exp_g1,50
11,21,l2,TRUE,es,na,0.704021,NA,2,1,NA,NA,NA,"[""lshift"",""rshift""]","[1.547200000047667,2.0020000000000095]",21,exp_g1,50
12,22,l2,TRUE,es,na,0.863963,NA,2,1,NA,NA,NA,"[""lshift"",""rshift""]","[1.458100000023876,2.169899999976167]",21,exp_g1,50
13,23,l2,TRUE,es,na,0.806296,NA,2,1,NA,NA,NA,"[""lshift"",""rshift""]","[1.3206999999881077,2.144199999988075]",21,exp_g1,50
14,24,l2,TRUE,es,na,0.817267,NA,2,1,NA,NA,NA,"[""lshift"",""rshift""]","[1.356099999964215,2.206599999964226]",21,exp_g1,50
15,25,l2,TRUE,es,na,0.909694,NA,2,1,NA,NA,NA,"[""lshift"",""rshift""]","[1.289800000011951,2.1524000000357546]",21,exp_g1,50
16,26,l2,TRUE,es,na,0.977641,NA,2,1,NA,NA,NA,"[""lshift"",""rshift""]","[1.4004999999999654,2.250800000011907]",21,exp_g1,50
17,27,l2,TRUE,es,na,0.619246,NA,2,1,NA,NA,NA,"[""lshift"",""rshift""]","[1.3684999999999832,2.000400000035768]",21,exp_g1,50
18,28,l2,TRUE,es,na,0.937816,NA,2,1,NA,NA,NA,"[""lshift"",""rshift""]","[1.3999999999999773,2.284599999964257]",21,exp_g1,50
19,29,l2,TRUE,es,na,1.122001,NA,2,1,NA,NA,NA,"[""lshift"",""rshift""]","[1.2666000000238569,2.452400000035766]",21,exp_g1,50
20,30,l2,TRUE,es,na,1.133667,NA,2,1,NA,NA,NA,"[""lshift"",""rshift""]","[1.333900000035669,2.31870000004767]",21,exp_g1,50
21,61,l1,FALSE,en,na,-,rshift,1,NA,rshift,1.5351,1,NA,NA,21,exp_g1,50
22,62,l1,FALSE,en,na,-,lshift,1,NA,lshift,1.647,1,NA,NA,21,exp_g1,50
23,63,l1,FALSE,en,na,0.351376,rshift,1,NA,rshift,1.7298,1,NA,NA,21,exp_g1,50
24,64,l1,FALSE,en,na,0.428572,lshift,1,NA,lshift,1.6783,1,NA,NA,21,exp_g1,50
25,65,l1,FALSE,en,na,-,rshift,1,NA,rshift,1.7105,1,NA,NA,21,exp_g1,50
26,66,l1,FALSE,en,na,0.780001,lshift,1,NA,lshift,2.0605,1,NA,NA,21,exp_g1,50
27,67,l1,FALSE,en,na,0.950804,rshift,1,NA,rshift,2.1114,1,NA,NA,21,exp_g1,50
28,68,l1,FALSE,en,na,0.600784,lshift,1,NA,lshift,2.1106,1,NA,NA,21,exp_g1,50
29,69,l1,FALSE,en,na,-,rshift,1,NA,rshift,2.0937,1,NA,NA,21,exp_g1,50
30,70,l1,FALSE,en,na,-,lshift,1,NA,lshift,2.0452,1,NA,NA,21,exp_g1,50
31,71,l1,FALSE,en,na,1.261129,rshift,1,NA,rshift,2.6437,1,NA,NA,21,exp_g1,50
32,72,l1,FALSE,en,na,0.83156,lshift,1,NA,lshift,1.9341,1,NA,NA,21,exp_g1,50
33,73,l1,FALSE,en,na,0.877576,rshift,1,NA,rshift,2.0781,1,NA,NA,21,exp_g1,50
34,74,l1,FALSE,en,na,0.396484,lshift,1,NA,lshift,1.7133,1,NA,NA,21,exp_g1,50
35,75,l1,FALSE,en,na,0.913493,rshift,1,NA,rshift,2.1633,1,NA,NA,21,exp_g1,50
36,96,l2,FALSE,en,na,-,NA,2,NA,NA,NA,NA,"[""lshift""]",[1.2355000000000018],21,exp_g1,50
37,97,l2,FALSE,en,na,-,NA,2,NA,NA,NA,NA,"[""lshift""]",[1.4343000000119446],21,exp_g1,50
38,98,l2,FALSE,en,na,0.376142,NA,2,NA,NA,NA,NA,"[""lshift""]",[1.2858000000119318],21,exp_g1,50
39,99,l2,FALSE,en,na,0.462405,NA,2,NA,NA,NA,NA,"[""lshift""]",[1.2498000000118736],21,exp_g1,50
40,100,l2,FALSE,en,na,-,NA,2,NA,NA,NA,NA,"[""lshift""]",[1.289000000000044],21,exp_g1,50
41,101,l2,FALSE,en,na,0.924484,NA,2,NA,NA,NA,NA,"[""lshift""]",[1.3920999999642731],21,exp_g1,50
42,102,l2,FALSE,en,na,1.021105,NA,2,NA,NA,NA,NA,"[""lshift"",""rshift"",""lshift""]","[1.3666999999881,2.1901999999880672,3.0068000000119355]",21,exp_g1,50
43,103,l2,FALSE,en,na,0.594925,NA,2,NA,NA,NA,NA,"[""lshift""]",[1.6335000000000264],21,exp_g1,50
44,104,l2,FALSE,en,na,-,NA,2,NA,NA,NA,NA,"[""lshift"",""lshift""]","[1.1434999999999604,1.8328000000119005]",21,exp_g1,50
45,105,l2,FALSE,en,na,-,NA,2,NA,NA,NA,NA,"[""lshift""]",[1.2999999999999545],21,exp_g1,50
46,106,l2,FALSE,en,na,1.203962,NA,2,NA,NA,NA,NA,"[""lshift""]",[1.3696999999881427],21,exp_g1,50
47,107,l2,FALSE,en,na,0.740095,NA,2,NA,NA,NA,NA,"[""lshift""]",[1.218999999999994],21,exp_g1,50
48,108,l2,FALSE,en,na,0.818995,NA,2,NA,NA,NA,NA,"[""lshift""]",[1.3015000000000327],21,exp_g1,50
49,109,l2,FALSE,en,na,0.344097,NA,2,NA,NA,NA,NA,"[""lshift""]",[1.1911000000238232],21,exp_g1,50
50,110,l2,FALSE,en,na,0.973278,NA,2,NA,NA,NA,NA,"[""lshift""]",[1.5448000000119464],21,exp_g1,50
51,131,l1,TRUE,es,f0u,0.7884375,lshift,1,NA,lshift,1.9173,1,NA,NA,21,exp_g1,50
52,132,l1,TRUE,es,f0u,0.92128125,rshift,1,NA,rshift,2.2807,1,NA,NA,21,exp_g1,50
53,133,l1,TRUE,es,f0u,0.77825,lshift,1,NA,lshift,2.2766,1,NA,NA,21,exp_g1,50
54,134,l1,TRUE,es,f0u,0.91259375,rshift,1,NA,rshift,2.3233,1,NA,NA,21,exp_g1,50
55,135,l1,TRUE,es,f0u,0.8595,lshift,1,NA,lshift,2.1342,1,NA,NA,21,exp_g1,50
56,136,l1,TRUE,es,f0u,0.974875,rshift,1,NA,rshift,2.3907,1,NA,NA,21,exp_g1,50
57,137,l1,TRUE,es,f0u,0.635125,lshift,1,NA,lshift,2.1981,1,NA,NA,21,exp_g1,50
58,138,l1,TRUE,es,f0u,0.9708125,rshift,1,NA,rshift,2.3004,1,NA,NA,21,exp_g1,50
59,139,l1,TRUE,es,f0u,1.1799375,lshift,1,NA,lshift,2.6248,1,NA,NA,21,exp_g1,50
60,140,l1,TRUE,es,f0u,1.108625,rshift,1,NA,rshift,2.4481,1,NA,NA,21,exp_g1,50
61,161,l2,TRUE,es,f0c,0.75509375,NA,2,1,NA,NA,NA,"[""lshift"",""rshift""]","[1.4207999999523508,2.045399999976098]",21,exp_g1,50
62,162,l2,TRUE,es,f0c,0.73509375,NA,2,1,NA,NA,NA,"[""lshift"",""rshift""]","[1.475500000000011,2.10269999998809]",21,exp_g1,50
63,163,l2,TRUE,es,f0c,1.55846875,NA,2,1,NA,NA,NA,"[""lshift"",""rshift""]","[1.485099999964234,3.0324999999999704]",21,exp_g1,50
64,164,l2,TRUE,es,f0c,0.69834375,NA,2,1,NA,NA,NA,"[""lshift"",""rshift""]","[1.5539000000356964,2.0692000000476582]",21,exp_g1,50
65,165,l2,TRUE,es,f0c,0.825,NA,2,1,NA,NA,NA,"[""lshift"",""rshift""]","[1.3373000000119077,2.1348999999761418]",21,exp_g1,50
66,166,l2,TRUE,es,f0c,1.63628125,NA,2,1,NA,NA,NA,"[""lshift"",""rshift""]","[1.2836000000238528,2.9517000000477083]",21,exp_g1,50
67,167,l2,TRUE,es,f0c,1.025125,NA,2,1,NA,NA,NA,"[""lshift"",""rshift""]","[1.422599999964234,2.2998999999761622]",21,exp_g1,50
