...1,num,list,cond,lang,type,mat_dur,exp1_key.keys,exp1_key.rt,exp1_key.corr,cor_rate,participant,group,prof,rt
5,15,l1,TRUE,es,na,0.882114,lshift,2.3008,1,1,21,exp_g1,50,1.418686
6,16,l1,TRUE,es,na,1.694902,rshift,2.8799,1,1,21,exp_g1,50,1.184998
7,17,l1,TRUE,es,na,1.328805,lshift,2.6615,1,1,21,exp_g1,50,1.332695
8,18,l1,TRUE,es,na,0.900375,rshift,2.3636,1,1,21,exp_g1,50,1.463225
9,19,l1,TRUE,es,na,1.44153,lshift,2.78,1,1,21,exp_g1,50,1.33847
10,20,l1,TRUE,es,na,0.99676,rshift,2.3985,1,1,21,exp_g1,50,1.40174
11,63,l1,FALSE,en,na,0.351376,rshift,1.7298,1,1,21,exp_g1,50,1.378424
12,64,l1,FALSE,en,na,0.428572,lshift,1.6783,1,1,21,exp_g1,50,1.249728
13,66,l1,FALSE,en,na,0.78000100000000006,lshift,2.0605,1,1,21,exp_g1,50,1.280499
14,67,l1,FALSE,en,na,0.950804,rshift,2.1114,1,1,21,exp_g1,50,1.160596
15,68,l1,FALSE,en,na,0.600784,lshift,2.1106,1,1,21,exp_g1,50,1.509816
16,71,l1,FALSE,en,na,1.261129,rshift,2.6437,1,1,21,exp_g1,50,1.382571
17,72,l1,FALSE,en,na,0.83156,lshift,1.9341,1,1,21,exp_g1,50,1.10254
18,73,l1,FALSE,en,na,0.877576,rshift,2.0781,1,1,21,exp_g1,50,1.200524
19,74,l1,FALSE,en,na,0.396484,lshift,1.7133,1,1,21,exp_g1,50,1.316816
20,75,l1,FALSE,en,na,0.913493,rshift,2.1633,1,1,21,exp_g1,50,1.249807
21,131,l1,TRUE,es,f0u,0.7884375,lshift,1.9173,1,1,21,exp_g1,50,1.1288625
22,132,l1,TRUE,es,f0u,0.92128125,rshift,2.2807,1,1,21,exp_g1,50,1.35941875
23,133,l1,TRUE,es,f0u,0.77825,lshift,2.2766,1,1,21,exp_g1,50,1.49835
24,134,l1,TRUE,es,f0u,0.91259375,rshift,2.3233,1,1,21,exp_g1,50,1.41070625
25,135,l1,TRUE,es,f0u,0.8595,lshift,2.1342,1,1,21,exp_g1,50,1.2747
26,136,l1,TRUE,es,f0u,0.974875,rshift,2.3907,1,1,21,exp_g1,50,1.415825
27,137,l1,TRUE,es,f0u,0.635125,lshift,2.1981,1,1,21,exp_g1,50,1.562975
28,138,l1,TRUE,es,f0u,0.9708125,rshift,2.3004,1,1,21,exp_g1,50,1.3295875
29,139,l1,TRUE,es,f0u,1.1799375,lshift,2.6248,1,1,21,exp_g1,50,1.4448625
30,140,l1,TRUE,es,f0u,1.108625,rshift,2.4481,1,1,21,exp_g1,50,1.339475
1,21,l2,TRUE,es,na,0.704021,lshift,2.5443,1,0.833333333333333,27,exp_g2,14,1.840279
2,22,l2,TRUE,es,na,0.863963,rshift,2.2112,1,0.833333333333333,27,exp_g2,14,1.347237
3,23,l2,TRUE,es,na,0.806296,lshift,2.0187,1,0.833333333333333,27,exp_g2,14,1.212404
4,24,l2,TRUE,es,na,0.817267,rshift,4.5985,1,0.833333333333333,27,exp_g2,14,3.781233
5,26,l2,TRUE,es,na,0.977641,rshift,2.2962,1,0.833333333333333,27,exp_g2,14,1.318559
6,27,l2,TRUE,es,na,0.619246,lshift,2.0457,1,0.833333333333333,27,exp_g2,14,1.4264540000000001
7,30,l2,TRUE,es,na,1.133667,rshift,3.0019,1,0.833333333333333,27,exp_g2,14,1.868233
8,98,l2,FALSE,en,na,0.376142,rshift,1.7692,1,0.833333333333333,27,exp_g2,14,1.393058
9,99,l2,FALSE,en,na,0.462405,lshift,1.6428,1,0.833333333333333,27,exp_g2,14,1.180395
10,101,l2,FALSE,en,na,0.924484,lshift,2.3441,1,0.833333333333333,27,exp_g2,14,1.419616
11,102,l2,FALSE,en,na,1.021105,rshift,2.1842,1,0.833333333333333,27,exp_g2,14,1.163095
12,103,l2,FALSE,en,na,0.594925,lshift,1.9997,1,0.833333333333333,27,exp_g2,14,1.404775
13,106,l2,FALSE,en,na,1.203962,rshift,2.6429,1,0.833333333333333,27,exp_g2,14,1.438938
14,107,l2,FALSE,en,na,0.740095,lshift,2.2616,1,0.833333333333333,27,exp_g2,14,1.521505
15,108,l2,FALSE,en,na,0.818995,rshift,2.1914,1,0.833333333333333,27,exp_g2,14,1.372405
16,109,l2,FALSE,en,na,0.344097,lshift,1.8477,1,0.833333333333333,27,exp_g2,14,1.503603
17,151,l1,TRUE,es,f0c,0.7884375,lshift,2.9195,1,0.833333333333333,27,exp_g2,14,2.1310625
18,152,l1,TRUE,es,f0c,0.92128125,rshift,2.5346,1,0.833333333333333,27,exp_g2,14,1.61331875
19,153,l1,TRUE,es,f0c,0.77825,lshift,4.3531,1,0.833333333333333,27,exp_g2,14,3.57485
20,155,l1,TRUE,es,f0c,0.8595,lshift,2.3927,1,0.833333333333333,27,exp_g2,14,1.5332
21,156,l1,TRUE,es,f0c,0.974875,rshift,4.4179,1,0.833333333333333,27,exp_g2,14,3.443025
22,157,l1,TRUE,es,f0c,0.635125,lshift,2.1959,1,0.833333333333333,27,exp_g2,14,1.560775
23,158,l1,TRUE,es,f0c,0.9708125,rshift,2.3774,1,0.833333333333333,27,exp_g2,14,1.4065875
24,159,l1,TRUE,es,f0c,1.1799375,lshift,2.6661,1,0.833333333333333,27,exp_g2,14,1.4861625
25,160,l1,TRUE,es,f0c,1.108625,rshift,4.0264,1,0.833333333333333,27,exp_g2,14,2.917775
1,21,l2,TRUE,es,na,0.704021,lshift,2.186440792,1,0.766666666666667,28,exp_g2,3,1.482419792
2,22,l2,TRUE,es,na,0.863963,rshift,2.018713292,1,0.766666666666667,28,exp_g2,3,1.154750292
3,23,l2,TRUE,es,na,0.806296,lshift,2.211712333,1,0.766666666666667,28,exp_g2,3,1.405416333
4,26,l2,TRUE,es,na,0.977641,rshift,2.318483959,1,0.766666666666667,28,exp_g2,3,1.340842959
5,27,l2,TRUE,es,na,0.619246,lshift,1.946936,1,0.766666666666667,28,exp_g2,3,1.32769
6,28,l2,TRUE,es,na,0.937816,rshift,1.952877583,1,0.766666666666667,28,exp_g2,3,1.015061583
7,30,l2,TRUE,es,na,1.133667,rshift,2.468942,1,0.766666666666667,28,exp_g2,3,1.335275
8,98,l2,FALSE,en,na,0.376142,rshift,2.034419334,1,0.766666666666667,28,exp_g2,3,1.658277334
9,99,l2,FALSE,en,na,0.462405,lshift,1.494466833,1,0.766666666666667,28,exp_g2,3,1.032061833
10,101,l2,FALSE,en,na,0.924484,lshift,2.078134917,1,0.766666666666667,28,exp_g2,3,1.153650917
11,102,l2,FALSE,en,na,1.021105,rshift,2.035493125,1,0.766666666666667,28,exp_g2,3,1.014388125
12,103,l2,FALSE,en,na,0.594925,lshift,2.071074,1,0.766666666666667,28,exp_g2,3,1.476149
13,106,l2,FALSE,en,na,1.203962,rshift,2.594853625,1,0.766666666666667,28,exp_g2,3,1.390891625
14,107,l2,FALSE,en,na,0.740095,lshift,2.129358792,1,0.766666666666667,28,exp_g2,3,1.389263792
15,108,l2,FALSE,en,na,0.818995,rshift,3.883776,1,0.766666666666667,28,exp_g2,3,3.064781
16,109,l2,FALSE,en,na,0.344097,lshift,1.661457583,1,0.766666666666667,28,exp_g2,3,1.317360583
17,110,l2,FALSE,en,na,0.973278,rshift,2.376817833,1,0.766666666666667,28,exp_g2,3,1.403539833
18,141,l2,TRUE,es,f0u,0.75509375,lshift,2.04369275,1,0.766666666666667,28,exp_g2,3,1.288599
19,144,l2,TRUE,es,f0u,0.69834375,rshift,2.631934125,1,0.766666666666667,28,exp_g2,3,1.933590375
20,145,l2,TRUE,es,f0u,0.825,lshift,2.040983666,1,0.766666666666667,28,exp_g2,3,1.215983666
21,146,l2,TRUE,es,f0u,1.63628125,rshift,3.022894667,1,0.766666666666667,28,exp_g2,3,1.386613417
22,148,l2,TRUE,es,f0u,0.739,rshift,2.977680583,1,0.766666666666667,28,exp_g2,3,2.238680583
23,149,l2,TRUE,es,f0u,1.2804375,lshift,2.71728875,1,0.766666666666667,28,exp_g2,3,1.43685125
1,21,l2,TRUE,es,na,0.704021,lshift,2.0656,1,0.9,29,exp_g2,0,1.361579
2,22,l2,TRUE,es,na,0.863963,rshift,2.569,1,0.9,29,exp_g2,0,1.705037
3,23,l2,TRUE,es,na,0.806296,lshift,2.5786,1,0.9,29,exp_g2,0,1.772304
4,24,l2,TRUE,es,na,0.817267,rshift,2.8964,1,0.9,29,exp_g2,0,2.079133
5,25,l2,TRUE,es,na,0.909694,lshift,2.5648,1,0.9,29,exp_g2,0,1.655106
6,26,l2,TRUE,es,na,0.977641,rshift,2.247,1,0.9,29,exp_g2,0,1.269359
7,27,l2,TRUE,es,na,0.619246,lshift,2.1859,1,0.9,29,exp_g2,0,1.566654
8,29,l2,TRUE,es,na,1.122001,lshift,2.8995,1,0.9,29,exp_g2,0,1.777499
9,30,l2,TRUE,es,na,1.133667,rshift,3.3472,1,0.9,29,exp_g2,0,2.213533
10,98,l2,FALSE,en,na,0.376142,rshift,2.2157,1,0.9,29,exp_g2,0,1.839558
11,99,l2,FALSE,en,na,0.462405,lshift,1.8658,1,0.9,29,exp_g2,0,1.403395
12,101,l2,FALSE,en,na,0.924484,lshift,2.363,1,0.9,29,exp_g2,0,1.438516
13,103,l2,FALSE,en,na,0.594925,lshift,2.4508,1,0.9,29,exp_g2,0,1.855875
14,106,l2,FALSE,en,na,1.203962,rshift,2.6946,1,0.9,29,exp_g2,0,1.490638
15,107,l2,FALSE,en,na,0.740095,lshift,2.276,1,0.9,29,exp_g2,0,1.535905
16,108,l2,FALSE,en,na,0.818995,rshift,2.6218,1,0.9,29,exp_g2,0,1.802805
