participant,group,list,cond,lang,type,num,exp_num,cs,correct_key,response,rt,is_correct,source,lextale,lextale_z,mat_dur
052,exp_g1,l1,f,en,na,071,1,NA,rshift,rshift,1.4236314589420371,1,local,11,0.17727848316107647,1.2611289999999999
052,exp_g1,l1,t,es,f0u,135,1,NA,lshift,lshift,1.5257856659796087,1,local,11,0.17727848316107647,0.85950000000000004
052,exp_g1,l1,f,en,na,067,1,NA,rshift,rshift,1.3086399999666065,1,local,11,0.17727848316107647,0.95080399999999998
052,exp_g1,l1,f,en,na,074,1,NA,lshift,lshift,2.220236916936174,1,local,11,0.17727848316107647,0.396484
052,exp_g1,l1,f,en,na,068,1,NA,lshift,lshift,1.952894833937738,1,local,11,0.17727848316107647,0.60078399999999998
052,exp_g1,l1,t,es,na,012,1,NA,rshift,lshift,-0.3191816250018513,0,local,11,0.17727848316107647,0.82370299999999996
052,exp_g1,l1,f,en,na,063,1,NA,rshift,rshift,1.6027587909835166,1,local,11,0.17727848316107647,0.35137600000000002
052,exp_g1,l1,t,es,na,020,1,NA,rshift,lshift,1.7120324999650567,0,local,11,0.17727848316107647,0.99675999999999998
065,exp_g1,l1,t,es,f0u,140,1,NA,rshift,rshift,1.884153499959968,1,local,2,-0.4977434334907143,1.108625
065,exp_g1,l1,t,es,f0u,135,1,NA,lshift,lshift,1.3745453750221057,1,local,2,-0.4977434334907143,0.85950000000000004
065,exp_g1,l1,f,en,na,075,1,NA,rshift,rshift,1.337865916051686,1,local,2,-0.4977434334907143,0.913493
065,exp_g1,l1,t,es,na,013,1,NA,lshift,lshift,1.6465388331211805,1,local,2,-0.4977434334907143,1.352093
065,exp_g1,l1,t,es,na,012,1,NA,rshift,rshift,1.9744411250303762,1,local,2,-0.4977434334907143,0.82370299999999996
065,exp_g1,l1,t,es,f0u,134,1,NA,rshift,lshift,1.65446495910082,0,local,2,-0.4977434334907143,0.91259374999999998
065,exp_g1,l1,f,en,na,067,1,NA,rshift,rshift,1.2861013330039606,1,local,2,-0.4977434334907143,0.95080399999999998
065,exp_g1,l1,f,en,na,064,1,NA,lshift,lshift,1.494457708093964,1,local,2,-0.4977434334907143,0.42857200000000001
065,exp_g1,l1,t,es,f0u,138,1,NA,rshift,rshift,1.590959707962349,1,local,2,-0.4977434334907143,0.97081249999999997
065,exp_g1,l1,t,es,na,014,1,NA,rshift,rshift,1.5778970410242306,1,local,2,-0.4977434334907143,0.78868499999999997
065,exp_g1,l1,t,es,na,019,1,NA,lshift,lshift,1.443548415973112,1,local,2,-0.4977434334907143,1.44153
065,exp_g1,l1,f,en,na,068,1,NA,lshift,lshift,1.417001915988497,1,local,2,-0.4977434334907143,0.60078399999999998
065,exp_g1,l1,t,es,na,016,1,NA,rshift,rshift,1.264885459112704,1,local,2,-0.4977434334907143,1.6949019999999999
065,exp_g1,l1,f,en,na,066,1,NA,lshift,lshift,1.4726737919619084,1,local,2,-0.4977434334907143,0.78000100000000006
065,exp_g1,l1,f,en,na,073,1,NA,rshift,rshift,1.3114009580448047,1,local,2,-0.4977434334907143,0.87757600000000002
065,exp_g1,l1,t,es,na,020,1,NA,rshift,rshift,1.499309708024152,1,local,2,-0.4977434334907143,0.99675999999999998
065,exp_g1,l1,t,es,na,018,1,NA,rshift,lshift,2.0859889590330423,0,local,2,-0.4977434334907143,0.90037500000000004
065,exp_g1,l1,t,es,f0u,133,1,NA,lshift,lshift,1.8889215839765967,1,local,2,-0.4977434334907143,0.77825
065,exp_g1,l1,t,es,f0u,132,1,NA,rshift,rshift,1.3291005420805886,1,local,2,-0.4977434334907143,0.92128125000000005
065,exp_g1,l1,f,en,na,071,1,NA,rshift,rshift,1.3985203750112132,1,local,2,-0.4977434334907143,1.2611289999999999
065,exp_g1,l1,f,en,na,074,1,NA,lshift,lshift,1.4300575829373523,1,local,2,-0.4977434334907143,0.396484
065,exp_g1,l1,t,es,na,017,1,NA,lshift,lshift,1.367630749996453,1,local,2,-0.4977434334907143,1.328805
065,exp_g1,l1,f,en,na,072,1,NA,lshift,lshift,1.2316005000235142,1,local,2,-0.4977434334907143,0.83155999999999997
065,exp_g1,l1,t,es,f0u,131,1,NA,lshift,lshift,1.3674001250322907,1,local,2,-0.4977434334907143,0.78843750000000001
065,exp_g1,l1,t,es,na,011,1,NA,lshift,rshift,2.2735152920568362,0,local,2,-0.4977434334907143,0.94437499999999996
065,exp_g1,l1,t,es,f0u,136,1,NA,rshift,rshift,1.8906348750023172,1,local,2,-0.4977434334907143,0.97487500000000005
065,exp_g1,l1,t,es,f0u,139,1,NA,lshift,lshift,1.594503292039968,1,local,2,-0.4977434334907143,1.1799375000000001
065,exp_g1,l1,f,en,na,063,1,NA,rshift,rshift,1.444762625126332,1,local,2,-0.4977434334907143,0.35137600000000002
065,exp_g1,l1,t,es,f0u,137,1,NA,lshift,lshift,1.447604500019923,1,local,2,-0.4977434334907143,0.63512500000000005
065,exp_g1,l1,t,es,na,015,1,NA,lshift,lshift,1.250236708008744,1,local,2,-0.4977434334907143,0.88211399999999995
068,exp_g1,l1,t,es,f0u,131,1,NA,lshift,lshift,2.6482286669919266,1,local,1,-0.5727458686742466,0.78843750000000001
068,exp_g1,l1,f,en,na,067,1,NA,rshift,rshift,1.5410558330114041,1,local,1,-0.5727458686742466,0.95080399999999998
068,exp_g1,l1,t,es,f0u,140,1,NA,rshift,lshift,3.3746589580485598,0,local,1,-0.5727458686742466,1.108625
068,exp_g1,l1,t,es,f0u,138,1,NA,rshift,rshift,2.230758041015826,1,local,1,-0.5727458686742466,0.97081249999999997
068,exp_g1,l1,f,en,na,073,1,NA,rshift,rshift,1.4271088750673235,1,local,1,-0.5727458686742466,0.87757600000000002
068,exp_g1,l1,f,en,na,075,1,NA,rshift,rshift,1.5274388329999224,1,local,1,-0.5727458686742466,0.913493
068,exp_g1,l1,t,es,f0u,139,1,NA,lshift,lshift,1.6633910830542444,1,local,1,-0.5727458686742466,1.1799375000000001
068,exp_g1,l1,t,es,na,017,1,NA,lshift,lshift,2.483850832967721,1,local,1,-0.5727458686742466,1.328805
068,exp_g1,l1,t,es,na,015,1,NA,lshift,lshift,3.9517269159332518,1,local,1,-0.5727458686742466,0.88211399999999995
068,exp_g1,l1,t,es,f0u,135,1,NA,lshift,lshift,1.5410539990030228,1,local,1,-0.5727458686742466,0.85950000000000004
068,exp_g1,l1,f,en,na,072,1,NA,lshift,lshift,1.3989797499585526,1,local,1,-0.5727458686742466,0.83155999999999997
068,exp_g1,l1,f,en,na,064,1,NA,lshift,lshift,1.6109991660385132,1,local,1,-0.5727458686742466,0.42857200000000001
068,exp_g1,l1,t,es,na,012,1,NA,rshift,rshift,2.032286582953044,1,local,1,-0.5727458686742466,0.82370299999999996
068,exp_g1,l1,t,es,f0u,132,1,NA,rshift,rshift,1.6320268329773098,1,local,1,-0.5727458686742466,0.92128125000000005
068,exp_g1,l1,t,es,na,018,1,NA,rshift,lshift,3.855235498948954,0,local,1,-0.5727458686742466,0.90037500000000004
068,exp_g1,l1,t,es,na,011,1,NA,lshift,lshift,1.7226023739995435,1,local,1,-0.5727458686742466,0.94437499999999996
