...1,num,list,cond,lang,type,mat_dur,exp_num,participant,group,prof,cor_rate,rt_cs,rt_mat
18,148,l2,TRUE,es,f0u,0.739,2,27,exp_g2,14,0.666666666666667,0.59990000000596,1.37820000000298
19,149,l2,TRUE,es,f0u,1.2804375,2,27,exp_g2,14,0.666666666666667,1.11420000000294,1.15056249999993
20,150,l2,TRUE,es,f0u,0.82653125,2,27,exp_g2,14,0.666666666666667,0.666299999997022,1.425368750006
1,11,l1,TRUE,es,na,0.944375,2,28,exp_g2,3,0.933333333333333,0.937466125003994,1.68049262506887
2,12,l1,TRUE,es,na,0.823703,2,28,exp_g2,3,0.933333333333333,0.890781834023073,1.88539291694362
3,13,l1,TRUE,es,na,1.352093,2,28,exp_g2,3,0.933333333333333,1.14508545806166,1.30003279106446
4,15,l1,TRUE,es,na,0.882114,2,28,exp_g2,3,0.933333333333333,0.63259816705249206,1.33575775000645
5,16,l1,TRUE,es,na,1.694902,2,28,exp_g2,3,0.933333333333333,1.65873433393426,1.3343082919193
6,17,l1,TRUE,es,na,1.328805,2,28,exp_g2,3,0.933333333333333,0.942792957997881,1.13877570797659
7,19,l1,TRUE,es,na,1.44153,2,28,exp_g2,3,0.933333333333333,1.29466670798138,1.28329291702181
8,20,l1,TRUE,es,na,0.99676,2,28,exp_g2,3,0.933333333333333,1.08274812495802,1.39233666705877
9,151,l1,TRUE,es,f0c,0.7884375,2,28,exp_g2,3,0.933333333333333,0.610916000092402,1.34603020806331
10,152,l1,TRUE,es,f0c,0.92128125,2,28,exp_g2,3,0.933333333333333,0.948952124919742,1.42980962498859
11,153,l1,TRUE,es,f0c,0.77825,2,28,exp_g2,3,0.933333333333333,1.00408883299679,2.13275037493743
12,154,l1,TRUE,es,f0c,0.91259375,2,28,exp_g2,3,0.933333333333333,0.827822583029047,1.74189541598689
13,155,l1,TRUE,es,f0c,0.8595,2,28,exp_g2,3,0.933333333333333,0.637960167019628,1.27471541708522
14,156,l1,TRUE,es,f0c,0.974875,2,28,exp_g2,3,0.933333333333333,0.763215707964264,1.2765722079929
15,157,l1,TRUE,es,f0c,0.635125,2,28,exp_g2,3,0.933333333333333,0.982245583087206,1.56030862502009
16,158,l1,TRUE,es,f0c,0.9708125,2,28,exp_g2,3,0.933333333333333,0.963673583930358,1.23795062500332
17,159,l1,TRUE,es,f0c,1.1799375,2,28,exp_g2,3,0.933333333333333,1.17937070794869,1.23667691593897
18,160,l1,TRUE,es,f0c,1.108625,2,28,exp_g2,3,0.933333333333333,1.04991741699632,1.55335262498632
1,11,l1,TRUE,es,na,0.944375,2,29,exp_g2,0,0.6,1.36529999995219,1.8051249999999
2,13,l1,TRUE,es,na,1.352093,2,29,exp_g2,0,0.6,1.45000000000005,1.41560699992848
3,14,l1,TRUE,es,na,0.788685,2,29,exp_g2,0,0.6,1.00329999995233,1.43261499995241
4,15,l1,TRUE,es,na,0.882114,2,29,exp_g2,0,0.6,0.933600000023716,2.02088600000002
5,16,l1,TRUE,es,na,1.694902,2,29,exp_g2,0,0.6,1.91599999999994,1.48949799997599
6,17,l1,TRUE,es,na,1.328805,2,29,exp_g2,0,0.6,1.58289999997623,1.45309499997608
7,18,l1,TRUE,es,na,0.900375,2,29,exp_g2,0,0.6,1.34480000007147,1.81462499999992
8,19,l1,TRUE,es,na,1.44153,2,29,exp_g2,0,0.6,1.28289999997605,1.31017000004755
9,20,l1,TRUE,es,na,0.99676,2,29,exp_g2,0,0.6,1.38350000000014,1.59263999997619
10,142,l2,TRUE,es,f0u,0.73509375,2,29,exp_g2,0,0.6,1.08770000004756,1.63560625004769
11,143,l2,TRUE,es,f0u,1.55846875,2,29,exp_g2,0,0.6,1.58389999997598,1.47963124990449
12,144,l2,TRUE,es,f0u,0.69834375,2,29,exp_g2,0,0.6,0.687999999999874,1.4912562500238
13,145,l2,TRUE,es,f0u,0.825,2,29,exp_g2,0,0.6,0.383499999999913,2.27460000002388
14,146,l2,TRUE,es,f0u,1.63628125,2,29,exp_g2,0,0.6,1.51069999992842,1.63311874997603
15,147,l2,TRUE,es,f0u,1.025125,2,29,exp_g2,0,0.6,1.30040000009535,1.55847500002381
16,148,l2,TRUE,es,f0u,0.739,2,29,exp_g2,0,0.6,1.11909999990462,1.56269999992836
17,149,l2,TRUE,es,f0u,1.2804375,2,29,exp_g2,0,0.6,1.46289999997612,1.58606250000009
18,150,l2,TRUE,es,f0u,0.82653125,2,29,exp_g2,0,0.6,1.11930000007146,1.64806875002388
1,11,l1,TRUE,es,na,0.944375,2,33,exp_g2,12,0.633333333333333,0.983000000000004,1.57322500000053
2,12,l1,TRUE,es,na,0.823703,2,33,exp_g2,12,0.633333333333333,0.372100000000557,1.33219700000037
3,13,l1,TRUE,es,na,1.352093,2,33,exp_g2,12,0.633333333333333,0.252700000000232,1.28930700000043
4,14,l1,TRUE,es,na,0.788685,2,33,exp_g2,12,0.633333333333333,0.649299999999812,1.33821499999941
5,15,l1,TRUE,es,na,0.882114,2,33,exp_g2,12,0.633333333333333,0.338900000000421,1.3079860000006
6,16,l1,TRUE,es,na,1.694902,2,33,exp_g2,12,0.633333333333333,1.39939999999945,1.23939799999984
7,18,l1,TRUE,es,na,0.900375,2,33,exp_g2,12,0.633333333333333,0.643500000000017,1.38412499999998
8,19,l1,TRUE,es,na,1.44153,2,33,exp_g2,12,0.633333333333333,1.2492000000002,1.24537000000038
9,20,l1,TRUE,es,na,0.99676,2,33,exp_g2,12,0.633333333333333,0.832299999999805,1.38573999999994
10,141,l2,TRUE,es,f0u,0.75509375,2,33,exp_g2,12,0.633333333333333,0.598999999999933,1.24980625000036
11,142,l2,TRUE,es,f0u,0.73509375,2,33,exp_g2,12,0.633333333333333,0.634400000000369,1.33120624999979
12,143,l2,TRUE,es,f0u,1.55846875,2,33,exp_g2,12,0.633333333333333,0.617999999999995,1.49203125
13,144,l2,TRUE,es,f0u,0.69834375,2,33,exp_g2,12,0.633333333333333,0.482400000000382,1.43605625000037
14,145,l2,TRUE,es,f0u,0.825,2,33,exp_g2,12,0.633333333333333,0.434199999999237,1.26069999999924
15,146,l2,TRUE,es,f0u,1.63628125,2,33,exp_g2,12,0.633333333333333,1.3167000000002,1.21531875000053
16,147,l2,TRUE,es,f0u,1.025125,2,33,exp_g2,12,0.633333333333333,0.792099999999664,1.20947499999966
17,148,l2,TRUE,es,f0u,0.739,2,33,exp_g2,12,0.633333333333333,0.665799999999876,1.34379999999979
18,149,l2,TRUE,es,f0u,1.2804375,2,33,exp_g2,12,0.633333333333333,0.733399999999392,1.23746249999949
19,150,l2,TRUE,es,f0u,0.82653125,2,33,exp_g2,12,0.633333333333333,0.819400000000371,1.27466875000018
1,21,l2,TRUE,es,na,0.704021,2,42,exp_g1,22,0.3,0.695099999994113,2.51397900000007
2,25,l2,TRUE,es,na,0.909694,2,42,exp_g1,22,0.3,0.434900000005996,2.65940600000897
3,28,l2,TRUE,es,na,0.937816,2,42,exp_g1,22,0.3,0.436300000011897,1.96498400001189
4,29,l2,TRUE,es,na,1.122001,2,42,exp_g1,22,0.3,1.14379999999699,2.74459899999404
5,30,l2,TRUE,es,na,1.133667,2,42,exp_g1,22,0.3,0.916500000000042,1.14993299999407
6,164,l2,TRUE,es,f0c,0.69834375,2,42,exp_g1,22,0.3,0.647299999997017,2.09965625
7,166,l2,TRUE,es,f0c,1.63628125,2,42,exp_g1,22,0.3,0.566900000005944,1.98011875000591
8,167,l2,TRUE,es,f0c,1.025125,2,42,exp_g1,22,0.3,0.696500000000015,2.65937500000007
9,168,l2,TRUE,es,f0c,0.739,2,42,exp_g1,22,0.3,0.418399999991038,2.21200000000002
1,21,l2,TRUE,es,na,0.704021,2,52,exp_g1,11,0.9,0.565290083002765,1.61926820799773
2,22,l2,TRUE,es,na,0.863963,2,52,exp_g1,11,0.9,0.378347249992657,1.50180400001024
3,23,l2,TRUE,es,na,0.806296,2,52,exp_g1,11,0.9,0.833873791969381,1.77847258295035
4,24,l2,TRUE,es,na,0.817267,2,52,exp_g1,11,0.9,0.212271124997642,1.81743637499166
5,25,l2,TRUE,es,na,0.909694,2,52,exp_g1,11,0.9,0.593173624947667,1.30557958394815
6,26,l2,TRUE,es,na,0.977641,2,52,exp_g1,11,0.9,0.534856999991462,1.48200279195357
7,27,l2,TRUE,es,na,0.619246,2,52,exp_g1,11,0.9,0.407446124998387,1.66630887492122
8,28,l2,TRUE,es,na,0.937816,2,52,exp_g1,11,0.9,0.795620332995895,1.43399295794882
9,29,l2,TRUE,es,na,1.122001,2,52,exp_g1,11,0.9,1.26182887499453,1.67547187498321
10,30,l2,TRUE,es,na,1.133667,2,52,exp_g1,11,0.9,0.952420874964446,1.36612470795996
11,161,l2,TRUE,es,f0c,0.75509375,2,52,exp_g1,11,0.9,0.560856541967951,1.67870158296684
12,162,l2,TRUE,es,f0c,0.73509375,2,52,exp_g1,11,0.9,0.504901708045509,1.62598487502104
13,163,l2,TRUE,es,f0c,1.55846875,2,52,exp_g1,11,0.9,1.18122116703307,1.66038079196867
14,164,l2,TRUE,es,f0c,0.69834375,2,52,exp_g1,11,0.9,0.477392082975712,1.62954966598982
15,165,l2,TRUE,es,f0c,0.825,2,52,exp_g1,11,0.9,0.618417165998835,1.51885266597383
16,167,l2,TRUE,es,f0c,1.025125,2,52,exp_g1,11,0.9,0.853765874984674,1.55602516698139
17,169,l2,TRUE,es,f0c,1.2804375,2,52,exp_g1,11,0.9,1.21356350003043,1.59338674995303
18,170,l2,TRUE,es,f0c,0.82653125,2,52,exp_g1,11,0.9,0.865260708960705,1.56187212493457
1,11,l1,TRUE,es,na,0.944375,2,54,exp_g2,8,0.633333333333333,0.899499999999989,1.5242249999997
2,12,l1,TRUE,es,na,0.823703,2,54,exp_g2,8,0.633333333333333,0.867599999999812,1.49529700000019
3,13,l1,TRUE,es,na,1.352093,2,54,exp_g2,8,0.633333333333333,1.37400000000002,1.522907
4,14,l1,TRUE,es,na,0.788685,2,54,exp_g2,8,0.633333333333333,0.529100000000653,1.4452150000004
5,15,l1,TRUE,es,na,0.882114,2,54,exp_g2,8,0.633333333333333,0.366300000000819,1.40168600000084
6,16,l1,TRUE,es,na,1.694902,2,54,exp_g2,8,0.633333333333333,1.45179999999982,1.38919799999958
7,17,l1,TRUE,es,na,1.328805,2,54,exp_g2,8,0.633333333333333,0.765499999999974,1.32029500000054
8,18,l1,TRUE,es,na,0.900375,2,54,exp_g2,8,0.633333333333333,0.265799999999899,1.85162500000018
9,19,l1,TRUE,es,na,1.44153,2,54,exp_g2,8,0.633333333333333,1.3734000000004,1.33337000000034
10,141,l2,TRUE,es,f0u,0.75509375,2,54,exp_g2,8,0.633333333333333,0.537099999999782,1.31470624999999
11,142,l2,TRUE,es,f0u,0.73509375,2,54,exp_g2,8,0.633333333333333,0.581099999999651,1.44750624999964
12,143,l2,TRUE,es,f0u,1.55846875,2,54,exp_g2,8,0.633333333333333,0.898999999999887,1.37473125000017
13,144,l2,TRUE,es,f0u,0.69834375,2,54,exp_g2,8,0.633333333333333,0.291200000000117,2.00065625000007
14,145,l2,TRUE,es,f0u,0.825,2,54,exp_g2,8,0.633333333333333,0.601200000000063,1.3261000000005
15,146,l2,TRUE,es,f0u,1.63628125,2,54,exp_g2,8,0.633333333333333,0.625599999999622,1.29821874999984
16,147,l2,TRUE,es,f0u,1.025125,2,54,exp_g2,8,0.633333333333333,0.495799999999917,1.29177500000049
17,148,l2,TRUE,es,f0u,0.739,2,54,exp_g2,8,0.633333333333333,0.562300000000732,1.27849999999993
18,149,l2,TRUE,es,f0u,1.2804375,2,54,exp_g2,8,0.633333333333333,0.816400000000385,1.53726250000029
19,150,l2,TRUE,es,f0u,0.82653125,2,54,exp_g2,8,0.633333333333333,0.852499999999964,1.46106875000057
1,11,l1,TRUE,es,na,0.944375,2,58,exp_g2,3,0.666666666666667,0.76779999999701,1.655424999997
2,12,l1,TRUE,es,na,0.823703,2,58,exp_g2,3,0.666666666666667,0.899700000003008,1.774797
3,13,l1,TRUE,es,na,1.352093,2,58,exp_g2,3,0.666666666666667,1.29990000000601,1.44290700000007
4,14,l1,TRUE,es,na,0.788685,2,58,exp_g2,3,0.666666666666667,1.55329999999702,2.56131499999997
