participant,lt_std,...1,num,list,cond,lang,type,mat_dur,exp_num,group,prof,cor_rate,rt_cs,rt_mat
52,0.17727848316107647,1,21,l2,TRUE,es,na,0.704021,2,exp_g1,11,0.9,0.565290083002765,1.61926820799773
52,0.17727848316107647,2,22,l2,TRUE,es,na,0.863963,2,exp_g1,11,0.9,0.378347249992657,1.50180400001024
52,0.17727848316107647,3,23,l2,TRUE,es,na,0.806296,2,exp_g1,11,0.9,0.833873791969381,1.77847258295035
52,0.17727848316107647,4,24,l2,TRUE,es,na,0.817267,2,exp_g1,11,0.9,0.212271124997642,1.81743637499166
52,0.17727848316107647,5,25,l2,TRUE,es,na,0.909694,2,exp_g1,11,0.9,0.593173624947667,1.30557958394815
52,0.17727848316107647,6,26,l2,TRUE,es,na,0.977641,2,exp_g1,11,0.9,0.534856999991462,1.48200279195357
52,0.17727848316107647,7,27,l2,TRUE,es,na,0.619246,2,exp_g1,11,0.9,0.407446124998387,1.66630887492122
52,0.17727848316107647,8,28,l2,TRUE,es,na,0.937816,2,exp_g1,11,0.9,0.795620332995895,1.43399295794882
52,0.17727848316107647,9,29,l2,TRUE,es,na,1.122001,2,exp_g1,11,0.9,1.26182887499453,1.67547187498321
52,0.17727848316107647,10,30,l2,TRUE,es,na,1.133667,2,exp_g1,11,0.9,0.952420874964446,1.36612470795996
52,0.17727848316107647,11,161,l2,TRUE,es,f0c,0.75509375,2,exp_g1,11,0.9,0.560856541967951,1.67870158296684
52,0.17727848316107647,12,162,l2,TRUE,es,f0c,0.73509375,2,exp_g1,11,0.9,0.504901708045509,1.62598487502104
52,0.17727848316107647,13,163,l2,TRUE,es,f0c,1.55846875,2,exp_g1,11,0.9,1.18122116703307,1.66038079196867
52,0.17727848316107647,14,164,l2,TRUE,es,f0c,0.69834375,2,exp_g1,11,0.9,0.477392082975712,1.62954966598982
52,0.17727848316107647,15,165,l2,TRUE,es,f0c,0.825,2,exp_g1,11,0.9,0.618417165998835,1.51885266597383
52,0.17727848316107647,16,167,l2,TRUE,es,f0c,1.025125,2,exp_g1,11,0.9,0.853765874984674,1.55602516698139
52,0.17727848316107647,17,169,l2,TRUE,es,f0c,1.2804375,2,exp_g1,11,0.9,1.21356350003043,1.59338674995303
52,0.17727848316107647,18,170,l2,TRUE,es,f0c,0.82653125,2,exp_g1,11,0.9,0.865260708960705,1.56187212493457
12,-0.047728822389520455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,-0.4977434334907143,1,21,l2,TRUE,es,na,0.704021,2,exp_g1,2,0.933333333333333,0.898969875066541,1.59708187503339
65,-0.4977434334907143,2,22,l2,TRUE,es,na,0.863963,2,exp_g1,2,0.933333333333333,0.81380350003019,1.36822045805071
65,-0.4977434334907143,3,23,l2,TRUE,es,na,0.806296,2,exp_g1,2,0.933333333333333,1.06173062499147,1.68901637501651
65,-0.4977434334907143,4,24,l2,TRUE,es,na,0.817267,2,exp_g1,2,0.933333333333333,0.700891916989349,1.41271708402782
65,-0.4977434334907143,5,25,l2,TRUE,es,na,0.909694,2,exp_g1,2,0.933333333333333,0.962482207920402,1.27212954106102
65,-0.4977434334907143,6,26,l2,TRUE,es,na,0.977641,2,exp_g1,2,0.933333333333333,1.21167095797136,1.53755950002728
65,-0.4977434334907143,7,27,l2,TRUE,es,na,0.619246,2,exp_g1,2,0.933333333333333,0.617936959024519,1.32541233401773
65,-0.4977434334907143,8,28,l2,TRUE,es,na,0.937816,2,exp_g1,2,0.933333333333333,0.790984833962284,1.48950162502808
65,-0.4977434334907143,9,29,l2,TRUE,es,na,1.122001,2,exp_g1,2,0.933333333333333,1.29443170805462,1.43130458307469
65,-0.4977434334907143,10,30,l2,TRUE,es,na,1.133667,2,exp_g1,2,0.933333333333333,1.24915837508161,1.37215145908891
65,-0.4977434334907143,11,161,l2,TRUE,es,f0c,0.75509375,2,exp_g1,2,0.933333333333333,0.696222290978767,1.41213891604822
