"","num","list","cond","lang","type","mat_dur","exp_num","participant","group","prof","cor_rate","rt_cs","rt_mat"
"1",12,"l1","t","es","na",0.823703,2,62,"exp_g2",5,0.633333333333333,0.706300000011879,1.41669700003572
"2",13,"l1","t","es","na",1.352093,2,62,"exp_g2",5,0.633333333333333,1.28530000001189,1.28280700003577
"3",14,"l1","t","es","na",0.788685,2,62,"exp_g2",5,0.633333333333333,0.488600000023894,1.41671500003575
"4",15,"l1","t","es","na",0.882114,2,62,"exp_g2",5,0.633333333333333,0.921100000023898,1.33958599998812
"5",16,"l1","t","es","na",1.694902,2,62,"exp_g2",5,0.633333333333333,1.56550000000004,1.23969800002386
"6",17,"l1","t","es","na",1.328805,2,62,"exp_g2",5,0.633333333333333,1.06640000003574,1.13889500004767
"7",18,"l1","t","es","na",0.900375,2,62,"exp_g2",5,0.633333333333333,0.995300000011923,1.25382500004769
"8",19,"l1","t","es","na",1.44153,2,62,"exp_g2",5,0.633333333333333,1.3913999999761,1.30186999997608
"9",20,"l1","t","es","na",0.99676,2,62,"exp_g2",5,0.633333333333333,0.521300000011933,1.4924399999881
"10",141,"l2","t","es","f0u",0.75509375,2,62,"exp_g2",5,0.633333333333333,0.444800000011924,1.37910624998814
"11",142,"l2","t","es","f0u",0.73509375,2,62,"exp_g2",5,0.633333333333333,0.519999999999982,1.28380624997616
"12",143,"l2","t","es","f0u",1.55846875,2,62,"exp_g2",5,0.633333333333333,1.53530000001194,1.36143124997611
"13",144,"l2","t","es","f0u",0.69834375,2,62,"exp_g2",5,0.633333333333333,0.316400000035742,1.44145625001192
"14",145,"l2","t","es","f0u",0.825,2,62,"exp_g2",5,0.633333333333333,0.557600000023854,1.24969999998807
"15",146,"l2","t","es","f0u",1.63628125,2,62,"exp_g2",5,0.633333333333333,1.23680000001195,1.07471875000001
"16",147,"l2","t","es","f0u",1.025125,2,62,"exp_g2",5,0.633333333333333,1,1.47667500001188
"17",148,"l2","t","es","f0u",0.739,2,62,"exp_g2",5,0.633333333333333,0.557500000000005,1.26839999997614
"18",149,"l2","t","es","f0u",1.2804375,2,62,"exp_g2",5,0.633333333333333,1.01789999997618,1.22146249997616
"19",150,"l2","t","es","f0u",0.82653125,2,62,"exp_g2",5,0.633333333333333,1.13180000001188,1.42396874999999
