"","num","list","cond","lang","type","mat_dur","exp_num","participant","group","prof","cor_rate","rt_cs","rt_mat"
"1",11,"l1","t","es","na",0.944375,2,27,"exp_g2",14,0.666666666666667,1.13520000000301,1.89232500000302
"2",12,"l1","t","es","na",0.823703,2,27,"exp_g2",14,0.666666666666667,0.631900000005999,1.50909699999706
"3",13,"l1","t","es","na",1.352093,2,27,"exp_g2",14,0.666666666666667,1.13359999999409,1.099907
"4",14,"l1","t","es","na",0.788685,2,27,"exp_g2",14,0.666666666666667,0.499900000005937,1.20401500000297
"5",15,"l1","t","es","na",0.882114,2,27,"exp_g2",14,0.666666666666667,0.472099999994043,1.43518599999709
"6",16,"l1","t","es","na",1.694902,2,27,"exp_g2",14,0.666666666666667,1.383799999997,1.22319799999396
"7",17,"l1","t","es","na",1.328805,2,27,"exp_g2",14,0.666666666666667,1.47530000001188,1.37929500000893
"8",18,"l1","t","es","na",0.900375,2,27,"exp_g2",14,0.666666666666667,0.933499999999981,1.4002250000089
"9",19,"l1","t","es","na",1.44153,2,27,"exp_g2",14,0.666666666666667,1.032799999997,1.24217000000289
"10",20,"l1","t","es","na",0.99676,2,27,"exp_g2",14,0.666666666666667,1.20029999999701,1.37103999999703
"11",141,"l2","t","es","f0u",0.75509375,2,27,"exp_g2",14,0.666666666666667,0.483800000011911,1.24580625000603
"12",142,"l2","t","es","f0u",0.73509375,2,27,"exp_g2",14,0.666666666666667,0.733600000009005,1.16600625000902
"13",143,"l2","t","es","f0u",1.55846875,2,27,"exp_g2",14,0.666666666666667,2.06670000000292,1.69243125000591
"14",144,"l2","t","es","f0u",0.69834375,2,27,"exp_g2",14,0.666666666666667,0.732599999994022,1.22015624999999
"15",145,"l2","t","es","f0u",0.825,2,27,"exp_g2",14,0.666666666666667,0.957399999991026,1.74959999999401
"16",146,"l2","t","es","f0u",1.63628125,2,27,"exp_g2",14,0.666666666666667,1.31340000000591,1.06171874999998
"17",147,"l2","t","es","f0u",1.025125,2,27,"exp_g2",14,0.666666666666667,1.11029999999698,1.59447499999402
"18",148,"l2","t","es","f0u",0.739,2,27,"exp_g2",14,0.666666666666667,0.59990000000596,1.37820000000298
"19",149,"l2","t","es","f0u",1.2804375,2,27,"exp_g2",14,0.666666666666667,1.11420000000294,1.15056249999993
"20",150,"l2","t","es","f0u",0.82653125,2,27,"exp_g2",14,0.666666666666667,0.666299999997022,1.425368750006
