"","num","list","cond","lang","type","mat_dur","exp_num","participant","group","prof","cor_rate","rt_cs","rt_mat"
"1",21,"l2","t","es","na",0.704021,2,86,"exp_g1",-2,0.633333333333333,0.551800000190724,1.43757900014294
"2",22,"l2","t","es","na",0.863963,2,86,"exp_g1",-2,0.633333333333333,0.803199999809295,1.19243699985704
"3",23,"l2","t","es","na",0.806296,2,86,"exp_g1",-2,0.633333333333333,0.959900000095331,1.41130400014308
"4",24,"l2","t","es","na",0.817267,2,86,"exp_g1",-2,0.633333333333333,0.0839999999999463,2.1345330001907
"5",25,"l2","t","es","na",0.909694,2,86,"exp_g1",-2,0.633333333333333,0.416099999904645,1.10680599999995
"6",26,"l2","t","es","na",0.977641,2,86,"exp_g1",-2,0.633333333333333,0.982100000143021,1.07295900014305
"7",27,"l2","t","es","na",0.619246,2,86,"exp_g1",-2,0.633333333333333,0.554899999856957,1.21825400000003
"8",28,"l2","t","es","na",0.937816,2,86,"exp_g1",-2,0.633333333333333,0.56039999985694,1.34748399995231
"9",29,"l2","t","es","na",1.122001,2,86,"exp_g1",-2,0.633333333333333,1.11620000004768,1.42929899995233
"10",30,"l2","t","es","na",1.133667,2,86,"exp_g1",-2,0.633333333333333,1.01339999985697,1.23173299985695
"11",161,"l2","t","es","f0c",0.75509375,2,86,"exp_g1",-2,0.633333333333333,0.548200000047643,1.27770624995232
"12",162,"l2","t","es","f0c",0.73509375,2,86,"exp_g1",-2,0.633333333333333,0.412099999904626,1.24810625004765
"13",163,"l2","t","es","f0c",1.55846875,2,86,"exp_g1",-2,0.633333333333333,1.24729999995225,1.37583124995226
"14",164,"l2","t","es","f0c",0.69834375,2,86,"exp_g1",-2,0.633333333333333,0.46119999980931,1.18355624985696
"15",165,"l2","t","es","f0c",0.825,2,86,"exp_g1",-2,0.633333333333333,0.399400000095284,1.06040000009539
"16",166,"l2","t","es","f0c",1.63628125,2,86,"exp_g1",-2,0.633333333333333,1.40259999990462,1.11371875
"17",167,"l2","t","es","f0c",1.025125,2,86,"exp_g1",-2,0.633333333333333,0.169599999904676,1.68107499980931
"18",168,"l2","t","es","f0c",0.739,2,86,"exp_g1",-2,0.633333333333333,0.545200000047714,1.12179999995235
"19",169,"l2","t","es","f0c",1.2804375,2,86,"exp_g1",-2,0.633333333333333,0.641200000047661,0.797762500047673
