"","num","list","cond","lang","type","mat_dur","exp_num","participant","group","prof","cor_rate","rt_cs","rt_mat"
"1",11,"l1","t","es","na",0.944375,2,28,"exp_g2",3,0.933333333333333,0.937466125003994,1.68049262506887
"2",12,"l1","t","es","na",0.823703,2,28,"exp_g2",3,0.933333333333333,0.890781834023073,1.88539291694362
"3",13,"l1","t","es","na",1.352093,2,28,"exp_g2",3,0.933333333333333,1.14508545806166,1.30003279106446
"4",15,"l1","t","es","na",0.882114,2,28,"exp_g2",3,0.933333333333333,0.632598167052492,1.33575775000645
"5",16,"l1","t","es","na",1.694902,2,28,"exp_g2",3,0.933333333333333,1.65873433393426,1.3343082919193
"6",17,"l1","t","es","na",1.328805,2,28,"exp_g2",3,0.933333333333333,0.942792957997881,1.13877570797659
"7",19,"l1","t","es","na",1.44153,2,28,"exp_g2",3,0.933333333333333,1.29466670798138,1.28329291702181
"8",20,"l1","t","es","na",0.99676,2,28,"exp_g2",3,0.933333333333333,1.08274812495802,1.39233666705877
"9",151,"l1","t","es","f0c",0.7884375,2,28,"exp_g2",3,0.933333333333333,0.610916000092402,1.34603020806331
"10",152,"l1","t","es","f0c",0.92128125,2,28,"exp_g2",3,0.933333333333333,0.948952124919742,1.42980962498859
"11",153,"l1","t","es","f0c",0.77825,2,28,"exp_g2",3,0.933333333333333,1.00408883299679,2.13275037493743
"12",154,"l1","t","es","f0c",0.91259375,2,28,"exp_g2",3,0.933333333333333,0.827822583029047,1.74189541598689
"13",155,"l1","t","es","f0c",0.8595,2,28,"exp_g2",3,0.933333333333333,0.637960167019628,1.27471541708522
"14",156,"l1","t","es","f0c",0.974875,2,28,"exp_g2",3,0.933333333333333,0.763215707964264,1.2765722079929
"15",157,"l1","t","es","f0c",0.635125,2,28,"exp_g2",3,0.933333333333333,0.982245583087206,1.56030862502009
"16",158,"l1","t","es","f0c",0.9708125,2,28,"exp_g2",3,0.933333333333333,0.963673583930358,1.23795062500332
"17",159,"l1","t","es","f0c",1.1799375,2,28,"exp_g2",3,0.933333333333333,1.17937070794869,1.23667691593897
"18",160,"l1","t","es","f0c",1.108625,2,28,"exp_g2",3,0.933333333333333,1.04991741699632,1.55335262498632
