"","num","list","cond","lang","type","mat_dur","exp_num","participant","group","prof","cor_rate","rt_cs","rt_mat"
"1",11,"l1","t","es","na",0.944375,2,54,"exp_g2",8,0.633333333333333,0.899499999999989,1.5242249999997
"2",12,"l1","t","es","na",0.823703,2,54,"exp_g2",8,0.633333333333333,0.867599999999812,1.49529700000019
"3",13,"l1","t","es","na",1.352093,2,54,"exp_g2",8,0.633333333333333,1.37400000000002,1.522907
"4",14,"l1","t","es","na",0.788685,2,54,"exp_g2",8,0.633333333333333,0.529100000000653,1.4452150000004
"5",15,"l1","t","es","na",0.882114,2,54,"exp_g2",8,0.633333333333333,0.366300000000819,1.40168600000084
"6",16,"l1","t","es","na",1.694902,2,54,"exp_g2",8,0.633333333333333,1.45179999999982,1.38919799999958
"7",17,"l1","t","es","na",1.328805,2,54,"exp_g2",8,0.633333333333333,0.765499999999974,1.32029500000054
"8",18,"l1","t","es","na",0.900375,2,54,"exp_g2",8,0.633333333333333,0.265799999999899,1.85162500000018
"9",19,"l1","t","es","na",1.44153,2,54,"exp_g2",8,0.633333333333333,1.3734000000004,1.33337000000034
"10",141,"l2","t","es","f0u",0.75509375,2,54,"exp_g2",8,0.633333333333333,0.537099999999782,1.31470624999999
"11",142,"l2","t","es","f0u",0.73509375,2,54,"exp_g2",8,0.633333333333333,0.581099999999651,1.44750624999964
"12",143,"l2","t","es","f0u",1.55846875,2,54,"exp_g2",8,0.633333333333333,0.898999999999887,1.37473125000017
"13",144,"l2","t","es","f0u",0.69834375,2,54,"exp_g2",8,0.633333333333333,0.291200000000117,2.00065625000007
"14",145,"l2","t","es","f0u",0.825,2,54,"exp_g2",8,0.633333333333333,0.601200000000063,1.3261000000005
"15",146,"l2","t","es","f0u",1.63628125,2,54,"exp_g2",8,0.633333333333333,0.625599999999622,1.29821874999984
"16",147,"l2","t","es","f0u",1.025125,2,54,"exp_g2",8,0.633333333333333,0.495799999999917,1.29177500000049
"17",148,"l2","t","es","f0u",0.739,2,54,"exp_g2",8,0.633333333333333,0.562300000000732,1.27849999999993
"18",149,"l2","t","es","f0u",1.2804375,2,54,"exp_g2",8,0.633333333333333,0.816400000000385,1.53726250000029
"19",150,"l2","t","es","f0u",0.82653125,2,54,"exp_g2",8,0.633333333333333,0.852499999999964,1.46106875000057
