"","num","list","cond","lang","type","mat_dur","exp_num","participant","group","prof","cor_rate","rt_cs","rt_mat"
"1",12,"l1","t","es","na",0.823703,2,6,"exp_g2",-16,0.366666666666667,0.182200000047715,2.60549700004779
"2",13,"l1","t","es","na",1.352093,2,6,"exp_g2",-16,0.366666666666667,0.315899999976182,2.02840699999998
"3",15,"l1","t","es","na",0.882114,2,6,"exp_g2",-16,0.366666666666667,0.208100000023705,1.95028600009528
"4",16,"l1","t","es","na",1.694902,2,6,"exp_g2",-16,0.366666666666667,0.368799999952444,2.42129800004768
"5",17,"l1","t","es","na",1.328805,2,6,"exp_g2",-16,0.366666666666667,0.483500000000049,1.7534949999524
"6",142,"l2","t","es","f0u",0.73509375,2,6,"exp_g2",-16,0.366666666666667,0.216999999999985,2.44620624995233
"7",146,"l2","t","es","f0u",1.63628125,2,6,"exp_g2",-16,0.366666666666667,0.932600000023967,1.55371875000017
"8",147,"l2","t","es","f0u",1.025125,2,6,"exp_g2",-16,0.366666666666667,0.248099999904526,2.15517499995224
"9",148,"l2","t","es","f0u",0.739,2,6,"exp_g2",-16,0.366666666666667,0.250800000071422,2.69299999999979
"10",149,"l2","t","es","f0u",1.2804375,2,6,"exp_g2",-16,0.366666666666667,0.397600000023886,1.63296249997615
"11",150,"l2","t","es","f0u",0.82653125,2,6,"exp_g2",-16,0.366666666666667,0.7982000000477,2.78556875002382
