"","num","list","cond","lang","type","mat_dur","exp_num","participant","group","prof","cor_rate","rt_cs","rt_mat"
"1",21,"l2","t","es","na",0.704021,2,68,"exp_g1",1,0.933333333333333,0.741966292029247,1.60644679197641
"2",22,"l2","t","es","na",0.863963,2,68,"exp_g1",1,0.933333333333333,0.808886667015031,1.35554920801566
"3",23,"l2","t","es","na",0.806296,2,68,"exp_g1",1,0.933333333333333,0.678972334018909,1.3966106249961
"4",24,"l2","t","es","na",0.817267,2,68,"exp_g1",1,0.933333333333333,0.705184875056147,1.30737441601231
"5",25,"l2","t","es","na",0.909694,2,68,"exp_g1",1,0.933333333333333,0.632436249987222,1.12076074993996
"6",26,"l2","t","es","na",0.977641,2,68,"exp_g1",1,0.933333333333333,1.07395091699436,1.53985412506649
"7",27,"l2","t","es","na",0.619246,2,68,"exp_g1",1,0.933333333333333,0.378994791069999,1.45367566608386
"8",28,"l2","t","es","na",0.937816,2,68,"exp_g1",1,0.933333333333333,1.23211108299438,1.50614591590931
"9",29,"l2","t","es","na",1.122001,2,68,"exp_g1",1,0.933333333333333,1.42728920793161,1.61644987492373
"10",30,"l2","t","es","na",1.133667,2,68,"exp_g1",1,0.933333333333333,1.21512983296998,1.37625887499786
"11",161,"l2","t","es","f0c",0.75509375,2,68,"exp_g1",1,0.933333333333333,0.639244875055737,1.69786358306557
"12",162,"l2","t","es","f0c",0.73509375,2,68,"exp_g1",1,0.933333333333333,0.84768637502566,1.55020704196207
"13",163,"l2","t","es","f0c",1.55846875,2,68,"exp_g1",1,0.933333333333333,1.26043158303946,1.66941820804775
"14",164,"l2","t","es","f0c",0.69834375,2,68,"exp_g1",1,0.933333333333333,0.691249915980734,1.65568045791797
"15",165,"l2","t","es","f0c",0.825,2,68,"exp_g1",1,0.933333333333333,0.566677583032288,1.35748374899849
"16",166,"l2","t","es","f0c",1.63628125,2,68,"exp_g1",1,0.933333333333333,1.56525004201103,1.37864024999831
"17",167,"l2","t","es","f0c",1.025125,2,68,"exp_g1",1,0.933333333333333,1.01056062499993,1.52649633299746
"18",168,"l2","t","es","f0c",0.739,2,68,"exp_g1",1,0.933333333333333,0.944740959093906,1.76111458306108
"19",170,"l2","t","es","f0c",0.82653125,2,68,"exp_g1",1,0.933333333333333,0.942914332961664,1.50693245805521
