num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,cs,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp1_trial_key.started,exp1_trial_sound.started,exp1_trial_key.keys,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_sound.started,exp2_trial_key.started,exp2_trial_sound.started,exp2_trial_key.keys,exp2_trial_key.rt,exp2_key.started,exp2_sound.started,exp2_key.keys,exp2_key.rt,participant,session,date,expName,psychopyVersion,frameRate,
16.0,l1,t,es,na,../audio/016.wav,,l1_t_es_na_016,,,,,,,../image/flipflops.png,../image/bag.png,bag,rshift,1,bag,flipflops,flipflops,bag,None,,,,,,,,,,0,11,11,40,,,,,,,,,,,,,,,,191.09576004202245,rshift,1,3.2766990419477224,192.06276241667027,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
19.0,l1,t,es,na,../audio/019.wav,,l1_t_es_na_019,,,,,,,../image/boy.png,../image/dog.png,boy,lshift,1,boy,dog,boy,dog,None,,,,,,,,,,0,12,12,43,,,,,,,,,,,,,,,,194.42298308300087,lshift,1,3.297999374975916,195.38621574966626,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
11.0,l1,t,es,na,../audio/011.wav,,l1_t_es_na_011,,,,,,,../image/armchair.png,../image/bed.png,armchair,lshift,1,armchair,bed,armchair,bed,None,,,,,,,,,,0,13,13,35,,,,,,,,,,,,,,,,197.78102445800323,lshift,1,3.1502655419753864,198.73720795865327,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
79.0,l1,f,se,na,../audio/079.wav,,l1_f_se_na_079,,,,,,,../image/sweatpants.png,../image/jeans.png,jeans,rshift,1,jeans,sweatpants,sweatpants,jeans,None,,,,,,,,,,0,14,14,18,,,,,,,,,,,,,,,,200.97791945800418,rshift,1,2.424036083975807,201.94633345865103,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
136.0,l1,t,es,f0u,../audio/136.wav,,l1_t_es_f0u_136,,,,,,,../image/city.png,../image/village.png,village,rshift,1,village,city,city,village,None,,,,,,,,,,0,15,15,50,,,,,,,,,,,,,,,,203.44871016702382,rshift,1,3.4373162919655442,204.41268974967923,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
87.0,l1,f,sp,na,../audio/087.wav,,l1_f_sp_na_087,,,,,,,../image/desk.png,../image/bed.png,bed,rshift,1,bed,desk,desk,bed,None,,,,,,,,,,0,16,16,26,,,,,,,,,,,,,,,,206.93389366701012,rshift,1,2.363963249954395,207.895894624646,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
70.0,l1,f,en,na,../audio/070.wav,,l1_f_en_na_070,,,,,,,../image/computer.png,../image/bed.png,computer,lshift,1,computer,bed,computer,bed,None,,,,,,,,,,0,17,17,9,,,,,,,,,,,,,,,,209.3501476669917,lshift,1,2.056652874976862,210.3123426666755,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
15.0,l1,t,es,na,../audio/015.wav,,l1_t_es_na_015,,,,,,,../image/glasses.png,../image/jacket.png,glasses,lshift,1,glasses,jacket,glasses,jacket,None,,,,,,,,,,0,18,18,39,,,,,,,,,,,,,,,,211.4556566249812,lshift,1,2.744366833998356,212.41924445866997,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
93.0,l1,f,sp,na,../audio/093.wav,,l1_f_sp_na_093,,,,,,,../image/boy.png,../image/book.png,book,rshift,1,book,boy,boy,book,None,,,,,,,,,,0,19,19,32,,,,,,,,,,,,,,,,214.24910841701785,rshift,1,1.9643577499664389,215.21291799965937,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
17.0,l1,t,es,na,../audio/017.wav,,l1_t_es_na_017,,,,,,,../image/jug.png,../image/cat.png,jug,lshift,1,jug,cat,jug,cat,None,,,,,,,,,,0,20,20,41,,,,,,,,,,,,,,,,216.26441020797938,lshift,1,3.5661656669690274,217.22807974968262,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
86.0,l1,f,sp,na,../audio/086.wav,,l1_f_sp_na_086,,,,,,,../image/plates.png,../image/glasses.png,plates,lshift,1,plates,glasses,plates,glasses,None,,,,,,,,,,0,21,21,25,,,,,,,,,,,,,,,,219.87378529203124,lshift,1,2.3335743339848705,220.8460405836852,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
89.0,l1,f,sp,na,../audio/089.wav,,l1_f_sp_na_089,,,,,,,../image/bed.png,../image/wallet.png,wallet,rshift,1,wallet,bed,bed,wallet,None,,,,,,,,,,0,22,22,28,,,,,,,,,,,,,,,,222.26425816700794,rshift,1,2.5741938750143163,223.21847762464702,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
139.0,l1,t,es,f0u,../audio/139.wav,,l1_t_es_f0u_139,,,,,,,../image/restaurant.png,../image/hotel.png,restaurant,lshift,1,restaurant,hotel,restaurant,hotel,None,,,,,,,,,,0,23,23,53,,,,,,,,,,,,,,,,224.89740100002382,lshift,1,2.8829524589818902,225.8463145836761,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
72.0,l1,f,en,na,../audio/072.wav,,l1_f_en_na_072,,,,,,,../image/dog.png,../image/fish.png,dog,lshift,1,dog,fish,dog,fish,None,,,,,,,,,,0,24,24,11,,,,,,,,,,,,,,,,227.83278250001604,lshift,1,2.335198290995322,228.79581449967034,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
92.0,l1,f,sp,na,../audio/092.wav,,l1_f_sp_na_092,,,,,,,../image/armchair.png,../image/dog.png,armchair,lshift,1,armchair,dog,armchair,dog,None,,,,,,,,,,0,25,25,31,,,,,,,,,,,,,,,,230.21892262500478,lshift,1,2.449895124998875,231.17954774969647,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
18.0,l1,t,es,na,../audio/018.wav,,l1_t_es_na_018,,,,,,,../image/cups.png,../image/napkins.png,napkins,rshift,1,napkins,cups,cups,napkins,None,,,,,,,,,,0,26,26,42,,,,,,,,,,,,,,,,232.71421504201135,rshift,1,4.258899832959287,233.67840937467216,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
82.0,l1,f,se,na,../audio/082.wav,,l1_f_se_na_082,,,,,,,../image/mickeymouse.png,../image/spongebob.png,mickeymouse,lshift,1,mickeymouse,spongebob,mickeymouse,spongebob,None,,,,,,,,,,0,27,27,21,,,,,,,,,,,,,,,,237.02358345797984,lshift,1,2.3784050419926643,237.98458516667986,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
66.0,l1,f,en,na,../audio/066.wav,,l1_f_en_na_066,,,,,,,../image/bag.png,../image/scarf.png,bag,lshift,1,bag,scarf,bag,scarf,None,,,,,,,,,,0,28,28,5,,,,,,,,,,,,,,,,239.44691487500677,lshift,1,2.217448583978694,240.4128187916397,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
64.0,l1,f,en,na,../audio/064.wav,,l1_f_en_na_064,,,,,,,../image/wallet.png,../image/key.png,wallet,lshift,1,wallet,key,wallet,key,None,,,,,,,,,,0,29,29,3,,,,,,,,,,,,,,,,241.7096122080111,lshift,1,1.904037749976851,242.66957529168965,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
138.0,l1,t,es,f0u,../audio/138.wav,,l1_t_es_f0u_138,,,,,,,../image/pants.png,../image/shirt.png,shirt,rshift,1,shirt,pants,pants,shirt,None,,,,,,,,,,0,30,30,52,,,,,,,,,,,,,,,,243.66406350000761,rshift,1,2.5589816669817083,244.62904029165318,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
78.0,l1,f,se,na,../audio/078.wav,,l1_f_se_na_078,,,,,,,../image/airpods.png,../image/joycons.png,airpods,lshift,1,airpods,joycons,airpods,joycons,None,,,,,,,,,,0,31,31,17,,,,,,,,,,,,,,,,246.2705642079818,lshift,1,2.0949125409824774,247.2346967496599,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
62.0,l1,f,en,na,../audio/062.wav,,l1_f_en_na_062,,,,,,,../image/shoe.png,../image/ring.png,shoe,lshift,1,shoe,ring,shoe,ring,None,,,,,,,,,,0,32,32,1,,,,,,,,,,,,,,,,248.41412966698408,lshift,1,2.0490712089813314,249.37817683368147,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
134.0,l1,t,es,f0u,../audio/134.wav,,l1_t_es_f0u_134,,,,,,,../image/basket.png,../image/truck.png,truck,rshift,1,truck,basket,basket,truck,None,,,,,,,,,,0,33,33,48,,,,,,,,,,,,,,,,250.5125172919943,lshift,0,4.588770415983163,251.4694076666531,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
88.0,l1,f,sp,na,../audio/088.wav,,l1_f_sp_na_088,,,,,,,../image/book.png,../image/cellphone.png,book,lshift,1,book,cellphone,book,cellphone,None,,,,,,,,,,0,34,34,27,,,,,,,,,,,,,,,,255.14842149999458,lshift,1,2.3559436660143547,256.11238724965756,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
94.0,l1,f,sp,na,../audio/094.wav,,l1_f_sp_na_094,,,,,,,../image/beer.png,../image/horchata.png,beer,lshift,1,beer,horchata,beer,horchata,None,,,,,,,,,,0,35,35,33,,,,,,,,,,,,,,,,257.5590160830179,lshift,1,3.337696040980518,258.51843041665074,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
133.0,l1,t,es,f0u,../audio/133.wav,,l1_t_es_f0u_133,,,,,,,../image/cellphone.png,../image/book.png,cellphone,lshift,1,cellphone,book,cellphone,book,None,,,,,,,,,,0,36,36,47,,,,,,,,,,,,,,,,260.94328449998284,lshift,1,2.654857582936529,261.91284974967516,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
75.0,l1,f,en,na,../audio/075.wav,,l1_f_en_na_075,,,,,,,../image/dog.png,../image/fish.png,fish,rshift,1,fish,dog,dog,fish,None,,,,,,,,,,0,37,37,14,,,,,,,,,,,,,,,,263.6471492080018,rshift,1,2.4390165000222623,264.61259616667326,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
13.0,l1,t,es,na,../audio/013.wav,,l1_t_es_na_013,,,,,,,../image/beer.png,../image/wine.png,beer,lshift,1,beer,wine,beer,wine,None,,,,,,,,,,0,38,38,37,,,,,,,,,,,,,,,,266.1307970000198,lshift,1,3.0666724579641595,267.0961236246551,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
