num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,cs,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp1_trial_key.started,exp1_trial_sound.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_sound.started,exp2_trial_key.started,exp2_trial_sound.started,exp2_trial_key.keys,exp2_trial_key.rt,exp2_key.started,exp2_sound.started,exp2_key.keys,exp2_key.rt,participant,session,date,expName,psychopyVersion,frameRate,
118.0,l2,f,se,na,../audio/118.wav,,l2_f_se_na_118,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,1,,,,,,,,,,,,,,,,,,,,,0,23,23,22,,,,,,,,,,,,,,457.7995506669977,458.7533204166723,['rshift'],[2.2609773330623284],KF2,001,2023-04-24_12h55.48.207,exp_g1,2022.2.5,None,
129.0,l2,f,sp,na,../audio/129.wav,,l2_f_sp_na_129,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,None,,,,,,,,,,,,,,,,,,,,,0,24,24,33,,,,,,,,,,,,,,462.79923620901536,463.76337354164957,['rshift'],[1.5984016670263372],KF2,001,2023-04-24_12h55.48.207,exp_g1,2022.2.5,None,
24.0,l2,t,es,na,../audio/024.wav,,l2_t_es_na_024,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,1,,,,,,,,,,,,,,,,,,,,,0,25,25,38,,,,,,,,,,,,,,467.7984542499762,468.76341216668175,['lshift'],[1.5720828750054352],KF2,001,2023-04-24_12h55.48.207,exp_g1,2022.2.5,None,
115.0,l2,f,se,na,../audio/115.wav,,l2_f_se_na_115,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,1,,,,,,,,,,,,,,,,,,,,,0,26,26,19,,,,,,,,,,,,,,472.7976669589989,473.76341362565677,['rshift'],[1.7492504580295645],KF2,001,2023-04-24_12h55.48.207,exp_g1,2022.2.5,None,
104.0,l2,f,en,na,../audio/104.wav,,l2_f_en_na_104,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,None,,,,,,,,,,,,,,,,,,,,,0,27,27,8,,,,,,,,,,,,,,477.79837933398085,478.7629522506652,['lshift'],[1.6513904590392485],KF2,001,2023-04-24_12h55.48.207,exp_g1,2022.2.5,None,
125,l2,f,sp,na,../audio/125.wav,,l2_f_sp_na_125,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,None,,,,,,,,,,,,,,,,,,,,,0,28,28,29,,,,,,,,,,,,,,482.7964348749956,483.7532916666862,['rshift'],[1.7692068750038743],KF2,001,2023-04-24_12h55.48.207,exp_g1,2022.2.5,None,
165.0,l2,t,es,f0c,../audio/165.wav,,l2_t_es_f0c_165,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,1,,,,,,,,,,,,,,,,,,,,,0,29,29,49,,,,,,,,,,,,,,487.79739654198056,488.76270266663437,['lshift'],[1.8001012920285575],KF2,001,2023-04-24_12h55.48.207,exp_g1,2022.2.5,None,
121.0,l2,f,sp,na,../audio/121.wav,,l2_f_sp_na_121,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,None,,,,,,,,,,,,,,,,,,,,,0,30,30,25,,,,,,,,,,,,,,492.7974750419962,493.76331683365083,['rshift'],[2.6999041660455987],KF2,001,2023-04-24_12h55.48.207,exp_g1,2022.2.5,None,
23.0,l2,t,es,na,../audio/023.wav,,l2_t_es_na_023,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,1,,,,,,,,,,,,,,,,,,,,,0,31,31,37,,,,,,,,,,,,,,497.7974102090229,498.7629370836696,['rshift'],[3.072175541019533],KF2,001,2023-04-24_12h55.48.207,exp_g1,2022.2.5,None,
109.0,l2,f,en,na,../audio/109.wav,,l2_f_en_na_109,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,None,,,,,,,,,,,,,,,,,,,,,0,32,32,13,,,,,,,,,,,,,,502.8002707089763,503.7620060416559,['lshift'],[2.1090614160057157],KF2,001,2023-04-24_12h55.48.207,exp_g1,2022.2.5,None,
161.0,l2,t,es,f0c,../audio/161.wav,,l2_t_es_f0c_161,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,1,,,,,,,,,,,,,,,,,,,,,0,33,33,45,,,,,,,,,,,,,,507.79918249999173,508.76315550064123,['lshift'],[3.0047049170243554],KF2,001,2023-04-24_12h55.48.207,exp_g1,2022.2.5,None,
103.0,l2,f,en,na,../audio/103.wav,,l2_f_en_na_103,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,None,,,,,,,,,,,,,,,,,,,,,0,34,34,7,,,,,,,,,,,,,,512.7962972089881,513.7629587086888,['lshift'],[2.7884989580488764],KF2,001,2023-04-24_12h55.48.207,exp_g1,2022.2.5,None,
101.0,l2,f,en,na,../audio/101.wav,,l2_f_en_na_101,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,None,,,,,,,,,,,,,,,,,,,,,0,35,35,5,,,,,,,,,,,,,,517.7991792919929,518.7630862506378,['lshift'],[1.9901481249835342],KF2,001,2023-04-24_12h55.48.207,exp_g1,2022.2.5,None,
22.0,l2,t,es,na,../audio/022.wav,,l2_t_es_na_022,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,1,,,,,,,,,,,,,,,,,,,,,0,36,36,36,,,,,,,,,,,,,,522.7976377499872,523.7616428336516,['lshift'],[1.9415030420059338],KF2,001,2023-04-24_12h55.48.207,exp_g1,2022.2.5,None,
