num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,cs,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp1_trial_cross.started,exp1_trial_key.started,exp1_trial_cross.stopped,exp1_trial_sound.started,exp1_trial_key.stopped,exp1_trial_key.keys,exp1_cross.started,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_cross.stopped,exp1_sound.started,exp1_key.stopped,exp2_trial_cross.started,exp2_trial_key.started,exp2_trial_cross.stopped,exp2_trial_sound.started,exp2_trial_key.stopped,exp2_trial_key.keys,exp2_trial_key.rt,exp2_cross.started,exp2_key.started,exp2_cross.stopped,exp2_sound.started,exp2_key.stopped,exp2_key.keys,exp2_key.rt,participant,session,date,expName,psychopyVersion,frameRate
125,l2,f,sp,na,../audio/125.wav,,l2_f_sp_na_125,,,,,,,../image/desk.png,../image/bottle.png,desk,lshift,1,desk,bottle,desk,bottle,None,,,,,,,,,,0,1,1,29,,,,,,,,,,,,,,,,,,,160.0702732,160.2858185,lshift,1,[2.5094355000182986],160.3179962,161.0474975,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
127,l2,f,sp,na,../audio/127.wav,,l2_f_sp_na_127,,,,,,,../image/cat.png,../image/dog.png,cat,lshift,1,cat,dog,cat,dog,None,,,,,,,,,,0,2,2,31,,,,,,,,,,,,,,,,,,,162.8402434,163.0472782,None,0,,163.0880316,163.8034708,168.0788328,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
102,l2,f,en,na,../audio/102.wav,,l2_f_en_na_102,,,,,,,../image/socks.png,../image/book.png,books,rshift,1,books,socks,socks,book,None,,,,,,,,,,0,3,3,6,,,,,,,,,,,,,,,,,,,168.0788328,168.2960028,rshift,1,[2.0354931249748915],168.3194736,169.0524064,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
112,l2,f,se,na,../audio/112.wav,,l2_f_se_na_112,,,,,,,../image/burger.png,../image/hotdog.png,hotdog,rshift,1,hotdog,burger,burger,hotdog,None,,,,,,,,,,0,4,4,16,,,,,,,,,,,,,,,,,,,170.3873065,170.5874085,rshift,1,[2.1795047080377117],170.6302207,171.3473458,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
27,l2,t,es,na,../audio/027.wav,,l2_t_es_na_027,,,,,,,../image/shirt.png,../image/book.png,shirt,lshift,1,shirt,book,shirt,book,None,,,,,,,,,,0,5,5,41,,,,,,,,,,,,,,,,,,,172.8119845,173.0207785,lshift,1,[1.9469360000221059],173.0537967,173.7710293,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
147,l2,t,es,f0u,../audio/147.wav,,l2_t_es_f0u_147,,,,,,,../image/truck.png,../image/book.png,truck,lshift,1,truck,book,truck,book,None,,,,,,,,,,0,6,6,51,,,,,,,,,,,,,,,,,,,175.0164114,175.2207707,None,0,,175.2638626,175.9801731,180.2501868,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
106,l2,f,en,na,../audio/106.wav,,l2_f_en_na_106,,,,,,,../image/wallet.png,../image/computer.png,computer,rshift,1,computer,wallet,wallet,computer,None,,,,,,,,,,0,7,7,10,,,,,,,,,,,,,,,,,,,180.2501868,180.4704388,rshift,1,[2.5948536249343306],180.4972199,181.230149,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
149,l2,t,es,f0u,../audio/149.wav,,l2_t_es_f0u_149,,,,,,,../image/boy.png,../image/dog.png,boy,lshift,1,boy,dog,boy,dog,None,,,,,,,,,,0,8,8,53,,,,,,,,,,,,,,,,,,,183.1161588,183.3213114,lshift,1,[2.717288749990985],183.364097,184.0795169,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
29,l2,t,es,na,../audio/029.wav,,l2_t_es_na_029,,,,,,,../image/armchair.png,../image/ring.png,armchair,lshift,1,armchair,ring,armchair,ring,None,,,,,,,,,,0,9,9,43,,,,,,,,,,,,,,,,,,,186.0940972,186.2969261,None,0,,186.3368593,187.052726,191.3252111,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
145,l2,t,es,f0u,../audio/145.wav,,l2_t_es_f0u_145,,,,,,,../image/bag.png,../image/flower.png,bag,lshift,1,bag,flower,bag,flower,None,,,,,,,,,,0,10,10,49,,,,,,,,,,,,,,,,,,,191.3252111,191.5473608,lshift,1,[2.04098366596736],191.56817,192.3033455,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
97,l2,f,en,na,../audio/097.wav,,l2_f_en_na_097,,,,,,,../image/ring.png,../image/belt.png,ring,lshift,1,ring,belt,ring,belt,None,,,,,,,,,,0,11,11,1,,,,,,,,,,,,,,,,,,,193.6380973,193.8471602,lshift,1,[2.078482708078809],193.8848615,194.6039175,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
23,l2,t,es,na,../audio/023.wav,,l2_t_es_na_023,,,,,,,../image/wine.png,../image/cellphone.png,wine,lshift,1,wine,cellphone,wine,cellphone,None,,,,,,,,,,0,12,12,37,,,,,,,,,,,,,,,,,,,195.9716442,196.170256,lshift,1,[2.211712332908064],196.2184408,196.9300853,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
98,l2,f,en,na,../audio/098.wav,,l2_f_en_na_098,,,,,,,../image/man.png,../image/woman.png,woman,rshift,1,woman,man,man,woman,None,,,,,,,,,,0,13,13,2,,,,,,,,,,,,,,,,,,,198.430343,198.6371274,rshift,1,[2.034419334027916],198.6678159,199.3970892,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
108,l2,f,en,na,../audio/108.wav,,l2_f_en_na_108,,,,,,,../image/scarf.png,../image/socks.png,socks,rshift,1,socks,scarf,scarf,socks,None,,,,,,,,,,0,14,14,12,,,,,,,,,,,,,,,,,,,200.7236556,200.9202595,rshift,1,[3.883776000002399],200.9700601,201.6804639,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
148,l2,t,es,f0u,../audio/148.wav,,l2_t_es_f0u_148,,,,,,,../image/newspaper.png,../image/cups.png,cups,rshift,1,cups,newspaper,newspaper,cups,None,,,,,,,,,,0,15,15,52,,,,,,,,,,,,,,,,,,,204.8494279,205.0535763,rshift,1,[2.9776805829023942],205.0970716,205.8136781,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
144,l2,t,es,f0u,../audio/144.wav,,l2_t_es_f0u_144,,,,,,,../image/bracelet.png,../image/backpack.png,backpack,rshift,1,backpack,bracelet,bracelet,backpack,None,,,,,,,,,,0,16,16,48,,,,,,,,,,,,,,,,,,,208.084799,208.2873551,rshift,1,[2.6319341249763966],208.3298328,209.0471473,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
103,l2,f,en,na,../audio/103.wav,,l2_f_en_na_103,,,,,,,../image/toys.png,../image/sneakers.png,toys,lshift,1,toys,sneakers,toys,sneakers,None,,,,,,,,,,0,17,17,7,,,,,,,,,,,,,,,,,,,210.9663984,211.1704045,lshift,1,[2.0710739999776706],211.2135816,211.9298236,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
100,l2,f,en,na,../audio/100.wav,,l2_f_en_na_100,,,,,,,../image/wallet.png,../image/scarf.png,scarf,rshift,1,scarf,wallet,wallet,scarf,None,,,,,,,,,,0,18,18,4,,,,,,,,,,,,,,,,,,,213.2945855,213.4970979,rshift,1,[1.8134259580401704],213.5347571,214.2525557,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
123,l2,f,sp,na,../audio/123.wav,,l2_f_sp_na_123,,,,,,,../image/sweater.png,../image/cellphone.png,sweater,lshift,1,sweater,cellphone,sweater,cellphone,None,,,,,,,,,,0,19,19,27,,,,,,,,,,,,,,,,,,,215.3557238,215.5536732,lshift,1,[1.9817660830449313],215.6014188,216.3136032,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
143,l2,t,es,f0u,../audio/143.wav,,l2_t_es_f0u_143,,,,,,,../image/horchata.png,../image/beer.png,horchata,lshift,1,horchata,beer,horchata,beer,None,,,,,,,,,,0,20,20,47,,,,,,,,,,,,,,,,,,,217.5769267,217.787095,None,0,,217.8199071,218.5468446,222.8092823,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
