participant,session,date,expName,psychopyVersion,OS,frameRate,exp1_trial_key.keys,exp1_trial_key.rt,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_trial_loop.ran,num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp1_loop.ran,exp_num,image,image_alt,left_img,right_img,image_dir,exp2_trial_key.keys,exp2_trial_key.rt,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_trial_loop.ran,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_retrial.ran,exp2_key.keys,exp2_key.rt,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp2_loop.ran,cs
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,102,l2,f,en,na,audio/102.wav,,l2_f_en_na_102,,,,,,,image/socks.png,image/book.png,books,rshift,rshift,1,2.3821,0,52,52,6,1,1,books,socks,socks,book,,,,,,,,,,,,,,,,,,,,,
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,151,l1,t,es,f0c,audio/151.wav,,l1_t_es_f0c_151,,,,,,,image/cat.png,image/flower.png,cat,lshift,lshift,1,2.193,0,53,53,45,1,1,cat,flower,cat,flower,,,,,,,,,,,,,,,,,,,,,
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,110,l2,f,en,na,audio/110.wav,,l2_f_en_na_110,,,,,,,image/dog.png,image/cat.png,cat,rshift,rshift,1,3.0725,0,54,54,14,1,1,cat,dog,dog,cat,,,,,,,,,,,,,,,,,,,,,
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,tr1,lt,tr,en,na,practice_trial/audio/tr1.wav,Where are your kids?,lt_tr_en_na_tr1,-,-,-,-,-,-,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,"[""lshift"",""lshift"",""lshift""]","[2.0620999999996457,4.062999999999988,4.6291999999997415]",0,0,0,0,1,,,,,,,,,,,,,
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,tr2,lt,tr,en,na,practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,"[""lshift"",""lshift""]","[2.5168999999999073,4.919799999999839]",0,1,1,1,1,,,,,,,,,,,,,
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,tr3,lt,tr,sp,na,practice_trial/audio/tr3.wav,¿Dónde está mi perro?,lt_tr_sp_na_tr3,-,-,-,-,-,-,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,"[""rshift"",""rshift""]","[2.6689999999999827,3.717999999999961]",0,2,2,2,1,,,,,,,,,,,,,
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,tr4,lt,tr,sp,na,practice_trial/audio/tr4.wav,¿De quién es la bolsa?,lt_tr_sp_na_tr4,-,-,-,-,-,-,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,"[""rshift"",""rshift"",""rshift"",""rshift""]","[2.5512999999997987,2.7398999999998637,2.9576000000000704,4.935999999999979]",0,3,3,3,1,,,,,,,,,,,,,
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,tr5,lt,tr,se,na,practice_trial/audio/tr5.wav,¿Dónde encontraste sus donuts?,lt_tr_se_na_tr5,-,-,-,-,-,-,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,"[""rshift""]",[3.0553000000002726],0,4,4,4,1,,,,,,,,,,,,,
075,001,2023-10-12_11h13.11.698,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,tr6,lt,tr,se,na,practice_trial/audio/tr6.wav,¿Cuándo compraste tu sweater?,lt_tr_se_na_tr6,-,-,-,-,-,-,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,"[""rshift""]",[2.651400000000365],0,5,5,5,1,,,,,,,,,,,,,
